CODMUNRES,ano_nasc,Qtd_2Robson,Qtd_Total
120032,2014,7,282
120032,2015,6,273
120032,2016,2,263
120032,2017,5,266
120032,2018,3,274
120032,2019,4,218
120033,2012,24,386
120033,2013,0,399
120033,2014,21,413
120033,2015,21,395
120033,2016,7,325
120033,2017,8,358
120033,2018,34,367
120033,2019,27,345
120034,2012,7,256
120034,2013,0,229
120034,2014,3,243
120034,2015,3,266
120034,2016,3,236
120034,2017,0,261
120034,2018,4,252
120034,2019,11,230
120035,2012,13,474
120035,2013,0,485
120035,2014,12,458
120035,2015,12,445
120035,2016,5,352
120035,2017,4,388
120035,2018,15,407
120035,2019,24,448
120038,2012,12,353
120038,2013,0,334
120038,2014,4,322
120038,2015,11,350
120038,2016,4,339
120038,2017,0,305
120038,2018,6,309
120038,2019,25,318
120039,2012,9,338
120039,2013,0,287
120039,2014,4,250
120039,2015,8,262
120039,2016,13,230
120039,2017,8,282
120039,2018,14,254
120039,2019,13,270
120040,2012,109,6531
120040,2013,0,7116
120040,2014,127,7011
120040,2015,134,6965
120040,2016,98,6614
120040,2017,77,6460
120040,2018,212,6495
120040,2019,376,6324
120042,2012,22,390
120042,2013,0,363
120042,2014,9,394
120042,2015,10,396
120042,2016,9,304
120042,2017,7,366
120042,2018,27,394
120042,2019,25,334
120043,2012,2,259
120043,2013,0,223
120043,2014,1,185
120043,2015,1,150
120043,2016,0,95
120043,2017,0,198
120043,2018,1,207
120043,2019,2,186
120045,2012,9,396
120045,2013,0,425
120045,2014,9,453
120045,2015,4,443
120045,2016,5,410
120045,2017,2,395
120045,2018,13,476
120045,2019,22,417
120050,2012,3,929
120050,2013,0,904
120050,2014,4,827
120050,2015,8,847
120050,2016,3,762
120050,2017,3,780
120050,2018,10,788
120050,2019,24,768
120060,2012,129,1158
120060,2013,0,1138
120060,2014,174,1230
120060,2015,147,1165
120060,2016,50,1078
120060,2017,84,1132
120060,2018,47,1193
120060,2019,25,1143
120070,2012,5,311
120070,2013,0,294
120070,2014,6,306
120070,2015,5,322
120070,2016,5,329
120070,2017,3,305
120070,2018,8,325
120070,2019,11,297
120080,2012,2,346
120080,2013,0,362
120080,2014,5,368
120080,2015,8,358
120080,2016,6,356
120080,2017,4,430
120080,2018,14,392
120080,2019,23,379
130000,2012,0,8
130000,2013,0,18
130000,2014,0,23
130000,2015,1,18
130000,2016,0,25
130000,2017,1,17
130000,2018,1,25
130000,2019,1,12
130002,2012,5,320
130002,2013,0,346
130002,2014,14,308
130002,2015,8,342
130002,2016,3,325
130002,2017,10,401
130002,2018,9,346
130002,2019,14,418
130006,2012,4,242
130006,2013,0,261
130006,2014,5,264
130006,2015,2,214
130006,2016,0,280
130006,2017,2,267
130006,2018,2,247
