CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
120020,2014,171,1818
120020,2015,144,1839
120020,2016,127,1632
120020,2017,125,1684
120020,2018,121,1756
120020,2019,136,1809
120025,2012,22,282
120025,2013,20,275
120025,2014,14,262
120025,2015,12,279
120025,2016,28,270
120025,2017,15,291
120025,2018,20,273
120025,2019,20,314
120030,2012,52,904
120030,2013,39,791
120030,2014,44,829
120030,2015,51,772
120030,2016,56,834
120030,2017,44,833
120030,2018,60,833
120030,2019,47,871
120032,2012,27,269
120032,2013,41,271
120032,2014,26,282
120032,2015,21,273
120032,2016,20,263
120032,2017,25,266
120032,2018,26,274
120032,2019,22,218
120033,2012,21,386
120033,2013,32,399
120033,2014,21,413
120033,2015,23,395
120033,2016,20,325
120033,2017,11,358
120033,2018,25,367
120033,2019,31,345
120034,2012,28,256
120034,2013,25,229
120034,2014,22,243
120034,2015,32,266
120034,2016,21,236
120034,2017,17,261
120034,2018,17,252
120034,2019,10,230
120035,2012,25,474
120035,2013,23,485
120035,2014,31,458
120035,2015,33,445
120035,2016,20,352
120035,2017,30,388
120035,2018,43,407
120035,2019,40,448
120038,2012,19,353
120038,2013,32,334
120038,2014,28,322
120038,2015,20,350
120038,2016,29,339
120038,2017,19,305
120038,2018,21,309
120038,2019,23,318
120039,2012,18,338
120039,2013,18,287
120039,2014,18,250
120039,2015,17,262
120039,2016,18,230
120039,2017,19,282
120039,2018,18,254
120039,2019,18,270
120040,2012,588,6531
120040,2013,598,7116
120040,2014,596,7011
120040,2015,640,6965
120040,2016,581,6614
120040,2017,485,6460
120040,2018,537,6495
120040,2019,503,6324
120042,2012,24,390
120042,2013,24,363
120042,2014,29,394
120042,2015,24,396
120042,2016,21,304
120042,2017,27,366
120042,2018,34,394
120042,2019,31,334
120043,2012,9,259
120043,2013,10,223
120043,2014,8,185
120043,2015,16,150
120043,2016,4,95
120043,2017,18,198
120043,2018,16,207
120043,2019,23,186
120045,2012,40,396
120045,2013,37,425
120045,2014,40,453
120045,2015,45,443
120045,2016,28,410
120045,2017,34,395
120045,2018,46,476
120045,2019,27,417
120050,2012,63,929
120050,2013,83,904
120050,2014,52,827
120050,2015,46,847
120050,2016,60,762
120050,2017,56,780
120050,2018,47,788
120050,2019,49,768
120060,2012,53,1158
120060,2013,51,1138
120060,2014,44,1230
120060,2015,46,1165
120060,2016,47,1078
120060,2017,68,1132
120060,2018,59,1193
120060,2019,75,1143
120070,2012,14,311
120070,2013,21,294
120070,2014,15,306
120070,2015,16,322
120070,2016,24,329
120070,2017,25,305
120070,2018,20,325
120070,2019,22,297
120080,2012,30,346
120080,2013,28,362
120080,2014,29,368
120080,2015,25,358
120080,2016,25,356
120080,2017,41,430
120080,2018,31,392
120080,2019,21,379
130000,2012,2,8
130000,2013,2,18
130000,2014,5,23
130000,2015,4,18
130000,2016,2,25
130000,2017,4,17
130000,2018,4,25
130000,2019,1,12
130002,2012,23,320
130002,2013,16,346
130002,2014,21,308
130002,2015,17,342
130002,2016,23,325
130002,2017,21,401
130002,2018,29,346
130002,2019,26,418
130006,2012,13,242
130006,2013,13,261
130006,2014,12,264
130006,2015,9,214
130006,2016,11,280
130006,2017,14,267
130006,2018,10,247
130006,2019,15,265
130008,2012,12,199
130008,2013,12,201
130008,2014,10,212
130008,2015,12,163
130008,2016,7,182
130008,2017,16,196
130008,2018,15,214
130008,2019,10,190
130010,2012,17,247
130010,2013,21,285
130010,2014,10,267
130010,2015,19,255
130010,2016,17,266
130010,2017,16,257
130010,2018,18,247
130010,2019,18,233
130014,2012,14,195
130014,2013,16,223
130014,2014,16,223
130014,2015,13,204
130014,2016,12,211
130014,2017,17,233
130014,2018,13,242
130014,2019,15,239
130020,2012,24,357
130020,2013,17,354
130020,2014,24,435
130020,2015,22,439
130020,2016,31,380
130020,2017,27,382
130020,2018,25,357
130020,2019,25,313
130030,2012,52,877
130030,2013,58,877
130030,2014,54,955
130030,2015,50,829
130030,2016,49,890
130030,2017,51,897
130030,2018,66,948
130030,2019,45,872
130040,2012,36,469
130040,2013,37,480
130040,2014,19,419
130040,2015,28,505
130040,2016,37,496
130040,2017,54,524
130040,2018,73,570
130040,2019,56,556
130050,2012,38,707
130050,2013,48,769
130050,2014,49,756
130050,2015,44,815
130050,2016,65,810
130050,2017,61,870
130050,2018,57,851
130050,2019,45,857
130060,2012,69,1053
130060,2013,83,1036
130060,2014,72,1077
130060,2015,67,968
130060,2016,76,1021
130060,2017,73,1039
130060,2018,76,985
130060,2019,76,1030
130063,2012,18,427
130063,2013,25,428
130063,2014,12,488
130063,2015,28,489
130063,2016,30,510
130063,2017,30,597
130063,2018,28,501
130063,2019,21,525
130068,2012,16,260
130068,2013,14,321
130068,2014,13,328
130068,2015,19,369
130068,2016,23,312
130068,2017,22,319
130068,2018,20,318
130068,2019,29,330
130070,2012,46,741
130070,2013,57,763
130070,2014,41,734
130070,2015,48,695
130070,2016,33,653
130070,2017,45,771
130070,2018,57,739
130070,2019,37,725
130080,2012,51,690
130080,2013,62,705
130080,2014,46,711
130080,2015,45,725
130080,2016,47,663
130080,2017,56,797
130080,2018,56,789
130080,2019,54,763
130083,2012,8,138
130083,2013,16,203
130083,2014,14,204
130083,2015,11,173
130083,2016,9,183
130083,2017,16,216
130083,2018,5,188
130083,2019,16,169
130090,2012,16,213
130090,2013,7,196
130090,2014,8,231
130090,2015,9,219
130090,2016,14,217
130090,2017,10,191
130090,2018,13,222
130090,2019,10,192
130100,2012,47,656
130100,2013,38,633
130100,2014,44,658
130100,2015,30,628
130100,2016,28,625
130100,2017,19,626
130100,2018,24,636
130100,2019,33,635
130110,2012,21,414
130110,2013,28,442
130110,2014,29,474
130110,2015,29,419
130110,2016,41,481
130110,2017,38,512
130110,2018,38,550
130110,2019,36,564
130115,2012,14,171
130115,2013,9,168
130115,2014,13,208
130115,2015,16,215
130115,2016,12,199
130115,2017,11,237
130115,2018,26,275
130115,2019,11,198
130120,2012,114,1668
130120,2013,129,1750
130120,2014,136,1704
130120,2015,115,1744
130120,2016,100,1646
130120,2017,115,1656
130120,2018,127,1747
130120,2019,116,1698
130130,2012,19,432
130130,2013,23,424
130130,2014,25,426
130130,2015,26,434
130130,2016,14,404
130130,2017,25,439
130130,2018,25,429
130130,2019,23,468
130140,2012,78,833
130140,2013,78,852
130140,2014,68,852
130140,2015,60,825
130140,2016,72,787
130140,2017,58,854
130140,2018,62,830
130140,2019,36,792
130150,2012,27,314
130150,2013,43,366
130150,2014,29,386
130150,2015,24,412
130150,2016,32,369
130150,2017,21,424
130150,2018,22,369
130150,2019,24,391
130160,2012,44,520
130160,2013,52,556
130160,2014,48,606
130160,2015,46,670
130160,2016,39,573
130160,2017,54,630
130160,2018,47,621
130160,2019,41,579
130165,2012,27,360
130165,2013,29,329
130165,2014,29,356
130165,2015,38,334
130165,2016,21,284
130165,2017,23,326
130165,2018,25,293
130165,2019,24,285
130170,2012,59,847
130170,2013,60,902
130170,2014,57,970
130170,2015,56,941
130170,2016,68,977
130170,2017,66,1001
