CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
120000,2012,0,1
120001,2012,143,253
120001,2013,0,258
120001,2014,118,269
120001,2015,73,217
120001,2016,50,222
120001,2017,94,256
120001,2018,30,216
120001,2019,7,257
120005,2012,101,219
120005,2013,0,213
120005,2014,37,196
120005,2015,23,238
120005,2016,33,190
120005,2017,103,248
120005,2018,103,264
120005,2019,126,266
120010,2012,65,505
120010,2013,0,530
120010,2014,44,547
120010,2015,50,531
120010,2016,37,490
120010,2017,53,570
120010,2018,21,540
120010,2019,12,540
120013,2012,124,198
120013,2013,0,202
120013,2014,103,242
120013,2015,65,248
120013,2016,62,248
120013,2017,120,307
120013,2018,43,306
120013,2019,10,329
120017,2012,120,201
120017,2013,0,193
120017,2014,112,234
120017,2015,67,219
120017,2016,43,194
120017,2017,72,243
120017,2018,28,222
120017,2019,10,217
120020,2012,141,1741
120020,2013,0,1783
120020,2014,113,1818
120020,2015,121,1839
120020,2016,13,1632
120020,2017,46,1684
120020,2018,7,1756
120020,2019,10,1809
120025,2012,48,282
120025,2013,0,275
120025,2014,38,262
120025,2015,19,279
120025,2016,27,270
120025,2017,32,291
120025,2018,15,273
120025,2019,14,314
120030,2012,145,904
120030,2013,0,791
120030,2014,291,829
120030,2015,136,772
120030,2016,130,834
120030,2017,115,833
120030,2018,60,833
120030,2019,46,871
120032,2012,34,269
120032,2013,0,271
120032,2014,80,282
120032,2015,38,273
120032,2016,31,263
120032,2017,22,266
120032,2018,24,274
120032,2019,9,218
120033,2012,30,386
120033,2013,0,399
120033,2014,16,413
120033,2015,23,395
120033,2016,9,325
120033,2017,10,358
120033,2018,5,367
120033,2019,2,345
120034,2012,29,256
120034,2013,0,229
120034,2014,30,243
120034,2015,34,266
120034,2016,34,236
120034,2017,51,261
120034,2018,17,252
120034,2019,6,230
120035,2012,12,474
120035,2013,0,485
120035,2014,65,458
120035,2015,46,445
120035,2016,75,352
120035,2017,69,388
120035,2018,53,407
120035,2019,25,448
120038,2012,205,353
120038,2013,0,334
120038,2014,138,322
120038,2015,116,350
120038,2016,78,339
120038,2017,114,305
120038,2018,42,309
120038,2019,13,318
120039,2012,61,338
120039,2013,0,287
120039,2014,13,250
120039,2015,9,262
120039,2016,4,230
120039,2017,0,282
120039,2018,1,254
120039,2019,1,270
120040,2012,3971,6531
120040,2013,0,7116
120040,2014,3239,7011
120040,2015,2348,6965
120040,2016,1654,6614
120040,2017,2173,6460
120040,2018,833,6495
120040,2019,384,6324
120042,2012,12,390
120042,2013,0,363
120042,2014,9,394
120042,2015,16,396
120042,2016,5,304
120042,2017,22,366
120042,2018,25,394
120042,2019,12,334
120043,2012,74,259
120043,2013,0,223
120043,2014,44,185
120043,2015,20,150
120043,2016,21,95
120043,2017,62,198
120043,2018,23,207
120043,2019,17,186
120045,2012,218,396
120045,2013,0,425
120045,2014,191,453
120045,2015,126,443
120045,2016,102,410
120045,2017,140,395
120045,2018,70,476
120045,2019,20,417
120050,2012,74,929
120050,2013,0,904
120050,2014,97,827
120050,2015,95,847
120050,2016,98,762
120050,2017,135,780
120050,2018,54,788
120050,2019,19,768
120060,2012,167,1158
120060,2013,0,1138
120060,2014,175,1230
120060,2015,111,1165
120060,2016,113,1078
120060,2017,163,1132
120060,2018,187,1193
120060,2019,108,1143
120070,2012,93,311
120070,2013,0,294
120070,2014,74,306
120070,2015,57,322
120070,2016,44,329
120070,2017,82,305
120070,2018,28,325
120070,2019,9,297
120080,2012,223,346
120080,2013,0,362
120080,2014,167,368
120080,2015,111,358
120080,2016,83,356
120080,2017,149,430
120080,2018,46,392
120080,2019,25,379
130000,2012,0,8
130000,2013,0,18
130000,2014,11,23
130000,2015,14,18
130000,2016,6,25
130000,2017,0,17
130000,2018,1,25
130000,2019,1,12
130002,2012,18,320
130002,2013,0,346
130002,2014,7,308
130002,2015,4,342
130002,2016,9,325
130002,2017,23,401
130002,2018,1,346
130002,2019,1,418
130006,2012,5,242
130006,2013,0,261
130006,2014,1,264
130006,2015,2,214
130006,2016,4,280
130006,2017,0,267
130006,2018,1,247
130006,2019,0,265
130008,2012,8,199
130008,2013,0,201
130008,2014,2,212
130008,2015,2,163
130008,2016,7,182
130008,2017,1,196
130008,2018,2,214
130008,2019,0,190
130010,2012,15,247
130010,2013,0,285
130010,2014,9,267
130010,2015,12,255
130010,2016,12,266
130010,2017,9,257
130010,2018,0,247
130010,2019,1,233
130014,2012,1,195
130014,2013,0,223
130014,2014,5,223
130014,2015,5,204
130014,2016,6,211
130014,2017,0,233
130014,2018,5,242
130014,2019,1,239
130020,2012,9,357
130020,2013,0,354
130020,2014,1,435
130020,2015,2,439
130020,2016,8,380
130020,2017,0,382
130020,2018,4,357
130020,2019,0,313
130030,2012,34,877
130030,2013,0,877
130030,2014,6,955
130030,2015,6,829
130030,2016,3,890
130030,2017,2,897
130030,2018,81,948
130030,2019,0,872
130040,2012,9,469
130040,2013,0,480
130040,2014,17,419
130040,2015,22,505
130040,2016,0,496
130040,2017,1,524
130040,2018,3,570
130040,2019,0,556
130050,2012,2,707
130050,2013,0,769
130050,2014,1,756
130050,2015,0,815
130050,2016,1,810
130050,2017,0,870
130050,2018,0,851
130050,2019,0,857
130060,2012,4,1053
130060,2013,0,1036
130060,2014,3,1077
130060,2015,4,968
130060,2016,14,1021
130060,2017,1,1039
130060,2018,1,985
130060,2019,0,1030
130063,2012,22,427
130063,2013,0,428
130063,2014,4,488
130063,2015,1,489
130063,2016,30,510
130063,2017,1,597
130063,2018,0,501
130063,2019,0,525
130068,2012,21,260
130068,2013,0,321
130068,2014,1,328
130068,2015,0,369
130068,2016,1,312
130068,2017,1,319
130068,2018,2,318
130068,2019,0,330
130070,2012,79,741
130070,2013,0,763
130070,2014,56,734
130070,2015,46,695
130070,2016,29,653
130070,2017,40,771
130070,2018,22,739
130070,2019,6,725
130080,2012,11,690
130080,2013,0,705
130080,2014,14,711
130080,2015,6,725
130080,2016,5,663
130080,2017,5,797
130080,2018,0,789
130080,2019,0,763
130083,2012,13,138
130083,2013,0,203
