CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total
130426,2018,7,286
130426,2019,4,351
130430,2012,2,298
130430,2013,8,302
130430,2014,0,284
130430,2015,2,272
130430,2016,2,265
130430,2017,0,270
130430,2018,10,261
130430,2019,4,318
130440,2012,5,321
130440,2013,1,325
130440,2014,4,329
130440,2015,0,282
130440,2016,3,299
130440,2017,4,315
130440,2018,5,313
130440,2019,4,321
140000,2012,0,2
140000,2013,0,8
140000,2014,0,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,2,308
140002,2013,6,307
140002,2014,0,298
140002,2015,9,339
140002,2016,2,331
140002,2017,2,355
140002,2018,4,433
140002,2019,2,446
140005,2012,9,600
140005,2013,4,601
140005,2014,8,563
140005,2015,4,550
140005,2016,12,620
140005,2017,12,526
140005,2018,4,737
140005,2019,7,711
140010,2012,89,6358
140010,2013,84,6350
140010,2014,98,6755
140010,2015,119,6719
140010,2016,132,6749
140010,2017,121,7043
140010,2018,134,8163
140010,2019,138,8936
140015,2012,4,312
140015,2013,2,327
140015,2014,7,325
140015,2015,2,355
140015,2016,2,365
140015,2017,2,377
140015,2018,0,391
140015,2019,4,470
140017,2012,4,315
140017,2013,4,335
140017,2014,2,362
140017,2015,4,327
140017,2016,2,315
140017,2017,4,352
140017,2018,11,337
140017,2019,2,385
140020,2012,6,425
140020,2013,2,424
140020,2014,7,393
140020,2015,0,414
140020,2016,3,381
140020,2017,2,407
140020,2018,10,406
140020,2019,6,445
140023,2012,0,138
140023,2013,2,151
140023,2014,4,154
140023,2015,2,139
140023,2016,4,145
140023,2017,4,183
140023,2018,3,181
140023,2019,2,204
140028,2012,4,173
140028,2013,2,147
140028,2014,0,156
140028,2015,2,169
140028,2016,4,138
140028,2017,4,154
140028,2018,9,138
140028,2019,2,185
140030,2012,2,270
140030,2013,2,351
140030,2014,3,299
140030,2015,0,341
140030,2016,6,308
140030,2017,4,309
140030,2018,2,325
140030,2019,1,372
140040,2012,2,319
140040,2013,9,381
140040,2014,1,376
140040,2015,4,442
140040,2016,12,428
140040,2017,4,415
140040,2018,4,463
140040,2019,2,489
140045,2012,5,327
140045,2013,1,351
140045,2014,6,340
140045,2015,2,361
140045,2016,8,357
140045,2017,5,380
140045,2018,4,423
140045,2019,24,556
140047,2012,8,422
140047,2013,10,422
140047,2014,5,442
140047,2015,6,527
140047,2016,4,542
140047,2017,2,563
140047,2018,8,628
140047,2019,2,567
140050,2012,4,116
140050,2013,5,120
140050,2014,4,117
140050,2015,2,117
140050,2016,4,104
140050,2017,4,122
140050,2018,2,119
140050,2019,2,131
140060,2012,2,84
140060,2013,0,80
140060,2014,0,67
140060,2015,2,91
140060,2016,1,83
140060,2017,0,106
140060,2018,2,86
140060,2019,4,107
140070,2012,2,432
140070,2013,6,459
140070,2014,2,466
140070,2015,12,518
140070,2016,3,509
140070,2017,4,445
140070,2018,12,513
140070,2019,11,616
150000,2012,2,4
150000,2013,2,8
150000,2014,0,2
150000,2015,0,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,0,3
150010,2012,39,2530
150010,2013,36,2538
150010,2014,32,2705
150010,2015,48,2660
150010,2016,34,2532
150010,2017,33,2713
150010,2018,31,2671
150010,2019,23,2623
150013,2012,1,114
150013,2013,0,129
150013,2014,0,100
150013,2015,6,143
150013,2016,2,117
150013,2017,3,142
150013,2018,0,130
150013,2019,4,132
150020,2012,10,966
150020,2013,10,1039
150020,2014,20,1116
150020,2015,15,936
150020,2016,18,996
150020,2017,26,992
150020,2018,17,1013
150020,2019,17,980
150030,2012,18,805
150030,2013,14,788
150030,2014,9,806
150030,2015,10,871
150030,2016,10,911
150030,2017,6,968
150030,2018,25,1022
150030,2019,4,1014
150034,2012,2,164
150034,2013,0,190
150034,2014,2,182
150034,2015,4,199
150034,2016,6,163
150034,2017,11,215
150034,2018,2,223
150034,2019,6,225
150040,2012,11,1138
150040,2013,17,1126
150040,2014,14,1133
150040,2015,30,1133
150040,2016,12,1031
