CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total
110150,2017,57,188
110150,2018,58,154
110150,2019,57,168
110155,2012,6,57
110155,2013,0,80
110155,2014,15,69
110155,2015,15,71
110155,2016,21,59
110155,2017,16,58
110155,2018,22,60
110155,2019,19,64
110160,2012,30,133
110160,2013,0,106
110160,2014,53,125
110160,2015,28,107
110160,2016,35,131
110160,2017,49,146
110160,2018,61,131
110160,2019,35,97
110170,2012,24,146
110170,2013,0,150
110170,2014,32,122
110170,2015,43,138
110170,2016,50,151
110170,2017,24,150
110170,2018,39,139
110170,2019,61,170
110175,2012,16,86
110175,2013,0,89
110175,2014,37,128
110175,2015,40,106
110175,2016,33,110
110175,2017,25,86
110175,2018,41,91
110175,2019,32,93
110180,2012,20,83
110180,2013,0,107
110180,2014,13,90
110180,2015,16,63
110180,2016,27,98
110180,2017,23,79
110180,2018,29,95
110180,2019,21,81
120000,2012,0,1
120001,2012,18,253
120001,2013,0,258
120001,2014,17,269
120001,2015,18,217
120001,2016,28,222
120001,2017,24,256
120001,2018,30,216
120001,2019,45,257
120005,2012,3,219
120005,2013,0,213
120005,2014,15,196
120005,2015,15,238
120005,2016,14,190
120005,2017,23,248
120005,2018,26,264
120005,2019,32,266
120010,2012,50,505
120010,2013,0,530
120010,2014,43,547
120010,2015,71,531
120010,2016,74,490
120010,2017,73,570
120010,2018,105,540
120010,2019,142,540
120013,2012,11,198
120013,2013,0,202
120013,2014,19,242
120013,2015,15,248
120013,2016,22,248
120013,2017,21,307
120013,2018,35,306
120013,2019,48,329
120017,2012,13,201
120017,2013,0,193
120017,2014,13,234
120017,2015,16,219
120017,2016,12,194
120017,2017,13,243
120017,2018,26,222
120017,2019,28,217
120020,2012,182,1741
120020,2013,0,1783
120020,2014,230,1818
120020,2015,228,1839
120020,2016,249,1632
120020,2017,298,1684
120020,2018,290,1756
120020,2019,337,1809
120025,2012,28,282
120025,2013,0,275
120025,2014,39,262
120025,2015,34,279
120025,2016,41,270
120025,2017,39,291
120025,2018,52,273
120025,2019,64,314
120030,2012,92,904
120030,2013,0,791
120030,2014,72,829
120030,2015,95,772
120030,2016,107,834
120030,2017,79,833
120030,2018,84,833
120030,2019,93,871
120032,2012,2,269
120032,2013,0,271
120032,2014,3,282
120032,2015,8,273
120032,2016,5,263
120032,2017,7,266
120032,2018,14,274
120032,2019,7,218
120033,2012,40,386
120033,2013,0,399
120033,2014,47,413
120033,2015,44,395
120033,2016,37,325
120033,2017,57,358
120033,2018,50,367
120033,2019,53,345
120034,2012,12,256
120034,2013,0,229
120034,2014,11,243
120034,2015,20,266
120034,2016,13,236
120034,2017,15,261
120034,2018,22,252
120034,2019,21,230
120035,2012,15,474
120035,2013,0,485
120035,2014,21,458
120035,2015,23,445
120035,2016,19,352
120035,2017,19,388
120035,2018,26,407
120035,2019,35,448
120038,2012,27,353
120038,2013,0,334
120038,2014,24,322
120038,2015,24,350
120038,2016,40,339
120038,2017,24,305
120038,2018,34,309
120038,2019,55,318
120039,2012,16,338
120039,2013,0,287
120039,2014,7,250
120039,2015,15,262
120039,2016,12,230
120039,2017,22,282
120039,2018,24,254
120039,2019,21,270
120040,2012,624,6531
120040,2013,0,7116
120040,2014,462,7011
120040,2015,668,6965
120040,2016,834,6614
120040,2017,681,6460
120040,2018,975,6495
120040,2019,1082,6324
120042,2012,29,390
120042,2013,0,363
120042,2014,31,394
120042,2015,41,396
120042,2016,46,304
120042,2017,36,366
120042,2018,54,394
120042,2019,43,334
120043,2012,2,259
120043,2013,0,223
120043,2014,3,185
120043,2015,2,150
120043,2016,7,95
120043,2017,1,198
120043,2018,4,207
120043,2019,5,186
120045,2012,34,396
120045,2013,0,425
120045,2014,31,453
120045,2015,48,443
120045,2016,40,410
120045,2017,25,395
120045,2018,53,476
120045,2019,65,417
120050,2012,120,929
120050,2013,0,904
120050,2014,102,827
120050,2015,95,847
120050,2016,83,762
120050,2017,91,780
120050,2018,113,788
120050,2019,123,768
120060,2012,56,1158
120060,2013,0,1138
120060,2014,63,1230
120060,2015,118,1165
120060,2016,107,1078
120060,2017,108,1132
120060,2018,130,1193
120060,2019,143,1143
120070,2012,23,311
120070,2013,0,294
120070,2014,25,306
120070,2015,23,322
120070,2016,44,329
120070,2017,33,305
120070,2018,34,325
120070,2019,41,297
120080,2012,28,346
120080,2013,0,362
120080,2014,20,368
120080,2015,26,358
120080,2016,37,356
120080,2017,33,430
120080,2018,48,392
120080,2019,56,379
130000,2012,3,8
130000,2013,0,18
130000,2014,5,23
130000,2015,1,18
130000,2016,0,25
130000,2017,3,17
130000,2018,1,25
130000,2019,4,12
130002,2012,23,320
130002,2013,0,346
130002,2014,33,308
130002,2015,33,342
130002,2016,42,325
130002,2017,40,401
130002,2018,46,346
130002,2019,55,418
130006,2012,10,242
130006,2013,0,261
130006,2014,11,264
130006,2015,15,214
130006,2016,16,280
130006,2017,12,267
130006,2018,8,247
130006,2019,10,265
130008,2012,22,199
130008,2013,0,201
130008,2014,27,212
130008,2015,26,163
130008,2016,25,182
130008,2017,31,196
130008,2018,27,214
130008,2019,28,190
130010,2012,23,247
130010,2013,0,285
130010,2014,28,267
130010,2015,27,255
130010,2016,38,266
130010,2017,38,257
130010,2018,32,247
130010,2019,31,233
130014,2012,33,195
130014,2013,0,223
130014,2014,23,223
130014,2015,8,204
130014,2016,28,211
130014,2017,32,233
130014,2018,34,242
130014,2019,41,239
130020,2012,8,357
130020,2013,0,354
130020,2014,17,435
130020,2015,28,439
130020,2016,22,380
130020,2017,20,382
130020,2018,23,357
130020,2019,20,313
130030,2012,108,877
130030,2013,0,877
130030,2014,133,955
130030,2015,120,829
130030,2016,128,890
130030,2017,146,897
130030,2018,143,948
130030,2019,153,872
130040,2012,41,469
130040,2013,0,480
130040,2014,51,419
130040,2015,50,505
130040,2016,39,496
130040,2017,56,524
130040,2018,50,570
130040,2019,64,556
130050,2012,57,707
130050,2013,0,769
130050,2014,45,756
130050,2015,82,815
130050,2016,64,810
130050,2017,83,870
130050,2018,80,851
130050,2019,82,857
130060,2012,34,1053
130060,2013,0,1036
130060,2014,56,1077
130060,2015,62,968
130060,2016,73,1021
130060,2017,85,1039
130060,2018,81,985
130060,2019,95,1030
130063,2012,49,427
130063,2013,0,428
130063,2014,47,488
130063,2015,50,489
130063,2016,46,510
130063,2017,59,597
130063,2018,42,501
130063,2019,69,525
130068,2012,12,260
130068,2013,0,321
130068,2014,34,328
130068,2015,40,369
130068,2016,26,312
130068,2017,40,319
130068,2018,34,318
130068,2019,34,330
130070,2012,90,741
130070,2013,0,763
130070,2014,81,734
130070,2015,111,695
130070,2016,104,653
130070,2017,119,771
130070,2018,111,739
130070,2019,116,725
130080,2012,71,690
130080,2013,0,705
130080,2014,96,711
130080,2015,86,725
130080,2016,79,663
130080,2017,111,797
130080,2018,101,789
130080,2019,86,763
130083,2012,12,138
130083,2013,0,203
130083,2014,44,204
130083,2015,27,173
130083,2016,33,183
130083,2017,30,216
130083,2018,38,188
130083,2019,28,169
130090,2012,23,213
130090,2013,0,196
130090,2014,42,231
130090,2015,35,219
130090,2016,31,217
130090,2017,27,191
130090,2018,39,222
130090,2019,37,192
130100,2012,28,656
130100,2013,0,633
130100,2014,28,658
130100,2015,40,628
130100,2016,37,625
130100,2017,56,626
130100,2018,56,636
130100,2019,71,635
130110,2012,43,414
130110,2013,0,442
130110,2014,81,474
130110,2015,52,419
130110,2016,58,481
130110,2017,84,512
130110,2018,90,550
130110,2019,133,564
130115,2012,22,171
130115,2013,0,168
130115,2014,24,208
130115,2015,30,215
130115,2016,25,199
130115,2017,32,237
130115,2018,51,275
130115,2019,37,198
130120,2012,226,1668
130120,2013,0,1750
130120,2014,236,1704
130120,2015,244,1744
130120,2016,246,1646
130120,2017,287,1656
130120,2018,304,1747
130120,2019,291,1698
