CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total
120017,2014,31,234
120017,2015,24,219
120017,2016,24,194
120017,2017,27,243
120017,2018,25,222
120017,2019,28,217
120020,2012,127,1741
120020,2013,137,1783
120020,2014,159,1818
120020,2015,179,1839
120020,2016,166,1632
120020,2017,196,1684
120020,2018,219,1756
120020,2019,215,1809
120025,2012,21,282
120025,2013,22,275
120025,2014,21,262
120025,2015,30,279
120025,2016,29,270
120025,2017,23,291
120025,2018,31,273
120025,2019,37,314
120030,2012,93,904
120030,2013,59,791
120030,2014,92,829
120030,2015,66,772
120030,2016,94,834
120030,2017,97,833
120030,2018,92,833
120030,2019,93,871
120032,2012,33,269
120032,2013,30,271
120032,2014,32,282
120032,2015,25,273
120032,2016,34,263
120032,2017,24,266
120032,2018,24,274
120032,2019,18,218
120033,2012,29,386
120033,2013,32,399
120033,2014,36,413
120033,2015,33,395
120033,2016,30,325
120033,2017,32,358
120033,2018,30,367
120033,2019,42,345
120034,2012,25,256
120034,2013,18,229
120034,2014,20,243
120034,2015,28,266
120034,2016,23,236
120034,2017,25,261
120034,2018,22,252
120034,2019,20,230
120035,2012,50,474
120035,2013,36,485
120035,2014,60,458
120035,2015,52,445
120035,2016,40,352
120035,2017,46,388
120035,2018,56,407
120035,2019,39,448
120038,2012,36,353
120038,2013,23,334
120038,2014,37,322
120038,2015,33,350
120038,2016,42,339
120038,2017,31,305
120038,2018,32,309
120038,2019,44,318
120039,2012,43,338
120039,2013,32,287
120039,2014,33,250
120039,2015,22,262
120039,2016,26,230
120039,2017,25,282
120039,2018,18,254
120039,2019,28,270
120040,2012,620,6531
120040,2013,707,7116
120040,2014,738,7011
120040,2015,809,6965
120040,2016,762,6614
120040,2017,844,6460
120040,2018,933,6495
120040,2019,910,6324
120042,2012,29,390
120042,2013,30,363
120042,2014,31,394
120042,2015,36,396
120042,2016,30,304
120042,2017,42,366
120042,2018,44,394
120042,2019,34,334
120043,2012,41,259
120043,2013,26,223
120043,2014,37,185
120043,2015,15,150
120043,2016,18,95
120043,2017,21,198
120043,2018,19,207
120043,2019,37,186
120045,2012,29,396
120045,2013,28,425
120045,2014,41,453
120045,2015,44,443
120045,2016,41,410
120045,2017,49,395
120045,2018,53,476
120045,2019,44,417
120050,2012,73,929
120050,2013,71,904
120050,2014,59,827
120050,2015,75,847
120050,2016,80,762
120050,2017,81,780
120050,2018,72,788
120050,2019,76,768
120060,2012,111,1158
120060,2013,96,1138
120060,2014,106,1230
120060,2015,116,1165
120060,2016,92,1078
120060,2017,99,1132
120060,2018,100,1193
120060,2019,98,1143
120070,2012,25,311
120070,2013,28,294
120070,2014,27,306
120070,2015,28,322
120070,2016,30,329
120070,2017,29,305
120070,2018,29,325
120070,2019,42,297
120080,2012,28,346
120080,2013,35,362
120080,2014,47,368
120080,2015,33,358
120080,2016,46,356
120080,2017,49,430
120080,2018,60,392
120080,2019,34,379
130000,2012,1,8
130000,2013,3,18
130000,2014,0,23
130000,2015,0,18
130000,2016,1,25
130000,2017,1,17
130000,2018,2,25
130000,2019,0,12
130002,2012,13,320
130002,2013,16,346
130002,2014,11,308
130002,2015,16,342
130002,2016,20,325
130002,2017,26,401
130002,2018,21,346
130002,2019,20,418
130006,2012,21,242
130006,2013,11,261
130006,2014,21,264
130006,2015,17,214
130006,2016,23,280
130006,2017,27,267
130006,2018,18,247
130006,2019,26,265
130008,2012,21,199
130008,2013,13,201
130008,2014,12,212
130008,2015,12,163
130008,2016,14,182
130008,2017,10,196
130008,2018,19,214
130008,2019,18,190
130010,2012,11,247
130010,2013,13,285
130010,2014,19,267
130010,2015,13,255
130010,2016,16,266
130010,2017,19,257
130010,2018,18,247
130010,2019,12,233
130014,2012,5,195
130014,2013,10,223
130014,2014,4,223
130014,2015,8,204
130014,2016,10,211
130014,2017,13,233
130014,2018,10,242
130014,2019,11,239
130020,2012,27,357
130020,2013,35,354
130020,2014,41,435
130020,2015,40,439
130020,2016,38,380
130020,2017,32,382
130020,2018,38,357
130020,2019,33,313
130030,2012,62,877
130030,2013,63,877
130030,2014,57,955
130030,2015,57,829
130030,2016,71,890
130030,2017,64,897
130030,2018,59,948
130030,2019,71,872
130040,2012,34,469
130040,2013,26,480
130040,2014,20,419
130040,2015,43,505
130040,2016,46,496
130040,2017,40,524
130040,2018,47,570
130040,2019,51,556
130050,2012,62,707
130050,2013,72,769
130050,2014,76,756
130050,2015,75,815
130050,2016,66,810
130050,2017,95,870
130050,2018,92,851
130050,2019,91,857
130060,2012,102,1053
130060,2013,99,1036
130060,2014,99,1077
130060,2015,90,968
130060,2016,97,1021
130060,2017,102,1039
130060,2018,103,985
130060,2019,108,1030
130063,2012,31,427
130063,2013,35,428
130063,2014,31,488
130063,2015,40,489
130063,2016,32,510
130063,2017,46,597
130063,2018,34,501
130063,2019,40,525
130068,2012,11,260
130068,2013,14,321
130068,2014,25,328
130068,2015,13,369
130068,2016,27,312
130068,2017,25,319
130068,2018,16,318
130068,2019,27,330
130070,2012,35,741
130070,2013,51,763
130070,2014,50,734
130070,2015,33,695
130070,2016,51,653
130070,2017,62,771
130070,2018,56,739
130070,2019,50,725
130080,2012,47,690
130080,2013,39,705
130080,2014,33,711
130080,2015,49,725
130080,2016,32,663
130080,2017,50,797
130080,2018,57,789
130080,2019,54,763
130083,2012,11,138
130083,2013,11,203
130083,2014,15,204
130083,2015,10,173
130083,2016,14,183
130083,2017,10,216
130083,2018,13,188
130083,2019,16,169
130090,2012,12,213
130090,2013,10,196
130090,2014,17,231
130090,2015,10,219
130090,2016,6,217
130090,2017,7,191
130090,2018,9,222
130090,2019,9,192
130100,2012,31,656
130100,2013,46,633
130100,2014,27,658
130100,2015,48,628
130100,2016,53,625
130100,2017,42,626
130100,2018,48,636
130100,2019,57,635
130110,2012,35,414
130110,2013,30,442
130110,2014,41,474
130110,2015,40,419
130110,2016,45,481
130110,2017,51,512
