CODMUNRES,ano_nasc,Qtd_2Parto,Qtd_Total
120020,2013,784,1783
120020,2014,797,1818
120020,2015,760,1839
120020,2016,749,1632
120020,2017,818,1684
120020,2018,802,1756
120020,2019,887,1809
120025,2012,118,282
120025,2013,120,275
120025,2014,140,262
120025,2015,122,279
120025,2016,129,270
120025,2017,126,291
120025,2018,134,273
120025,2019,179,314
120030,2012,117,904
120030,2013,128,791
120030,2014,145,829
120030,2015,160,772
120030,2016,191,834
120030,2017,136,833
120030,2018,173,833
120030,2019,220,871
120032,2012,9,269
120032,2013,13,271
120032,2014,34,282
120032,2015,21,273
120032,2016,20,263
120032,2017,26,266
120032,2018,38,274
120032,2019,32,218
120033,2012,111,386
120033,2013,126,399
120033,2014,152,413
120033,2015,137,395
120033,2016,105,325
120033,2017,142,358
120033,2018,152,367
120033,2019,146,345
120034,2012,49,256
120034,2013,52,229
120034,2014,50,243
120034,2015,61,266
120034,2016,60,236
120034,2017,57,261
120034,2018,44,252
120034,2019,53,230
120035,2012,57,474
120035,2013,72,485
120035,2014,69,458
120035,2015,70,445
120035,2016,61,352
120035,2017,75,388
120035,2018,75,407
120035,2019,96,448
120038,2012,98,353
120038,2013,126,334
120038,2014,105,322
120038,2015,119,350
120038,2016,137,339
120038,2017,126,305
120038,2018,109,309
120038,2019,147,318
120039,2012,55,338
120039,2013,33,287
120039,2014,46,250
120039,2015,53,262
120039,2016,68,230
120039,2017,78,282
120039,2018,65,254
120039,2019,65,270
120040,2012,2761,6531
120040,2013,3341,7116
120040,2014,3243,7011
120040,2015,3337,6965
120040,2016,3455,6614
120040,2017,3284,6460
120040,2018,3218,6495
120040,2019,3311,6324
120042,2012,81,390
120042,2013,105,363
120042,2014,122,394
120042,2015,125,396
120042,2016,119,304
120042,2017,125,366
120042,2018,140,394
120042,2019,130,334
120043,2012,12,259
120043,2013,23,223
120043,2014,13,185
120043,2015,14,150
120043,2016,15,95
120043,2017,12,198
120043,2018,19,207
120043,2019,22,186
120045,2012,139,396
120045,2013,156,425
120045,2014,181,453
120045,2015,167,443
120045,2016,180,410
120045,2017,152,395
120045,2018,218,476
120045,2019,180,417
120050,2012,360,929
120050,2013,339,904
120050,2014,295,827
120050,2015,314,847
120050,2016,285,762
120050,2017,282,780
120050,2018,291,788
120050,2019,285,768
120060,2012,264,1158
120060,2013,266,1138
120060,2014,315,1230
120060,2015,343,1165
120060,2016,324,1078
120060,2017,351,1132
120060,2018,454,1193
120060,2019,458,1143
120070,2012,72,311
120070,2013,86,294
120070,2014,92,306
120070,2015,91,322
120070,2016,111,329
120070,2017,122,305
120070,2018,114,325
120070,2019,110,297
120080,2012,120,346
120080,2013,142,362
120080,2014,125,368
120080,2015,143,358
120080,2016,147,356
120080,2017,186,430
120080,2018,175,392
120080,2019,173,379
130000,2012,5,8
130000,2013,11,18
130000,2014,5,23
130000,2015,2,18
130000,2016,11,25
130000,2017,5,17
130000,2018,6,25
130000,2019,6,12
130002,2012,77,320
130002,2013,98,346
130002,2014,76,308
130002,2015,68,342
130002,2016,53,325
130002,2017,88,401
130002,2018,99,346
130002,2019,103,418
130006,2012,18,242
130006,2013,25,261
130006,2014,31,264
130006,2015,28,214
130006,2016,15,280
130006,2017,18,267
130006,2018,14,247
130006,2019,24,265
130008,2012,56,199
130008,2013,55,201
130008,2014,67,212
130008,2015,46,163
130008,2016,46,182
130008,2017,52,196
130008,2018,70,214
130008,2019,76,190
130010,2012,82,247
130010,2013,79,285
130010,2014,84,267
130010,2015,99,255
130010,2016,94,266
130010,2017,98,257
130010,2018,85,247
130010,2019,84,233
130014,2012,61,195
130014,2013,83,223
130014,2014,86,223
130014,2015,73,204
130014,2016,97,211
130014,2017,82,233
130014,2018,82,242
130014,2019,106,239
130020,2012,26,357
130020,2013,31,354
130020,2014,30,435
130020,2015,54,439
130020,2016,42,380
130020,2017,52,382
130020,2018,47,357
130020,2019,24,313
130030,2012,285,877
130030,2013,266,877
130030,2014,332,955
130030,2015,254,829
130030,2016,242,890
130030,2017,249,897
