CODMUNRES,ano_nasc,Qtd_Mais_de_5_Consultas_Pre_Natal,Qtd_Total
130195,2012,103,197
130195,2013,0,260
130195,2014,160,260
130195,2015,209,293
130195,2016,174,263
130195,2017,172,245
130195,2018,237,303
130195,2019,213,247
130200,2012,139,199
130200,2013,0,184
130200,2014,107,154
130200,2015,97,148
130200,2016,122,187
130200,2017,115,165
130200,2018,133,171
130200,2019,140,173
130210,2012,74,142
130210,2013,0,130
130210,2014,95,148
130210,2015,101,169
130210,2016,84,150
130210,2017,100,161
130210,2018,75,151
130210,2019,69,121
130220,2012,73,171
130220,2013,0,202
130220,2014,128,193
130220,2015,134,217
130220,2016,96,175
130220,2017,164,253
130220,2018,137,251
130220,2019,138,235
130230,2012,331,601
130230,2013,0,629
130230,2014,155,631
130230,2015,35,633
130230,2016,40,604
130230,2017,282,659
130230,2018,277,648
130230,2019,307,646
130240,2012,407,682
130240,2013,0,728
130240,2014,445,715
130240,2015,452,659
130240,2016,437,652
130240,2017,509,741
130240,2018,570,779
130240,2019,659,892
130250,2012,970,1886
130250,2013,0,2000
130250,2014,1200,2130
130250,2015,1194,2070
130250,2016,979,1795
130250,2017,1074,1938
130250,2018,1150,2056
130250,2019,1171,2115
130255,2012,174,250
130255,2013,0,249
130255,2014,154,233
130255,2015,161,234
130255,2016,163,253
130255,2017,190,300
130255,2018,223,303
130255,2019,198,276
130260,2012,24132,41169
130260,2013,0,41640
130260,2014,25499,42809
130260,2015,26748,42342
130260,2016,25898,39603
130260,2017,24828,38498
130260,2018,24339,38588
130260,2019,24799,37939
130270,2012,383,810
130270,2013,0,850
130270,2014,470,903
130270,2015,499,930
130270,2016,533,911
130270,2017,619,989
130270,2018,614,1013
130270,2019,653,1023
130280,2012,152,313
130280,2013,0,338
130280,2014,246,399
130280,2015,194,323
130280,2016,182,358
130280,2017,238,418
130280,2018,243,405
130280,2019,213,381
130290,2012,689,1311
130290,2013,0,1317
130290,2014,796,1362
130290,2015,715,1335
130290,2016,648,1273
130290,2017,836,1553
130290,2018,867,1581
130290,2019,848,1539
130300,2012,167,344
130300,2013,0,301
130300,2014,196,357
130300,2015,183,356
130300,2016,168,338
130300,2017,195,358
130300,2018,201,314
130300,2019,242,346
130310,2012,228,591
130310,2013,0,628
130310,2014,272,619
130310,2015,262,593
130310,2016,261,587
130310,2017,272,592
130310,2018,293,612
130310,2019,283,546
130320,2012,99,257
130320,2013,0,246
130320,2014,134,307
130320,2015,146,316
130320,2016,172,289
130320,2017,180,333
130320,2018,114,327
130320,2019,174,310
130330,2012,129,321
130330,2013,0,351
130330,2014,148,344
130330,2015,249,409
130330,2016,208,386
130330,2017,240,406
130330,2018,327,379
130330,2019,362,392
130340,2012,947,2021
130340,2013,0,2133
130340,2014,992,2056
130340,2015,855,1995
130340,2016,789,1932
130340,2017,1122,2139
130340,2018,1127,2067
130340,2019,1209,1947
130350,2012,178,308
130350,2013,0,367
130350,2014,233,364
130350,2015,255,374
130350,2016,240,348
130350,2017,222,355
130350,2018,212,362
130350,2019,190,369
130353,2012,369,556
130353,2013,0,580
130353,2014,387,585
130353,2015,206,558
130353,2016,193,548
130353,2017,274,523
130353,2018,397,558
130353,2019,345,513
130356,2012,196,361
130356,2013,0,374
130356,2014,274,412
130356,2015,251,391
130356,2016,266,415
130356,2017,281,422
130356,2018,318,431
130356,2019,313,440
130360,2012,107,344
130360,2013,0,279
130360,2014,77,225
130360,2015,99,301
130360,2016,92,305
130360,2017,133,370
130360,2018,135,372
130360,2019,130,322
130370,2012,581,603
130370,2013,0,576
130370,2014,470,652
130370,2015,534,718
130370,2016,491,693
130370,2017,530,724
130370,2018,502,704
130370,2019,604,773
130380,2012,298,1119
130380,2013,0,1143
130380,2014,415,1254
130380,2015,338,1120
130380,2016,394,1255
130380,2017,369,1214
130380,2018,378,1227
130380,2019,646,1436
130390,2012,370,959
130390,2013,0,914
130390,2014,666,987
130390,2015,479,753
130390,2016,536,871
130390,2017,623,999
130390,2018,580,935
130390,2019,612,956
130395,2012,110,178
130395,2013,0,160
130395,2014,133,163
130395,2015,141,180
130395,2016,136,178
130395,2017,139,206
130395,2018,118,186
130395,2019,137,200
130400,2012,100,181
130400,2013,0,208
130400,2014,112,180
130400,2015,122,202
130400,2016,142,208
130400,2017,166,246
130400,2018,135,197
130400,2019,168,229
130406,2012,678,1632
130406,2013,0,1619
130406,2014,895,1820
130406,2015,815,1615
130406,2016,908,1753
130406,2017,1005,1701
130406,2018,1040,1685
130406,2019,1140,1770
130410,2012,228,401
130410,2013,0,421
130410,2014,212,391
130410,2015,268,439
130410,2016,220,389
130410,2017,250,405
130410,2018,275,394
130410,2019,306,432
130420,2012,773,1558
130420,2013,0,1732
130420,2014,930,1589
130420,2015,977,1754
130420,2016,919,1679
130420,2017,960,1763
130420,2018,994,1822
130420,2019,1143,1927
130423,2012,204,348
130423,2013,0,322
130423,2014,228,366
130423,2015,242,391
130423,2016,233,363
130423,2017,301,458
130423,2018,274,435
130423,2019,298,429
130426,2012,137,288
130426,2013,0,304
130426,2014,170,302
130426,2015,198,295
130426,2016,166,264
130426,2017,206,333
130426,2018,151,286
130426,2019,212,351
130430,2012,193,298
130430,2013,0,302
130430,2014,207,284
130430,2015,213,272
130430,2016,195,265
130430,2017,211,270
130430,2018,199,261
130430,2019,239,318
130440,2012,154,321
130440,2013,0,325
130440,2014,161,329
130440,2015,152,282
130440,2016,140,299
130440,2017,193,315
130440,2018,223,313
130440,2019,232,321
140000,2012,2,2
140000,2013,0,8
140000,2014,3,7
140000,2015,2,3
140000,2016,0,1
140000,2018,0,1
140002,2012,65,308
140002,2013,0,307
140002,2014,95,298
140002,2015,101,339
140002,2016,95,331
140002,2017,93,355
140002,2018,148,433
140002,2019,146,446
140005,2012,215,600
140005,2013,0,601
140005,2014,142,563
140005,2015,121,550
140005,2016,149,620
140005,2017,133,526
140005,2018,147,737
140005,2019,170,711
140010,2012,3742,6358
140010,2013,0,6350
140010,2014,4339,6755
140010,2015,4473,6719
140010,2016,4675,6749
140010,2017,4867,7043
140010,2018,5120,8163
140010,2019,5545,8936
140015,2012,109,312
140015,2013,0,327
140015,2014,114,325
140015,2015,149,355
140015,2016,159,365
140015,2017,143,377
140015,2018,151,391
140015,2019,199,470
140017,2012,97,315
140017,2013,0,335
140017,2014,145,362
140017,2015,135,327
140017,2016,126,315
140017,2017,166,352
140017,2018,142,337
