CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
110170,2014,119,122
110170,2015,133,138
110170,2016,146,151
110170,2017,143,150
110170,2018,132,139
110170,2019,163,170
110175,2012,83,86
110175,2013,0,89
110175,2014,128,128
110175,2015,101,106
110175,2016,104,110
110175,2017,81,86
110175,2018,90,91
110175,2019,90,93
110180,2012,70,83
110180,2013,0,107
110180,2014,89,90
110180,2015,61,63
110180,2016,94,98
110180,2017,75,79
110180,2018,93,95
110180,2019,80,81
120000,2012,1,1
120001,2012,248,253
120001,2013,0,258
120001,2014,250,269
120001,2015,207,217
120001,2016,219,222
120001,2017,253,256
120001,2018,214,216
120001,2019,256,257
120005,2012,177,219
120005,2013,0,213
120005,2014,164,196
120005,2015,213,238
120005,2016,170,190
120005,2017,163,248
120005,2018,161,264
120005,2019,141,266
120010,2012,477,505
120010,2013,0,530
120010,2014,444,547
120010,2015,486,531
120010,2016,472,490
120010,2017,552,570
120010,2018,533,540
120010,2019,531,540
120013,2012,198,198
120013,2013,0,202
120013,2014,235,242
120013,2015,244,248
120013,2016,242,248
120013,2017,304,307
120013,2018,305,306
120013,2019,326,329
120017,2012,188,201
120017,2013,0,193
120017,2014,225,234
120017,2015,215,219
120017,2016,191,194
120017,2017,236,243
120017,2018,217,222
120017,2019,211,217
120020,2012,1557,1741
120020,2013,0,1783
120020,2014,1718,1818
120020,2015,1747,1839
120020,2016,1614,1632
120020,2017,1665,1684
120020,2018,1755,1756
120020,2019,1806,1809
120025,2012,271,282
120025,2013,0,275
120025,2014,222,262
120025,2015,264,279
120025,2016,254,270
120025,2017,283,291
120025,2018,262,273
120025,2019,306,314
120030,2012,715,904
120030,2013,0,791
120030,2014,729,829
120030,2015,692,772
120030,2016,678,834
120030,2017,478,833
120030,2018,791,833
120030,2019,822,871
120032,2012,230,269
120032,2013,0,271
120032,2014,266,282
120032,2015,266,273
120032,2016,249,263
120032,2017,253,266
120032,2018,258,274
120032,2019,205,218
120033,2012,357,386
120033,2013,0,399
120033,2014,403,413
120033,2015,374,395
120033,2016,317,325
120033,2017,349,358
120033,2018,364,367
120033,2019,342,345
120034,2012,232,256
120034,2013,0,229
120034,2014,212,243
120034,2015,253,266
120034,2016,227,236
120034,2017,244,261
120034,2018,241,252
120034,2019,221,230
120035,2012,423,474
120035,2013,0,485
120035,2014,405,458
120035,2015,401,445
120035,2016,301,352
120035,2017,333,388
120035,2018,378,407
120035,2019,418,448
120038,2012,341,353
120038,2013,0,334
120038,2014,314,322
120038,2015,340,350
120038,2016,332,339
120038,2017,299,305
120038,2018,305,309
120038,2019,313,318
120039,2012,265,338
120039,2013,0,287
120039,2014,237,250
120039,2015,249,262
