CODMUNRES,Ano,Qtd_Total,Pop
120045,2017,107,2301
120045,2018,131,2283
120045,2019,100,2244
120060,2012,365,4557
120060,2013,370,4658
120060,2014,431,4737
120060,2015,380,4807
120060,2016,373,4872
120060,2017,377,4921
120060,2018,425,4962
120060,2019,405,4986
120070,2012,96,1855
120070,2013,93,1880
120070,2014,107,1897
120070,2015,101,1911
120070,2016,96,1910
120070,2017,94,1900
120070,2018,94,1886
120070,2019,81,1865
130002,2012,118,1753
130002,2013,126,1754
130002,2014,120,1747
130002,2015,139,1742
130002,2016,131,1724
130002,2017,146,1704
130002,2018,136,1685
130002,2019,154,1669
130006,2012,66,1200
130006,2013,81,1192
130006,2014,81,1180
130006,2015,66,1166
130006,2016,77,1163
130006,2017,87,1157
130006,2018,72,1151
130006,2019,74,1148
130008,2012,73,1244
130008,2013,72,1269
130008,2014,79,1289
130008,2015,60,1309
130008,2016,54,1297
130008,2017,68,1284
130008,2018,66,1271
130008,2019,58,1259
130010,2012,84,2076
130010,2013,93,2086
130010,2014,91,2089
130010,2015,92,2090
130010,2016,85,2071
130010,2017,74,2048
130010,2018,73,2023
130010,2019,68,2003
130014,2012,64,1977
130014,2013,71,1995
130014,2014,83,2015
130014,2015,74,2029
130014,2016,64,1984
130014,2017,72,1941
130014,2018,65,1892
130014,2019,56,1846
130020,2012,117,1922
130020,2013,103,1943
130020,2014,132,1954
130020,2015,134,1965
130020,2016,103,2007
130020,2017,130,2046
130020,2018,103,2086
130020,2019,93,2128
130030,2012,293,3799
130030,2013,293,3818
130030,2014,320,3820
130030,2015,261,3824
130030,2016,295,3790
130030,2017,302,3752
130030,2018,350,3713
130030,2019,304,3681
130040,2012,175,3089
130040,2013,188,3026
130040,2014,158,2950
130040,2015,173,2874
130040,2016,157,2793
130040,2017,171,2706
130040,2018,177,2616
130040,2019,186,2532
130050,2012,187,3388
130050,2013,222,3385
130050,2014,229,3366
130050,2015,233,3350
130050,2016,260,3308
130050,2017,266,3264
130050,2018,269,3220
130050,2019,257,3181
130060,2012,297,4114
130060,2013,285,4132
130060,2014,291,4133
130060,2015,244,4135
130060,2016,271,4257
130060,2017,270,4376
130060,2018,266,4494
130060,2019,255,4623
130063,2012,145,2003
130063,2013,147,2036
130063,2014,148,2062
130063,2015,177,2088
130063,2016,178,2079
130063,2017,191,2068
130063,2018,171,2058
130063,2019,154,2049
130068,2012,88,1950
130068,2013,101,1975
130068,2014,111,1993
130068,2015,121,2012
130068,2016,110,1978
130068,2017,107,1941
130068,2018,121,1903
130068,2019,124,1869
130070,2012,269,3508
130070,2013,290,3471
130070,2014,300,3418
130070,2015,225,3367
130070,2016,224,3314
130070,2017,248,3257
130070,2018,241,3199
130070,2019,217,3146
130080,2012,257,4241
130080,2013,283,4215
130080,2014,228,4171
130080,2015,288,4129
130080,2016,220,4087
130080,2017,251,4038
130080,2018,262,3989
130080,2019,264,3948
130083,2012,52,1340
130083,2013,64,1349
130083,2014,75,1353
130083,2015,54,1356
130083,2016,60,1342
130083,2017,76,1325
130083,2018,57,1309
130083,2019,53,1294
130090,2012,90,1474
130090,2013,76,1452
130090,2014,69,1425
130090,2015,86,1397
130090,2016,88,1356
130090,2017,68,1311
130090,2018,78,1267
130090,2019,59,1225
130100,2012,246,3300
