CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total
120039,2018,22,254
120039,2019,23,270
120040,2012,450,6531
120040,2013,433,7116
120040,2014,385,7011
120040,2015,369,6965
120040,2016,345,6614
120040,2017,247,6460
120040,2018,263,6495
120040,2019,245,6324
120042,2012,67,390
120042,2013,45,363
120042,2014,44,394
120042,2015,68,396
120042,2016,47,304
120042,2017,56,366
120042,2018,79,394
120042,2019,57,334
120043,2012,146,259
120043,2013,91,223
120043,2014,99,185
120043,2015,55,150
120043,2016,42,95
120043,2017,65,198
120043,2018,51,207
120043,2019,64,186
120045,2012,43,396
120045,2013,36,425
120045,2014,28,453
120045,2015,32,443
120045,2016,33,410
120045,2017,24,395
120045,2018,35,476
120045,2019,32,417
120050,2012,223,929
120050,2013,200,904
120050,2014,142,827
120050,2015,153,847
120050,2016,137,762
120050,2017,103,780
120050,2018,97,788
120050,2019,86,768
120060,2012,292,1158
120060,2013,333,1138
120060,2014,266,1230
120060,2015,266,1165
120060,2016,211,1078
120060,2017,176,1132
120060,2018,181,1193
120060,2019,151,1143
120070,2012,70,311
120070,2013,46,294
120070,2014,51,306
120070,2015,40,322
120070,2016,40,329
120070,2017,36,305
120070,2018,41,325
120070,2019,34,297
120080,2012,73,346
120080,2013,59,362
120080,2014,67,368
120080,2015,43,358
120080,2016,59,356
120080,2017,49,430
120080,2018,38,392
120080,2019,42,379
130000,2012,1,8
130000,2013,0,18
130000,2014,0,23
130000,2015,0,18
130000,2016,4,25
130000,2017,6,17
130000,2018,1,25
130000,2019,1,12
130002,2012,57,320
130002,2013,27,346
130002,2014,32,308
130002,2015,32,342
130002,2016,33,325
130002,2017,29,401
130002,2018,22,346
130002,2019,19,418
130006,2012,78,242
130006,2013,62,261
130006,2014,47,264
130006,2015,31,214
130006,2016,51,280
130006,2017,44,267
130006,2018,35,247
130006,2019,21,265
130008,2012,27,199
130008,2013,11,201
130008,2014,11,212
130008,2015,12,163
130008,2016,9,182
130008,2017,8,196
130008,2018,13,214
130008,2019,7,190
130010,2012,19,247
130010,2013,15,285
130010,2014,13,267
130010,2015,11,255
130010,2016,11,266
130010,2017,13,257
130010,2018,6,247
130010,2019,2,233
130014,2012,19,195
130014,2013,7,223
130014,2014,7,223
130014,2015,8,204
130014,2016,10,211
130014,2017,5,233
130014,2018,7,242
130014,2019,5,239
130020,2012,194,357
130020,2013,157,354
130020,2014,171,435
130020,2015,165,439
130020,2016,166,380
130020,2017,159,382
130020,2018,159,357
130020,2019,111,313
130030,2012,114,877
130030,2013,69,877
130030,2014,59,955
130030,2015,43,829
130030,2016,46,890
130030,2017,44,897
130030,2018,35,948
130030,2019,31,872
130040,2012,189,469
130040,2013,126,480
130040,2014,77,419
130040,2015,58,505
130040,2016,119,496
130040,2017,203,524
130040,2018,263,570
130040,2019,244,556
130050,2012,109,707
130050,2013,129,769
130050,2014,88,756
130050,2015,92,815
130050,2016,86,810
130050,2017,84,870
130050,2018,54,851
130050,2019,68,857
130060,2012,230,1053
130060,2013,142,1036
130060,2014,137,1077
130060,2015,114,968
130060,2016,90,1021
130060,2017,118,1039
130060,2018,92,985
130060,2019,74,1030
130063,2012,113,427
130063,2013,85,428
130063,2014,97,488
130063,2015,81,489
130063,2016,85,510
130063,2017,60,597
130063,2018,57,501
130063,2019,49,525
130068,2012,11,260
130068,2013,20,321
130068,2014,17,328
130068,2015,13,369
130068,2016,13,312
130068,2017,10,319
130068,2018,8,318
130068,2019,10,330
130070,2012,162,741
130070,2013,132,763
130070,2014,132,734
130070,2015,84,695
130070,2016,106,653
130070,2017,85,771
130070,2018,89,739
130070,2019,69,725
130080,2012,138,690
130080,2013,108,705
130080,2014,75,711
130080,2015,71,725
130080,2016,56,663
130080,2017,63,797
130080,2018,45,789
130080,2019,43,763
130083,2012,20,138
130083,2013,20,203
130083,2014,24,204
130083,2015,21,173
130083,2016,25,183
130083,2017,11,216
130083,2018,12,188
130083,2019,7,169
130090,2012,51,213
130090,2013,30,196
130090,2014,50,231
130090,2015,31,219
130090,2016,34,217
130090,2017,21,191
130090,2018,25,222
130090,2019,28,192
130100,2012,104,656
130100,2013,91,633
130100,2014,99,658
130100,2015,73,628
130100,2016,78,625
130100,2017,55,626
130100,2018,63,636
130100,2019,49,635
130110,2012,51,414
130110,2013,48,442
130110,2014,45,474
130110,2015,37,419
130110,2016,36,481
130110,2017,34,512
