CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total
130000,2015,0,18
130000,2016,0,25
130000,2017,0,17
130000,2018,0,25
130000,2019,0,12
130002,2012,2,320
130002,2013,6,346
130002,2014,2,308
130002,2015,0,342
130002,2016,1,325
130002,2017,3,401
130002,2018,2,346
130002,2019,1,418
130006,2012,0,242
130006,2013,0,261
130006,2014,1,264
130006,2015,0,214
130006,2016,0,280
130006,2017,0,267
130006,2018,0,247
130006,2019,0,265
130008,2012,1,199
130008,2013,3,201
130008,2014,0,212
130008,2015,0,163
130008,2016,1,182
130008,2017,1,196
130008,2018,3,214
130008,2019,4,190
130010,2012,0,247
130010,2013,0,285
130010,2014,1,267
130010,2015,1,255
130010,2016,1,266
130010,2017,1,257
130010,2018,0,247
130010,2019,0,233
130014,2012,1,195
130014,2013,0,223
130014,2014,2,223
130014,2015,3,204
130014,2016,6,211
130014,2017,13,233
130014,2018,18,242
130014,2019,12,239
130020,2012,1,357
130020,2013,3,354
130020,2014,1,435
130020,2015,3,439
130020,2016,5,380
130020,2017,2,382
130020,2018,6,357
130020,2019,2,313
130030,2012,22,877
130030,2013,16,877
130030,2014,23,955
130030,2015,13,829
130030,2016,18,890
130030,2017,27,897
130030,2018,9,948
130030,2019,12,872
130040,2012,1,469
130040,2013,0,480
130040,2014,5,419
130040,2015,0,505
130040,2016,2,496
130040,2017,3,524
130040,2018,1,570
130040,2019,1,556
130050,2012,20,707
130050,2013,19,769
130050,2014,9,756
130050,2015,8,815
130050,2016,8,810
130050,2017,4,870
130050,2018,5,851
130050,2019,22,857
130060,2012,0,1053
130060,2013,0,1036
130060,2014,0,1077
130060,2015,2,968
130060,2016,1,1021
130060,2017,1,1039
130060,2018,0,985
130060,2019,2,1030
130063,2012,8,427
130063,2013,0,428
130063,2014,1,488
130063,2015,0,489
130063,2016,1,510
130063,2017,0,597
130063,2018,0,501
130063,2019,0,525
130068,2012,1,260
130068,2013,1,321
130068,2014,3,328
130068,2015,0,369
130068,2016,0,312
130068,2017,2,319
130068,2018,1,318
130068,2019,0,330
130070,2012,18,741
130070,2013,17,763
130070,2014,15,734
130070,2015,20,695
130070,2016,18,653
130070,2017,18,771
130070,2018,9,739
130070,2019,8,725
130080,2012,9,690
130080,2013,8,705
130080,2014,10,711
130080,2015,2,725
130080,2016,1,663
130080,2017,2,797
130080,2018,8,789
130080,2019,0,763
130083,2012,0,138
130083,2013,5,203
130083,2014,1,204
130083,2015,2,173
130083,2016,3,183
130083,2017,0,216
130083,2018,0,188
130083,2019,1,169
130090,2012,10,213
130090,2013,2,196
130090,2014,7,231
130090,2015,5,219
130090,2016,3,217
130090,2017,3,191
130090,2018,4,222
130090,2019,5,192
130100,2012,0,656
130100,2013,3,633
130100,2014,3,658
130100,2015,1,628
130100,2016,4,625
130100,2017,2,626
130100,2018,8,636
130100,2019,5,635
130110,2012,9,414
130110,2013,9,442
130110,2014,2,474
130110,2015,2,419
130110,2016,5,481
130110,2017,3,512
130110,2018,1,550
130110,2019,5,564
130115,2012,0,171
130115,2013,1,168
130115,2014,0,208
130115,2015,0,215
130115,2016,0,199
130115,2017,1,237
130115,2018,0,275
130115,2019,2,198
130120,2012,64,1668
130120,2013,3,1750
130120,2014,1,1704
130120,2015,0,1744
130120,2016,3,1646
130120,2017,0,1656
130120,2018,1,1747
130120,2019,5,1698
130130,2012,5,432
130130,2013,2,424
130130,2014,3,426
130130,2015,10,434
130130,2016,3,404
130130,2017,5,439
130130,2018,1,429
130130,2019,2,468
130140,2012,20,833
130140,2013,33,852
130140,2014,17,852
130140,2015,3,825
130140,2016,0,787
130140,2017,5,854
130140,2018,5,830
130140,2019,12,792
130150,2012,3,314
130150,2013,5,366
130150,2014,1,386
130150,2015,0,412
130150,2016,0,369
130150,2017,1,424
130150,2018,3,369
130150,2019,0,391
130160,2012,0,520
130160,2013,0,556
130160,2014,1,606
130160,2015,3,670
130160,2016,4,573
130160,2017,2,630
130160,2018,0,621
130160,2019,0,579
130165,2012,6,360
130165,2013,4,329
130165,2014,3,356
130165,2015,0,334
130165,2016,1,284
130165,2017,0,326
130165,2018,3,293
130165,2019,1,285
130170,2012,5,847
130170,2013,2,902
130170,2014,4,970
130170,2015,7,941
130170,2016,1,977
130170,2017,4,1001
130170,2018,2,1006
130170,2019,8,978
130180,2012,4,439
130180,2013,1,407
130180,2014,4,406
130180,2015,8,441
130180,2016,3,389
130180,2017,4,409
130180,2018,0,413
130180,2019,1,376
130185,2012,10,898
130185,2013,10,849
130185,2014,12,873
130185,2015,1,867
130185,2016,3,928
130185,2017,11,941
130185,2018,12,945
130185,2019,18,1021
130190,2012,3,2019
130190,2013,1,2085
130190,2014,2,2068
130190,2015,3,2078
130190,2016,1,2028
130190,2017,4,1985
130190,2018,3,2068
130190,2019,3,2034
130195,2012,0,197
130195,2013,1,260
130195,2014,1,260
130195,2015,0,293
130195,2016,0,263
130195,2017,0,245
130195,2018,0,303
130195,2019,0,247
130200,2012,1,199
130200,2013,0,184
130200,2014,1,154
130200,2015,2,148
130200,2016,1,187
130200,2017,0,165
130200,2018,1,171
130200,2019,0,173
130210,2012,0,142
130210,2013,1,130
130210,2014,0,148
130210,2015,0,169
130210,2016,1,150
130210,2017,1,161
130210,2018,1,151
130210,2019,0,121
130220,2012,6,171
130220,2013,8,202
130220,2014,4,193
130220,2015,0,217
130220,2016,0,175
130220,2017,4,253
130220,2018,3,251
130220,2019,1,235
130230,2012,7,601
130230,2013,11,629
130230,2014,1,631
130230,2015,0,633
130230,2016,0,604
130230,2017,4,659
130230,2018,5,648
130230,2019,1,646
130240,2012,18,682
130240,2013,19,728
130240,2014,25,715
130240,2015,0,659
130240,2016,4,652
130240,2017,1,741
130240,2018,0,779
130240,2019,0,892
130250,2012,5,1886
130250,2013,0,2000
130250,2014,1,2130
130250,2015,0,2070
130250,2016,4,1795
130250,2017,5,1938
130250,2018,9,2056
130250,2019,4,2115
130255,2012,1,250
130255,2013,2,249
130255,2014,3,233
130255,2015,0,234
130255,2016,1,253
130255,2017,0,300
130255,2018,2,303
130255,2019,1,276
130260,2012,323,41169
130260,2013,360,41640
130260,2014,186,42809
130260,2015,132,42342
130260,2016,114,39603
130260,2017,237,38498
130260,2018,396,38588
130260,2019,501,37939
130270,2012,1,810
130270,2013,18,850
130270,2014,13,903
130270,2015,4,930
130270,2016,1,911
130270,2017,7,989
130270,2018,4,1013
130270,2019,1,1023
130280,2012,14,313
130280,2013,20,338
130280,2014,20,399
130280,2015,3,323
130280,2016,1,358
130280,2017,1,418
130280,2018,1,405
130280,2019,3,381
130290,2012,4,1311
130290,2013,36,1317
130290,2014,45,1362
130290,2015,0,1335
130290,2016,1,1273
130290,2017,7,1553
130290,2018,16,1581
130290,2019,1,1539
130300,2012,0,344
130300,2013,5,301
130300,2014,5,357
130300,2015,0,356
130300,2016,0,338
130300,2017,1,358
130300,2018,0,314
130300,2019,0,346
130310,2012,1,591
130310,2013,3,628
130310,2014,2,619
130310,2015,2,593
130310,2016,0,587
130310,2017,1,592
130310,2018,1,612
130310,2019,0,546
130320,2012,3,257
130320,2013,3,246
130320,2014,3,307
130320,2015,2,316
130320,2016,1,289
130320,2017,7,333
130320,2018,4,327
130320,2019,1,310
130330,2012,11,321
130330,2013,2,351
130330,2014,1,344
130330,2015,3,409
130330,2016,2,386
130330,2017,6,406
130330,2018,3,379
130330,2019,1,392
130340,2012,11,2021
130340,2013,6,2133
130340,2014,4,2056
130340,2015,3,1995
130340,2016,1,1932
130340,2017,1,2139
130340,2018,4,2067
130340,2019,5,1947
130350,2012,8,308
130350,2013,14,367
130350,2014,9,364
130350,2015,4,374
130350,2016,5,348
130350,2017,4,355
130350,2018,2,362
130350,2019,4,369
130353,2012,8,556
130353,2013,26,580
130353,2014,10,585
130353,2015,0,558
130353,2016,1,548
130353,2017,4,523
130353,2018,17,558
130353,2019,16,513
130356,2012,4,361
130356,2013,13,374
130356,2014,5,412
130356,2015,1,391
130356,2016,3,415
130356,2017,7,422
130356,2018,5,431
130356,2019,23,440
130360,2012,1,344
130360,2013,0,279
130360,2014,1,225
130360,2015,0,301
130360,2016,0,305
130360,2017,0,370
130360,2018,1,372
130360,2019,1,322
130370,2012,0,603
130370,2013,1,576
130370,2014,3,652
130370,2015,0,718
130370,2016,0,693
130370,2017,3,724
130370,2018,0,704
130370,2019,1,773
130380,2012,1,1119
130380,2013,1,1143
130380,2014,0,1254
130380,2015,0,1120
130380,2016,1,1255
130380,2017,1,1214
130380,2018,0,1227
130380,2019,1,1436
130390,2012,0,959
130390,2013,1,914
130390,2014,0,987
130390,2015,1,753
130390,2016,0,871
130390,2017,2,999
130390,2018,2,935
130390,2019,0,956
130395,2012,5,178
130395,2013,1,160
130395,2014,2,163
130395,2015,0,180
130395,2016,0,178
130395,2017,0,206
130395,2018,1,186
130395,2019,3,200
130400,2012,0,181
130400,2013,0,208
130400,2014,1,180
130400,2015,0,202
130400,2016,0,208
130400,2017,0,246
130400,2018,0,197
130400,2019,0,229
130406,2012,8,1632
130406,2013,6,1619
130406,2014,6,1820
130406,2015,8,1615
130406,2016,15,1753
130406,2017,7,1701
130406,2018,4,1685
130406,2019,8,1770
130410,2012,15,401
130410,2013,1,421
130410,2014,6,391
130410,2015,11,439
130410,2016,2,389
130410,2017,2,405
130410,2018,0,394
130410,2019,2,432
130420,2012,9,1558
130420,2013,1,1732
130420,2014,2,1589
130420,2015,10,1754
130420,2016,3,1679
130420,2017,11,1763
130420,2018,5,1822
130420,2019,5,1927
130423,2012,1,348
130423,2013,0,322
130423,2014,0,366
130423,2015,0,391
130423,2016,0,363
130423,2017,0,458
130423,2018,0,435
130423,2019,0,429
130426,2012,4,288
130426,2013,10,304
130426,2014,5,302
130426,2015,3,295
130426,2016,1,264
130426,2017,1,333
130426,2018,1,286
130426,2019,4,351
130430,2012,0,298
130430,2013,1,302
130430,2014,0,284
130430,2015,0,272
130430,2016,0,265
