CODMUNRES,Ano,Qtd_Total,Pop
130130,2018,428,9115
130130,2019,468,9292
130140,2012,831,9617
130140,2013,852,9762
130140,2014,850,9894
130140,2015,823,10032
130140,2016,787,10187
130140,2017,854,10340
130140,2018,829,10490
130140,2019,791,10640
130150,2012,314,5353
130150,2013,365,5468
130150,2014,386,5573
130150,2015,411,5684
130150,2016,369,5810
130150,2017,424,5933
130150,2018,369,6055
130150,2019,391,6177
130160,2012,520,6459
130160,2013,556,6257
130160,2014,606,6041
130160,2015,669,5830
130160,2016,573,5658
130160,2017,630,5484
130160,2018,621,5305
130160,2019,579,5127
130165,2012,360,4523
130165,2013,329,4632
130165,2014,356,4729
130165,2015,334,4832
130165,2016,284,4923
130165,2017,326,5013
130165,2018,293,5102
130165,2019,285,5192
130170,2012,846,14830
130170,2013,902,15227
130170,2014,969,15610
130170,2015,941,15995
130170,2016,977,16325
130170,2017,1001,16653
130170,2018,1006,16975
130170,2019,978,17287
130180,2012,439,7184
130180,2013,406,7482
130180,2014,406,7767
130180,2015,440,8053
130180,2016,389,8287
130180,2017,409,8522
130180,2018,413,8757
130180,2019,376,8987
130185,2012,898,13140
130185,2013,849,13416
130185,2014,873,13676
130185,2015,867,13941
130185,2016,928,14155
130185,2017,941,14372
130185,2018,944,14584
130185,2019,1021,14788
130190,2012,2019,28270
130190,2013,2083,28770
130190,2014,2067,29242
130190,2015,2078,29706
130190,2016,2028,30158
130190,2017,1984,30619
130190,2018,2067,31052
130190,2019,2033,31477
130195,2012,196,2450
130195,2013,259,2445
130195,2014,260,2438
130195,2015,293,2432
130195,2016,261,2413
130195,2017,245,2390
130195,2018,303,2373
130195,2019,246,2348
130200,2012,199,2558
130200,2013,184,2592
130200,2014,154,2623
130200,2015,148,2655
130200,2016,187,2686
130200,2017,165,2714
130200,2018,171,2744
130200,2019,173,2771
130210,2012,142,1967
130210,2013,130,1795
130210,2014,148,1618
130210,2015,168,1443
130210,2016,150,1292
130210,2017,161,1141
130210,2018,151,986
130210,2019,121,836
130220,2012,171,3643
130220,2013,202,3795
130220,2014,193,3942
130220,2015,217,4089
130220,2016,175,4227
130220,2017,253,4363
130220,2018,251,4500
130220,2019,235,4636
130230,2012,600,4844
130230,2013,628,4720
130230,2014,631,4585
130230,2015,631,4454
130230,2016,604,4333
130230,2017,656,4210
130230,2018,647,4087
130230,2019,645,3963
130240,2012,682,12059
130240,2013,727,12355
130240,2014,715,12633
130240,2015,651,12915
130240,2016,652,13183
130240,2017,741,13447
130240,2018,779,13709
130240,2019,891,13966
130250,2012,1886,28033
130250,2013,2000,28498
130250,2014,2130,28906
130250,2015,2070,29336
130250,2016,1795,29727
130250,2017,1938,30103
130250,2018,2056,30481
130250,2019,2115,30840
130255,2012,250,7817
130255,2013,249,8186
130255,2014,233,8551
130255,2015,234,8913
130255,2016,253,9264
130255,2017,300,9612
130255,2018,303,9961
130255,2019,276,10305
130260,2012,41166,666415
130260,2013,41637,678116
130260,2014,42804,689192
130260,2015,42340,700360
130260,2016,39603,712390
130260,2017,38492,724135
130260,2018,38585,735724
130260,2019,37936,746952
130270,2012,810,15194
130270,2013,849,15505
130270,2014,900,15795
130270,2015,930,16090
130270,2016,911,16377
130270,2017,989,16656
130270,2018,1012,16932
130270,2019,1023,17201
130280,2012,313,5233
130280,2013,338,5240
130280,2014,399,5237
130280,2015,323,5239
130280,2016,358,5246
130280,2017,418,5250
130280,2018,405,5256
130280,2019,381,5259
130290,2012,1311,15900
130290,2013,1315,16269
130290,2014,1362,16609
130290,2015,1334,16960
130290,2016,1273,17347
130290,2017,1553,17726
130290,2018,1581,18104
130290,2019,1539,18480
130300,2012,344,5711
130300,2013,301,5827
130300,2014,357,5934
130300,2015,356,6046
130300,2016,338,6131
130300,2017,358,6215
130300,2018,314,6294
130300,2019,346,6373
130310,2012,591,10221
130310,2013,628,10467
130310,2014,618,10701
130310,2015,593,10937
130310,2016,586,11161
130310,2017,592,11384
130310,2018,612,11599
130310,2019,546,11811
130320,2012,257,4845
130320,2013,246,4992
130320,2014,307,5138
130320,2015,316,5282
130320,2016,289,5418
130320,2017,332,5557
130320,2018,327,5692
130320,2019,310,5825
130330,2012,321,6859
130330,2013,351,7021
130330,2014,344,7177
130330,2015,409,7334
130330,2016,386,7432
130330,2017,406,7529
130330,2018,379,7624
130330,2019,392,7713
130340,2012,2021,32576
130340,2013,2133,32985
130340,2014,2056,33337
130340,2015,1995,33681
130340,2016,1932,34030
130340,2017,2139,34404
130340,2018,2067,34726
130340,2019,1947,35057
130350,2012,308,5523
130350,2013,367,5557
130350,2014,364,5580
130350,2015,374,5608
130350,2016,348,5650
130350,2017,355,5688
130350,2018,362,5728
130350,2019,369,5765
130353,2012,556,9201
130353,2013,580,9527
130353,2014,585,9845
130353,2015,558,10162
130353,2016,547,10473
130353,2017,523,10781
130353,2018,557,11087
130353,2019,513,11388
130356,2012,361,8848
130356,2013,374,9108
130356,2014,412,9364
130356,2015,391,9616
130356,2016,415,9823
130356,2017,422,10028
130356,2018,431,10229
130356,2019,440,10427
130360,2012,342,5636
130360,2013,278,5861
130360,2014,225,6076
130360,2015,301,6296
130360,2016,305,6579
130360,2017,370,6861
130360,2018,369,7145
130360,2019,322,7427
130370,2012,603,7282
130370,2013,574,7190
130370,2014,651,7082
130370,2015,713,6979
130370,2016,693,6892
130370,2017,724,6802
130370,2018,704,6707
130370,2019,773,6617
130380,2012,1119,11912
130380,2013,1143,12151
130380,2014,1254,12375
130380,2015,1120,12604
130380,2016,1254,12854
130380,2017,1214,13102
130380,2018,1223,13348
130380,2019,1435,13588
130390,2012,957,10047
130390,2013,912,10308
130390,2014,985,10556
130390,2015,751,10806
130390,2016,871,11039
130390,2017,997,11270
130390,2018,934,11498
130390,2019,955,11723
130395,2012,178,3506
130395,2013,160,3645
130395,2014,163,3778
130395,2015,180,3914
130395,2016,178,4025
130395,2017,206,4133
130395,2018,186,4242
130395,2019,200,4348
130400,2012,181,2422
130400,2013,208,2441
130400,2014,180,2459
130400,2015,202,2478
130400,2016,208,2502
130400,2017,246,2526
130400,2018,197,2548
130400,2019,229,2570
130406,2012,1632,17581
130406,2013,1619,18075
130406,2014,1817,18544
130406,2015,1613,19022
130406,2016,1752,19513
130406,2017,1701,20000
130406,2018,1684,20487
130406,2019,1769,20967
130410,2012,401,5494
130410,2013,421,5439
130410,2014,385,5374
130410,2015,426,5314
130410,2016,389,5233
130410,2017,405,5150
130410,2018,393,5065
130410,2019,432,4980
130420,2012,1557,19126
130420,2013,1731,19070
130420,2014,1587,18985
130420,2015,1753,18906
130420,2016,1678,18811
130420,2017,1763,18711
130420,2018,1822,18606
130420,2019,1927,18499
130423,2012,348,5349
130423,2013,322,5394
130423,2014,366,5428
130423,2015,391,5469
130423,2016,363,5528
130423,2017,458,5587
130423,2018,435,5642
130423,2019,428,5698
130426,2012,288,3570
130426,2013,304,3633
130426,2014,302,3692
130426,2015,295,3750
130426,2016,264,3793
130426,2017,333,3833
