CODMUNRES,ano_nasc,Qtd_Termo_Precoce,Qtd_Total
130423,2012,80,348
130423,2013,68,322
130423,2014,82,366
130423,2015,91,391
130423,2016,98,363
130423,2017,112,458
130423,2018,110,435
130423,2019,115,429
130426,2012,92,288
130426,2013,56,304
130426,2014,72,302
130426,2015,79,295
130426,2016,65,264
130426,2017,95,333
130426,2018,79,286
130426,2019,94,351
130430,2012,80,298
130430,2013,73,302
130430,2014,69,284
130430,2015,54,272
130430,2016,62,265
130430,2017,57,270
130430,2018,67,261
130430,2019,89,318
130440,2012,76,321
130440,2013,61,325
130440,2014,73,329
130440,2015,67,282
130440,2016,66,299
130440,2017,75,315
130440,2018,83,313
130440,2019,97,321
140000,2012,0,2
140000,2013,1,8
140000,2014,0,7
140000,2015,0,3
140000,2016,0,1
140000,2018,0,1
140002,2012,79,308
140002,2013,89,307
140002,2014,67,298
140002,2015,53,339
140002,2016,45,331
140002,2017,70,355
140002,2018,133,433
140002,2019,208,446
140005,2012,111,600
140005,2013,217,601
140005,2014,154,563
140005,2015,66,550
140005,2016,58,620
140005,2017,66,526
140005,2018,219,737
140005,2019,398,711
140010,2012,1877,6358
140010,2013,1940,6350
140010,2014,1908,6755
140010,2015,1976,6719
140010,2016,2045,6749
140010,2017,2077,7043
140010,2018,2357,8163
140010,2019,2773,8936
140015,2012,78,312
140015,2013,95,327
140015,2014,85,325
140015,2015,68,355
140015,2016,99,365
140015,2017,95,377
140015,2018,89,391
140015,2019,104,470
140017,2012,83,315
140017,2013,81,335
140017,2014,84,362
140017,2015,83,327
140017,2016,84,315
140017,2017,82,352
140017,2018,97,337
140017,2019,102,385
140020,2012,116,425
140020,2013,128,424
140020,2014,112,393
140020,2015,101,414
140020,2016,73,381
140020,2017,84,407
140020,2018,111,406
140020,2019,145,445
140023,2012,27,138
140023,2013,34,151
140023,2014,33,154
140023,2015,27,139
140023,2016,33,145
140023,2017,46,183
140023,2018,38,181
140023,2019,53,204
140028,2012,43,173
140028,2013,50,147
140028,2014,34,156
140028,2015,31,169
140028,2016,31,138
140028,2017,27,154
140028,2018,26,138
140028,2019,65,185
140030,2012,58,270
140030,2013,92,351
140030,2014,72,299
140030,2015,87,341
140030,2016,66,308
140030,2017,72,309
140030,2018,81,325
140030,2019,92,372
140040,2012,81,319
140040,2013,100,381
140040,2014,104,376
140040,2015,133,442
140040,2016,102,428
140040,2017,109,415
140040,2018,108,463
140040,2019,133,489
140045,2012,99,327
140045,2013,112,351
140045,2014,106,340
140045,2015,87,361
140045,2016,108,357
140045,2017,106,380
140045,2018,118,423
140045,2019,165,556
140047,2012,89,422
140047,2013,111,422
140047,2014,108,442
140047,2015,110,527
140047,2016,153,542
140047,2017,151,563
140047,2018,127,628
140047,2019,169,567
140050,2012,34,116
140050,2013,31,120
140050,2014,36,117
140050,2015,32,117
140050,2016,29,104
140050,2017,27,122
140050,2018,39,119
140050,2019,37,131
140060,2012,18,84
140060,2013,27,80
140060,2014,22,67
140060,2015,20,91
140060,2016,17,83
140060,2017,26,106
140060,2018,21,86
140060,2019,30,107
140070,2012,77,432
140070,2013,108,459
140070,2014,122,466
140070,2015,135,518
140070,2016,101,509
140070,2017,112,445
140070,2018,110,513
140070,2019,157,616
150000,2012,1,4
150000,2013,2,8
150000,2014,1,2
150000,2015,1,2
150000,2016,0,2
150000,2017,0,2
150000,2018,0,1
150000,2019,1,3
150010,2012,707,2530
150010,2013,709,2538
150010,2014,743,2705
150010,2015,739,2660
150010,2016,743,2532
150010,2017,781,2713
150010,2018,751,2671
150010,2019,369,2623
150013,2012,33,114
150013,2013,35,129
150013,2014,33,100
150013,2015,34,143
150013,2016,34,117
150013,2017,38,142
150013,2018,39,130
150013,2019,36,132
150020,2012,145,966
150020,2013,255,1039
150020,2014,270,1116
150020,2015,195,936
150020,2016,162,996
150020,2017,228,992
150020,2018,236,1013
150020,2019,246,980
150030,2012,137,805
150030,2013,141,788
150030,2014,150,806
150030,2015,184,871
150030,2016,196,911
150030,2017,206,968
150030,2018,256,1022
150030,2019,236,1014
150034,2012,46,164
150034,2013,37,190
150034,2014,41,182
150034,2015,45,199
150034,2016,48,163
150034,2017,51,215
150034,2018,73,223
150034,2019,68,225
150040,2012,275,1138
150040,2013,240,1126
150040,2014,269,1133
150040,2015,240,1133
150040,2016,230,1031
150040,2017,279,1132
150040,2018,285,1190
150040,2019,272,1194
150050,2012,163,693
150050,2013,161,754
150050,2014,156,801
150050,2015,174,797
150050,2016,190,739
150050,2017,148,745
150050,2018,187,780
150050,2019,161,779
150060,2012,224,2105
150060,2013,574,2529
150060,2014,693,2866
150060,2015,616,2991
150060,2016,658,2846
150060,2017,529,2487
150060,2018,629,2568
150060,2019,631,2371
150070,2012,126,751
150070,2013,116,736
150070,2014,119,737
150070,2015,116,742
150070,2016,87,819
150070,2017,71,855
150070,2018,135,871
150070,2019,136,837
150080,2012,2953,8195
150080,2013,2784,8035
150080,2014,2805,8282
150080,2015,2922,8397
150080,2016,2446,8011
150080,2017,2361,7940
150080,2018,2163,7772
150080,2019,1935,7408
150085,2012,66,530
150085,2013,124,531
150085,2014,110,542
150085,2015,96,600
150085,2016,99,575
150085,2017,147,630
150085,2018,151,656
150085,2019,159,652
150090,2012,130,965
150090,2013,208,1050
150090,2014,188,990
150090,2015,192,954
150090,2016,190,954
150090,2017,194,935
150090,2018,167,901
150090,2019,176,809
150095,2012,63,372
150095,2013,93,418
150095,2014,120,472
150095,2015,100,440
150095,2016,110,395
150095,2017,97,401
150095,2018,95,368
150095,2019,98,425
150100,2012,45,206
150100,2013,56,215
150100,2014,45,194
150100,2015,36,198
150100,2016,44,205
150100,2017,35,160
150100,2018,47,182
150100,2019,37,146
150110,2012,78,465
150110,2013,47,460
150110,2014,64,548
150110,2015,52,556
150110,2016,79,562
150110,2017,60,553
150110,2018,86,582
150110,2019,93,549
150120,2012,142,538
150120,2013,128,532
150120,2014,146,578
150120,2015,114,575
150120,2016,71,567
150120,2017,98,630
150120,2018,143,580
