CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total
120013,2017,0,307
120013,2018,1,306
120013,2019,0,329
120017,2012,0,201
120017,2013,0,193
120017,2014,1,234
120017,2015,0,219
120017,2016,0,194
120017,2017,0,243
120017,2018,0,222
120017,2019,0,217
120020,2012,33,1741
120020,2013,16,1783
120020,2014,36,1818
120020,2015,28,1839
120020,2016,32,1632
120020,2017,48,1684
120020,2018,29,1756
120020,2019,18,1809
120025,2012,0,282
120025,2013,0,275
120025,2014,3,262
120025,2015,3,279
120025,2016,0,270
120025,2017,0,291
120025,2018,0,273
120025,2019,0,314
120030,2012,122,904
120030,2013,103,791
120030,2014,127,829
120030,2015,114,772
120030,2016,136,834
120030,2017,142,833
120030,2018,145,833
120030,2019,141,871
120032,2012,143,269
120032,2013,156,271
120032,2014,138,282
120032,2015,156,273
120032,2016,140,263
120032,2017,152,266
120032,2018,145,274
120032,2019,122,218
120033,2012,19,386
120033,2013,24,399
120033,2014,17,413
120033,2015,22,395
120033,2016,26,325
120033,2017,17,358
120033,2018,18,367
120033,2019,15,345
120034,2012,27,256
120034,2013,27,229
120034,2014,32,243
120034,2015,40,266
120034,2016,18,236
120034,2017,40,261
120034,2018,34,252
120034,2019,16,230
120035,2012,80,474
120035,2013,59,485
120035,2014,87,458
120035,2015,88,445
120035,2016,80,352
120035,2017,69,388
120035,2018,92,407
120035,2019,102,448
120038,2012,0,353
120038,2013,0,334
120038,2014,0,322
120038,2015,1,350
120038,2016,1,339
120038,2017,0,305
120038,2018,1,309
120038,2019,1,318
120039,2012,12,338
120039,2013,27,287
120039,2014,10,250
120039,2015,14,262
120039,2016,9,230
120039,2017,21,282
120039,2018,13,254
120039,2019,17,270
120040,2012,15,6531
120040,2013,11,7116
120040,2014,29,7011
120040,2015,19,6965
120040,2016,21,6614
120040,2017,20,6460
120040,2018,25,6495
120040,2019,19,6324
120042,2012,2,390
120042,2013,3,363
120042,2014,4,394
120042,2015,5,396
120042,2016,4,304
120042,2017,4,366
120042,2018,7,394
120042,2019,4,334
120043,2012,211,259
120043,2013,172,223
120043,2014,137,185
120043,2015,109,150
120043,2016,43,95
120043,2017,124,198
120043,2018,150,207
120043,2019,129,186
120045,2012,2,396
120045,2013,0,425
120045,2014,0,453
120045,2015,3,443
120045,2016,1,410
120045,2017,0,395
120045,2018,1,476
120045,2019,0,417
120050,2012,20,929
120050,2013,50,904
120050,2014,38,827
120050,2015,33,847
120050,2016,20,762
120050,2017,22,780
120050,2018,13,788
120050,2019,11,768
120060,2012,79,1158
120060,2013,84,1138
120060,2014,124,1230
120060,2015,112,1165
120060,2016,102,1078
120060,2017,128,1132
120060,2018,136,1193
120060,2019,147,1143
120070,2012,0,311
120070,2013,0,294
120070,2014,0,306
120070,2015,0,322
120070,2016,0,329
120070,2017,0,305
120070,2018,0,325
120070,2019,0,297
120080,2012,0,346
120080,2013,1,362
120080,2014,1,368
120080,2015,0,358
120080,2016,3,356
120080,2017,1,430
120080,2018,1,392
120080,2019,0,379
130000,2012,0,8
130000,2013,1,18
130000,2014,0,23
130000,2015,0,18
130000,2016,7,25
130000,2017,2,17
130000,2018,0,25
130000,2019,0,12
130002,2012,24,320
130002,2013,38,346
130002,2014,40,308
130002,2015,44,342
130002,2016,68,325
130002,2017,71,401
130002,2018,54,346
130002,2019,65,418
130006,2012,135,242
130006,2013,150,261
130006,2014,153,264
130006,2015,77,214
130006,2016,159,280
130006,2017,150,267
130006,2018,150,247
130006,2019,208,265
130008,2012,13,199
130008,2013,16,201
130008,2014,23,212
130008,2015,8,163
130008,2016,15,182
130008,2017,17,196
130008,2018,12,214
130008,2019,15,190
130010,2012,0,247
130010,2013,2,285
130010,2014,0,267
130010,2015,0,255
130010,2016,0,266
130010,2017,0,257
130010,2018,0,247
130010,2019,0,233
130014,2012,0,195
130014,2013,3,223
130014,2014,4,223
130014,2015,2,204
130014,2016,2,211
130014,2017,2,233
130014,2018,1,242
130014,2019,7,239
130020,2012,202,357
130020,2013,168,354
130020,2014,230,435
130020,2015,207,439
130020,2016,208,380
130020,2017,193,382
130020,2018,218,357
130020,2019,167,313
130030,2012,346,877
130030,2013,333,877
130030,2014,355,955
130030,2015,333,829
130030,2016,379,890
130030,2017,336,897
130030,2018,403,948
130030,2019,362,872
130040,2012,239,469
130040,2013,181,480
130040,2014,213,419
130040,2015,318,505
130040,2016,322,496
130040,2017,335,524
130040,2018,425,570
130040,2019,377,556
130050,2012,163,707
130050,2013,218,769
130050,2014,214,756
130050,2015,232,815
130050,2016,252,810
130050,2017,244,870
130050,2018,264,851
130050,2019,266,857
130060,2012,415,1053
130060,2013,437,1036
130060,2014,453,1077
