CODMUNRES,ano_nasc,Qtd_Maior35,Qtd_Total,Ratio
110080,2014,22.0,296,0.07432432432432433
110080,2015,23.0,323,0.07120743034055728
110080,2016,19.0,372,0.051075268817204304
110080,2017,22.0,397,0.055415617128463476
110080,2018,38.0,421,0.09026128266033254
110080,2019,29.0,337,0.08605341246290801
110080,2020,33.0,344,0.09593023255813954
110090,2012,4.0,53,0.07547169811320754
110090,2013,1.0,36,0.027777777777777776
110090,2014,0.0,46,0.0
110090,2015,3.0,52,0.057692307692307696
110090,2016,2.0,55,0.03636363636363636
110090,2017,6.0,39,0.15384615384615385
110090,2018,1.0,56,0.017857142857142856
110090,2019,3.0,32,0.09375
110090,2020,2.0,37,0.05405405405405406
110092,2012,7.0,118,0.059322033898305086
110092,2013,16.0,158,0.10126582278481013
110092,2014,12.0,158,0.0759493670886076
110092,2015,9.0,154,0.05844155844155844
110092,2016,11.0,153,0.0718954248366013
110092,2017,10.0,169,0.05917159763313609
110092,2018,13.0,181,0.0718232044198895
110092,2019,17.0,162,0.10493827160493827
110092,2020,14.0,162,0.08641975308641975
110094,2012,12.0,161,0.07453416149068323
110094,2013,10.0,203,0.04926108374384237
110094,2014,18.0,240,0.075
110094,2015,16.0,274,0.058394160583941604
110094,2016,16.0,241,0.06639004149377593
110094,2017,17.0,209,0.08133971291866028
110094,2018,20.0,229,0.08733624454148471
110094,2019,17.0,205,0.08292682926829269
110094,2020,27.0,246,0.10975609756097561
110100,2012,11.0,133,0.08270676691729323
110100,2013,4.0,116,0.034482758620689655
110100,2014,10.0,124,0.08064516129032258
110100,2015,7.0,132,0.05303030303030303
110100,2016,6.0,112,0.05357142857142857
110100,2017,10.0,109,0.09174311926605505
110100,2018,10.0,133,0.07518796992481203
110100,2019,6.0,112,0.05357142857142857
110100,2020,8.0,86,0.09302325581395349
110110,2012,12.0,114,0.10526315789473684
110110,2013,7.0,123,0.056910569105691054
110110,2014,5.0,97,0.05154639175257732
110110,2015,5.0,112,0.044642857142857144
110110,2016,12.0,129,0.09302325581395349
110110,2017,6.0,95,0.06315789473684211
110110,2018,15.0,92,0.16304347826086957
110110,2019,17.0,109,0.1559633027522936
110110,2020,11.0,119,0.09243697478991597
110120,2012,9.0,100,0.09
110120,2013,14.0,104,0.1346153846153846
110120,2014,6.0,107,0.056074766355140186
110120,2015,11.0,93,0.11827956989247312
110120,2016,8.0,93,0.08602150537634409
110120,2017,5.0,100,0.05
110120,2018,10.0,92,0.10869565217391304
110120,2019,15.0,84,0.17857142857142858
110120,2020,7.0,74,0.0945945945945946
110130,2012,8.0,148,0.05405405405405406
110130,2013,8.0,122,0.06557377049180328
110130,2014,10.0,137,0.072992700729927
110130,2015,13.0,179,0.07262569832402235
110130,2016,8.0,148,0.05405405405405406
110130,2017,14.0,156,0.08974358974358974
110130,2018,5.0,160,0.03125
110130,2019,21.0,164,0.12804878048780488
110130,2020,24.0,168,0.14285714285714285
110140,2012,7.0,170,0.041176470588235294
110140,2013,13.0,223,0.05829596412556054
110140,2014,11.0,204,0.05392156862745098
110140,2015,12.0,240,0.05
110140,2016,10.0,173,0.057803468208092484
110140,2017,22.0,200,0.11
110140,2018,16.0,220,0.07272727272727272
110140,2019,23.0,199,0.11557788944723618
110140,2020,18.0,167,0.10778443113772455
110143,2012,5.0,99,0.050505050505050504
110143,2013,5.0,82,0.06097560975609756
110143,2014,10.0,110,0.09090909090909091
110143,2015,3.0,73,0.0410958904109589
110143,2016,9.0,90,0.1
