CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110004,2016,1338.0,83710,0.015983753434476167
110004,2017,1452.0,84257,0.017232989543895464
110004,2018,1446.0,84813,0.017049273106717132
110004,2019,1374.0,85359,0.01609672090816434
110070,2012,164.0,13218,0.012407323346951127
110070,2013,183.0,13349,0.013708892051839089
110070,2014,181.0,13482,0.013425307817831182
110070,2015,156.0,13617,0.011456267900418595
110070,2016,162.0,13747,0.011784389321306467
110070,2017,174.0,13877,0.012538733155581178
110070,2018,195.0,14009,0.013919623099436076
110070,2019,166.0,14139,0.011740575712568074
110080,2012,430.0,21657,0.019855012236228473
110080,2013,404.0,22370,0.018059901654000895
110080,2014,296.0,23098,0.012814962334401247
110080,2015,323.0,23839,0.013549226058140023
110080,2016,372.0,24549,0.015153366735915923
110080,2017,397.0,25260,0.01571654790182106
110080,2018,421.0,25983,0.01620290189739445
110080,2019,337.0,26693,0.012625032780129622
110090,2012,53.0,3525,0.015035460992907802
110090,2013,36.0,3458,0.010410641989589358
110090,2014,46.0,3390,0.013569321533923304
110090,2015,52.0,3320,0.01566265060240964
110090,2016,55.0,3254,0.016902274124154886
110090,2017,39.0,3187,0.012237213680577345
110090,2018,56.0,3119,0.017954472587367747
110090,2019,32.0,3052,0.010484927916120577
110005,2012,244.0,17182,0.014200907926900245
110005,2013,271.0,17060,0.015885111371629543
110005,2014,250.0,16936,0.01476145488899386
110005,2015,277.0,16810,0.016478286734086852
110005,2016,263.0,16689,0.015758883096650488
110005,2017,277.0,16567,0.016719985513369954
110005,2018,264.0,16444,0.016054487959134032
110005,2019,236.0,16323,0.014458126569870734
110092,2012,118.0,9084,0.012989872302950243
110092,2013,158.0,9381,0.016842554098710157
110092,2014,158.0,9684,0.016315572077653863
110092,2015,154.0,9993,0.0154107875512859
110092,2016,153.0,10289,0.014870249781319856
110092,2017,169.0,10585,0.015965989607935757
110092,2018,181.0,10886,0.016626860187396657
110092,2019,162.0,11182,0.014487569307816132
110006,2012,214.0,18332,0.011673576260091642
110006,2013,256.0,17985,0.014234083958854601
110006,2014,273.0,17631,0.015484090522375362
110006,2015,251.0,17270,0.014533873769542559
110006,2016,222.0,16925,0.013116691285081241
110006,2017,243.0,16579,0.014657096326678328
110006,2018,235.0,16227,0.014482036112651753
110006,2019,214.0,15882,0.013474373504596399
110007,2012,116.0,8636,0.013432144511347846
110007,2013,116.0,8460,0.013711583924349883
110007,2014,125.0,8280,0.015096618357487922
110007,2015,111.0,8097,0.013708781030011115
110007,2016,139.0,7921,0.017548289357404368
110007,2017,87.0,7746,0.011231603408210689
110007,2018,129.0,7567,0.01704770714946478
110007,2019,127.0,7391,0.0171830604789609
110008,2012,234.0,14948,0.015654268129515654
110008,2013,234.0,15427,0.015168211577105075
110008,2014,267.0,15916,0.016775571751696406
110008,2015,245.0,16414,0.01492628244181796
110008,2016,213.0,16891,0.012610265822035404
110008,2017,216.0,17369,0.012435949104726812
110008,2018,246.0,17855,0.013777653318398208
110008,2019,233.0,18331,0.012710708635644536
110094,2012,161.0,18198,0.00884712605780855
110094,2013,203.0,19192,0.010577323884952063
110094,2014,240.0,20207,0.011877072301677637
110094,2015,274.0,21239,0.012900795706012524
110094,2016,241.0,22228,0.010842181032931438
110094,2017,209.0,23218,0.00900163666121113
110094,2018,229.0,24226,0.009452654173202344
