CODMUNRES,ano_nasc,Qtd_Consultas_Pre_Natal,Qtd_Total,Ratio
120080,2017,76,430,0.17674418604651163
120080,2018,73,392,0.18622448979591838
120080,2019,57,379,0.1503957783641161
120080,2020,49,361,0.13573407202216067
130000,2012,1,8,0.125
130000,2013,0,18,0.0
130000,2014,1,23,0.043478260869565216
130000,2015,0,18,0.0
130000,2016,1,25,0.04
130000,2017,0,17,0.0
130000,2018,1,25,0.04
130000,2019,1,12,0.08333333333333333
130000,2020,2,41,0.04878048780487805
130002,2012,19,320,0.059375
130002,2013,0,346,0.0
130002,2014,41,308,0.1331168831168831
130002,2015,29,342,0.0847953216374269
130002,2016,50,325,0.15384615384615385
130002,2017,45,401,0.11221945137157108
130002,2018,42,346,0.12138728323699421
130002,2019,53,418,0.12679425837320574
130002,2020,36,397,0.0906801007556675
130006,2012,44,242,0.18181818181818182
130006,2013,0,261,0.0
130006,2014,63,264,0.23863636363636365
130006,2015,48,214,0.22429906542056074
130006,2016,69,280,0.24642857142857144
130006,2017,51,267,0.19101123595505617
130006,2018,53,247,0.2145748987854251
130006,2019,50,265,0.18867924528301888
130006,2020,52,265,0.19622641509433963
130008,2012,26,199,0.1306532663316583
130008,2013,0,201,0.0
130008,2014,28,212,0.1320754716981132
130008,2015,41,163,0.25153374233128833
130008,2016,36,182,0.1978021978021978
130008,2017,49,196,0.25
130008,2018,36,214,0.16822429906542055
130008,2019,36,190,0.18947368421052632
130008,2020,41,228,0.17982456140350878
130010,2012,41,247,0.1659919028340081
130010,2013,0,285,0.0
130010,2014,43,267,0.16104868913857678
130010,2015,34,255,0.13333333333333333
130010,2016,44,266,0.16541353383458646
130010,2017,50,257,0.19455252918287938
130010,2018,38,247,0.15384615384615385
130010,2019,44,233,0.1888412017167382
130010,2020,44,258,0.17054263565891473
130014,2012,25,195,0.1282051282051282
130014,2013,0,223,0.0
130014,2014,43,223,0.19282511210762332
130014,2015,37,204,0.18137254901960784
130014,2016,27,211,0.12796208530805686
130014,2017,34,233,0.1459227467811159
130014,2018,32,242,0.1322314049586777
130014,2019,39,239,0.16317991631799164
