CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110018,2015,142.0,3109,0.04567385011257639
110018,2016,138.0,3069,0.044965786901270774
110018,2017,109.0,3023,0.036056897122064176
110018,2018,113.0,2974,0.03799596503026227
110018,2019,120.0,2925,0.041025641025641026
110146,2012,12.0,215,0.05581395348837209
110146,2013,13.0,211,0.061611374407582936
110146,2014,14.0,206,0.06796116504854369
110146,2015,20.0,201,0.09950248756218906
110146,2016,8.0,193,0.04145077720207254
110146,2017,13.0,185,0.07027027027027027
110146,2018,9.0,176,0.05113636363636364
110146,2019,8.0,168,0.047619047619047616
110020,2012,1976.0,42963,0.04599306379908293
110020,2013,1991.0,43190,0.04609863394304237
110020,2014,1942.0,43349,0.044799187985882026
110020,2015,1893.0,43502,0.04351524067858949
110020,2016,1718.0,43498,0.039496068784771715
110020,2017,1569.0,43403,0.03614957491417644
110020,2018,1537.0,43272,0.03551950452948789
110020,2019,1412.0,43130,0.03273823324831904
110025,2012,50.0,1941,0.02575991756826378
110025,2013,41.0,1837,0.02231899836690256
110025,2014,44.0,1731,0.025418833044482957
110025,2015,41.0,1623,0.025261860751694395
110025,2016,55.0,1546,0.03557567917205692
110025,2017,42.0,1467,0.028629856850715747
110025,2018,53.0,1388,0.03818443804034582
110025,2019,56.0,1307,0.04284621270084162
110147,2012,10.0,335,0.029850746268656716
110147,2013,12.0,314,0.03821656050955414
110147,2014,11.0,298,0.03691275167785235
110147,2015,6.0,282,0.02127659574468085
110147,2016,15.0,259,0.05791505791505792
110147,2017,11.0,236,0.046610169491525424
110147,2018,10.0,213,0.046948356807511735
110147,2019,4.0,189,0.021164021164021163
110026,2012,12.0,336,0.03571428571428571
110026,2013,9.0,336,0.026785714285714284
110026,2014,3.0,330,0.00909090909090909
110026,2015,9.0,327,0.027522935779816515
110026,2016,6.0,316,0.0189873417721519
110026,2017,8.0,304,0.02631578947368421
110026,2018,7.0,294,0.023809523809523808
110026,2019,7.0,280,0.025
110028,2012,216.0,4864,0.044407894736842105
110028,2013,173.0,4788,0.036131996658312446
110028,2014,188.0,4706,0.03994900127496812
110028,2015,181.0,4623,0.0391520657581657
110028,2016,149.0,4555,0.03271130625686059
110028,2017,164.0,4476,0.03663985701519214
110028,2018,148.0,4393,0.033689961302071476
110028,2019,136.0,4309,0.031561847296356464
110029,2012,26.0,744,0.03494623655913978
110029,2013,21.0,683,0.03074670571010249
110029,2014,16.0,619,0.025848142164781908
110029,2015,28.0,554,0.05054151624548736
110029,2016,19.0,520,0.03653846153846154
110029,2017,15.0,485,0.030927835051546393
110029,2018,14.0,449,0.031180400890868598
110029,2019,14.0,413,0.03389830508474576
110148,2012,9.0,549,0.01639344262295082
110148,2013,11.0,511,0.021526418786692758
110148,2014,8.0,486,0.01646090534979424
110148,2015,11.0,450,0.024444444444444446
