CODMUNRES,ano_nasc,Qtd_Robson10,Qtd_Robson9,Qtd_Robson8,Qtd_Robson7,Qtd_Robson6,Qtd_Robson5,Qtd_Robson4,Qtd_Robson3,Qtd_Robson2,Qtd_Robson1,Qtd_cesariana,Qtd_Total
210730,2014,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,14.0,63
210730,2015,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,7.0,17.0,39
210730,2016,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,9.0,27
210730,2017,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,11.0,30
210730,2018,1.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,10.0,21.0,52
210730,2019,1.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,3.0,16.0,34
210735,2012,16.0,3.0,3.0,4.0,4.0,23.0,1.0,9.0,7.0,28.0,104.0,375
210735,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,338
210735,2014,11.0,1.0,3.0,4.0,3.0,24.0,6.0,11.0,5.0,31.0,107.0,294
210735,2015,3.0,2.0,3.0,2.0,3.0,18.0,5.0,19.0,6.0,28.0,97.0,310
210735,2016,10.0,1.0,2.0,1.0,2.0,26.0,0.0,19.0,4.0,21.0,93.0,237
210735,2017,8.0,3.0,2.0,1.0,1.0,12.0,2.0,9.0,5.0,19.0,83.0,247
210735,2018,9.0,0.0,2.0,0.0,2.0,34.0,1.0,33.0,0.0,52.0,139.0,331
210735,2019,11.0,1.0,0.0,0.0,1.0,39.0,10.0,24.0,14.0,29.0,141.0,291
210740,2012,27.0,3.0,3.0,8.0,7.0,39.0,3.0,6.0,9.0,25.0,137.0,232
210740,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,268
210740,2014,3.0,4.0,2.0,2.0,1.0,47.0,0.0,4.0,7.0,30.0,165.0,268
210740,2015,10.0,1.0,0.0,2.0,0.0,53.0,9.0,16.0,38.0,28.0,187.0,280
210740,2016,6.0,0.0,3.0,0.0,0.0,40.0,2.0,8.0,18.0,37.0,181.0,264
210740,2017,14.0,0.0,1.0,1.0,0.0,47.0,7.0,12.0,32.0,47.0,204.0,293
