CODMUNRES,Ano,Qtd_Morte_Materna,Qtd_Total,Ratio
110094,2019,0.0,241.0,0.0
110100,2012,0.0,133.0,0.0
110100,2013,0.0,116.0,0.0
110100,2014,0.0,124.0,0.0
110100,2015,0.0,145.0,0.0
110100,2016,0.0,116.0,0.0
110100,2017,0.0,118.0,0.0
110100,2018,0.0,146.0,0.0
110100,2019,0.0,108.0,0.0
110110,2012,0.0,114.0,0.0
110110,2013,2.0,123.0,1626.0162601626018
110110,2014,0.0,97.0,0.0
110110,2015,0.0,142.0,0.0
110110,2016,0.0,145.0,0.0
110110,2017,0.0,124.0,0.0
110110,2018,0.0,125.0,0.0
110110,2019,0.0,126.0,0.0
110120,2012,0.0,100.0,0.0
110120,2013,0.0,104.0,0.0
110120,2014,0.0,107.0,0.0
110120,2015,0.0,88.0,0.0
110120,2016,0.0,99.0,0.0
110120,2017,0.0,104.0,0.0
110120,2018,0.0,90.0,0.0
110120,2019,0.0,91.0,0.0
110130,2012,0.0,148.0,0.0
110130,2013,0.0,122.0,0.0
110130,2014,0.0,137.0,0.0
110130,2015,0.0,186.0,0.0
110130,2016,0.0,151.0,0.0
110130,2017,0.0,151.0,0.0
110130,2018,0.0,159.0,0.0
110130,2019,0.0,164.0,0.0
110140,2012,0.0,170.0,0.0
110140,2013,0.0,223.0,0.0
110140,2014,0.0,204.0,0.0
110140,2015,0.0,242.0,0.0
110140,2016,0.0,171.0,0.0
110140,2017,0.0,196.0,0.0
110140,2018,0.0,219.0,0.0
110140,2019,0.0,204.0,0.0
110143,2012,0.0,99.0,0.0
110143,2013,0.0,82.0,0.0
110143,2014,0.0,110.0,0.0
110143,2015,0.0,87.0,0.0
110143,2016,0.0,94.0,0.0
110143,2017,0.0,102.0,0.0
110143,2018,0.0,85.0,0.0
110143,2019,0.0,102.0,0.0
110145,2012,0.0,63.0,0.0
110145,2013,0.0,55.0,0.0
110145,2014,0.0,49.0,0.0
110145,2015,1.0,56.0,1785.7142857142856
110145,2016,0.0,55.0,0.0
110145,2017,0.0,53.0,0.0
110145,2018,0.0,56.0,0.0
110145,2019,0.0,45.0,0.0
110146,2012,0.0,51.0,0.0
110146,2013,0.0,42.0,0.0
110146,2014,0.0,37.0,0.0
110146,2015,0.0,50.0,0.0
110146,2016,0.0,35.0,0.0
110146,2017,0.0,53.0,0.0
110146,2018,0.0,54.0,0.0
110146,2019,0.0,41.0,0.0
110147,2012,0.0,43.0,0.0
110147,2013,0.0,39.0,0.0
110147,2014,0.0,47.0,0.0
110147,2015,0.0,37.0,0.0
110147,2016,0.0,60.0,0.0
110147,2017,0.0,68.0,0.0
110147,2018,0.0,42.0,0.0
110147,2019,0.0,49.0,0.0
110148,2012,0.0,64.0,0.0
110148,2013,0.0,61.0,0.0
110148,2014,0.0,59.0,0.0
110148,2015,0.0,61.0,0.0
110148,2016,0.0,60.0,0.0
110148,2017,0.0,73.0,0.0
110148,2018,0.0,59.0,0.0
110148,2019,0.0,63.0,0.0
110149,2012,1.0,246.0,406.50406504065046
110149,2013,1.0,266.0,375.9398496240601
110149,2014,1.0,308.0,324.6753246753247
110149,2015,0.0,345.0,0.0
110149,2016,0.0,309.0,0.0
110149,2017,0.0,333.0,0.0
110149,2018,0.0,328.0,0.0
110149,2019,0.0,307.0,0.0
110150,2012,0.0,190.0,0.0
110150,2013,0.0,184.0,0.0
110150,2014,0.0,170.0,0.0
110150,2015,1.0,205.0,487.8048780487805
110150,2016,0.0,179.0,0.0
