CODMUNRES,ano_nasc,Qtd_5racacormae,Qtd_Total,Ratio
110094,2019,1.0,205,0.004878048780487805
110094,2020,1.0,246,0.0040650406504065045
110100,2012,1.0,133,0.007518796992481203
110100,2013,2.0,116,0.017241379310344827
110100,2014,1.0,124,0.008064516129032258
110100,2015,1.0,132,0.007575757575757576
110100,2016,2.0,112,0.017857142857142856
110100,2017,1.0,109,0.009174311926605505
110100,2018,1.0,133,0.007518796992481203
110100,2019,2.0,112,0.017857142857142856
110100,2020,1.0,86,0.011627906976744186
110110,2012,0.0,114,0.0
110110,2013,0.0,123,0.0
110110,2014,0.0,97,0.0
110110,2015,0.0,112,0.0
110110,2016,0.0,129,0.0
110110,2017,0.0,95,0.0
110110,2018,0.0,92,0.0
110110,2019,0.0,109,0.0
110110,2020,1.0,119,0.008403361344537815
110120,2012,1.0,100,0.01
110120,2013,0.0,104,0.0
110120,2014,0.0,107,0.0
110120,2015,0.0,93,0.0
110120,2016,0.0,93,0.0
110120,2017,0.0,100,0.0
110120,2018,0.0,92,0.0
110120,2019,0.0,84,0.0
110120,2020,1.0,74,0.013513513513513514
110130,2012,2.0,148,0.013513513513513514
110130,2013,3.0,122,0.02459016393442623
110130,2014,4.0,137,0.029197080291970802
110130,2015,1.0,179,0.00558659217877095
110130,2016,1.0,148,0.006756756756756757
110130,2017,0.0,156,0.0
110130,2018,3.0,160,0.01875
110130,2019,1.0,164,0.006097560975609756
110130,2020,3.0,168,0.017857142857142856
110140,2012,0.0,170,0.0
110140,2013,2.0,223,0.008968609865470852
110140,2014,0.0,204,0.0
110140,2015,0.0,240,0.0
110140,2016,0.0,173,0.0
110140,2017,0.0,200,0.0
110140,2018,0.0,220,0.0
110140,2019,0.0,199,0.0
110140,2020,1.0,167,0.005988023952095809
110143,2012,0.0,99,0.0
110143,2013,0.0,82,0.0
110143,2014,0.0,110,0.0
110143,2015,0.0,73,0.0
110143,2016,0.0,90,0.0
110143,2017,0.0,94,0.0
110143,2018,0.0,87,0.0
110143,2019,0.0,104,0.0
110143,2020,0.0,87,0.0
110145,2012,1.0,63,0.015873015873015872
110145,2013,0.0,55,0.0
110145,2014,0.0,49,0.0
110145,2015,1.0,54,0.018518518518518517
110145,2016,0.0,50,0.0
110145,2017,3.0,51,0.058823529411764705
110145,2018,0.0,53,0.0
110145,2019,1.0,44,0.022727272727272728
110145,2020,0.0,59,0.0
110146,2012,0.0,51,0.0
110146,2013,0.0,42,0.0
110146,2014,2.0,37,0.05405405405405406
110146,2015,0.0,52,0.0
110146,2016,0.0,34,0.0
110146,2017,0.0,52,0.0
110146,2018,0.0,52,0.0
110146,2019,1.0,40,0.025
110146,2020,3.0,39,0.07692307692307693
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,0.0,47,0.0
110147,2015,0.0,40,0.0
110147,2016,1.0,56,0.017857142857142856
110147,2017,0.0,63,0.0
