CODMUNRES,Ano,OICFSI,OISFSI,ONI,Total,Indicador
110008,2013,2,0,1,3,66.66666666666666
110008,2014,5,0,0,5,100.0
110008,2015,6,0,0,6,100.0
110008,2016,2,0,0,2,100.0
110008,2017,3,0,0,3,100.0
110008,2018,5,0,0,5,100.0
110008,2019,2,0,1,3,66.66666666666666
110008,2020,2,0,0,2,100.0
110009,2012,3,0,4,7,42.857142857142854
110009,2013,0,0,1,1,0.0
110009,2014,0,0,5,5,0.0
110009,2015,1,0,8,9,11.11111111111111
110009,2016,3,0,6,9,33.33333333333333
110009,2017,6,0,1,7,85.71428571428571
110009,2018,6,0,0,6,100.0
110009,2019,5,0,0,5,100.0
110009,2020,11,0,0,11,100.0
110010,2012,18,0,1,19,94.73684210526315
110010,2013,23,0,0,23,100.0
110010,2014,12,0,0,12,100.0
110010,2015,20,0,0,20,100.0
110010,2016,19,0,0,19,100.0
110010,2017,17,0,1,18,94.44444444444444
110010,2018,16,0,0,16,100.0
110010,2019,12,0,0,12,100.0
110010,2020,17,0,0,17,100.0
110011,2012,12,0,0,12,100.0
110011,2013,11,0,1,12,91.66666666666666
110011,2014,6,0,3,9,66.66666666666666
110011,2015,7,0,12,19,36.84210526315789
110011,2016,16,0,0,16,100.0
110011,2017,19,0,0,19,100.0
110011,2018,17,0,0,17,100.0
110011,2019,21,0,0,21,100.0
110011,2020,20,0,0,20,100.0
110012,2012,36,0,8,44,81.81818181818183
110012,2013,49,0,4,53,92.45283018867924
110012,2014,37,0,0,37,100.0
110012,2015,45,1,0,46,100.0
110012,2016,32,0,0,32,100.0
110012,2017,53,0,1,54,98.14814814814815
110012,2018,42,0,0,42,100.0
110012,2019,35,0,1,36,97.22222222222221
110012,2020,26,0,0,26,100.0
110013,2012,19,0,0,19,100.0
110013,2013,7,0,1,8,87.5
110013,2014,16,0,0,16,100.0
110013,2015,11,0,0,11,100.0
110013,2016,11,0,0,11,100.0
110013,2017,8,0,0,8,100.0
110013,2018,9,0,0,9,100.0
110013,2019,4,0,0,4,100.0
110013,2020,9,0,0,9,100.0
110014,2012,4,0,0,4,100.0
110014,2013,3,0,0,3,100.0
110014,2014,4,0,0,4,100.0
110014,2015,6,0,0,6,100.0
110014,2016,9,0,0,9,100.0
110014,2017,2,0,0,2,100.0
110014,2018,6,0,0,6,100.0
110014,2019,2,0,0,2,100.0
110014,2020,4,0,0,4,100.0
110015,2012,19,0,1,20,95.0
110015,2013,10,0,0,10,100.0
110015,2014,20,1,0,21,100.0
110015,2015,14,0,0,14,100.0
110015,2016,12,0,0,12,100.0
110015,2017,9,0,0,9,100.0
110015,2018,9,0,0,9,100.0
110015,2019,15,0,0,15,100.0
110015,2020,11,0,1,12,91.66666666666666
110018,2012,16,0,0,16,100.0
110018,2013,20,0,0,20,100.0
110018,2014,7,0,0,7,100.0
