CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
120020,2019,6.0,1809,3.316749585406302
120020,2020,7.0,1691,4.139562389118865
120025,2012,3.0,282,10.638297872340425
120025,2013,1.0,275,3.6363636363636362
120025,2014,1.0,262,3.8167938931297707
120025,2015,1.0,279,3.5842293906810037
120025,2016,1.0,270,3.7037037037037037
120025,2017,1.0,291,3.4364261168384878
120025,2018,3.0,273,10.989010989010989
120025,2019,1.0,314,3.1847133757961785
120025,2020,2.0,293,6.825938566552901
120030,2012,4.0,904,4.424778761061947
120030,2013,7.0,791,8.849557522123893
120030,2014,4.0,829,4.8250904704463204
120030,2015,6.0,772,7.772020725388601
120030,2016,3.0,834,3.5971223021582737
120030,2017,3.0,833,3.601440576230492
120030,2018,8.0,833,9.603841536614645
120030,2019,6.0,871,6.8886337543053955
120030,2020,6.0,789,7.604562737642586
120032,2012,1.0,269,3.717472118959108
120032,2013,1.0,271,3.6900369003690034
120032,2014,1.0,282,3.5460992907801416
120032,2015,0.0,273,0.0
120032,2016,0.0,263,0.0
120032,2017,1.0,266,3.7593984962406015
120032,2018,1.0,274,3.6496350364963503
120032,2019,1.0,218,4.587155963302752
120032,2020,0.0,205,0.0
120033,2012,0.0,386,0.0
120033,2013,0.0,399,0.0
120033,2014,0.0,413,0.0
120033,2015,2.0,395,5.063291139240507
120033,2016,0.0,325,0.0
120033,2017,2.0,358,5.58659217877095
120033,2018,2.0,367,5.449591280653951
120033,2019,1.0,345,2.898550724637681
120033,2020,4.0,420,9.523809523809526
120034,2012,1.0,256,3.90625
120034,2013,0.0,229,0.0
120034,2014,0.0,243,0.0
120034,2015,3.0,266,11.278195488721805
120034,2016,1.0,236,4.237288135593221
120034,2017,1.0,261,3.8314176245210727
120034,2018,1.0,252,3.968253968253968
120034,2019,2.0,230,8.695652173913043
120034,2020,0.0,280,0.0
120035,2012,1.0,474,2.109704641350211
120035,2013,1.0,485,2.061855670103093
120035,2014,1.0,458,2.1834061135371177
120035,2015,2.0,445,4.49438202247191
120035,2016,0.0,352,0.0
120035,2017,2.0,388,5.154639175257732
120035,2018,1.0,407,2.457002457002457
120035,2019,1.0,448,2.232142857142857
120035,2020,0.0,334,0.0
120038,2012,0.0,353,0.0
120038,2013,3.0,334,8.982035928143713
120038,2014,1.0,322,3.105590062111801
120038,2015,1.0,350,2.857142857142857
120038,2016,0.0,339,0.0
120038,2017,0.0,305,0.0
120038,2018,1.0,309,3.236245954692557
120038,2019,0.0,318,0.0
120038,2020,2.0,285,7.017543859649123
120039,2012,3.0,338,8.875739644970414
120039,2013,2.0,287,6.968641114982578
120039,2014,0.0,250,0.0
120039,2015,1.0,262,3.8167938931297707
120039,2016,0.0,230,0.0
120039,2017,1.0,282,3.5460992907801416
120039,2018,1.0,254,3.937007874015748
120039,2019,1.0,270,3.7037037037037037
120039,2020,1.0,287,3.484320557491289
120040,2012,34.0,6531,5.205940897259225
120040,2013,36.0,7116,5.059021922428331
120040,2014,21.0,7011,2.995293110825845
120040,2015,28.0,6965,4.020100502512563
120040,2016,16.0,6614,2.419110976716057
120040,2017,22.0,6460,3.405572755417957
120040,2018,28.0,6495,4.311008468052347
120040,2019,20.0,6324,3.1625553447185326
120040,2020,18.0,5745,3.133159268929504
120042,2012,1.0,390,2.5641025641025643
120042,2013,0.0,363,0.0
120042,2014,1.0,394,2.5380710659898473
120042,2015,1.0,396,2.5252525252525255
120042,2016,4.0,304,13.157894736842104
120042,2017,1.0,366,2.73224043715847
120042,2018,1.0,394,2.5380710659898473
120042,2019,2.0,334,5.9880239520958085
120042,2020,0.0,347,0.0
120043,2012,1.0,259,3.8610038610038613
120043,2013,1.0,223,4.484304932735426
120043,2014,1.0,185,5.405405405405405
120043,2015,0.0,150,0.0
120043,2016,0.0,95,0.0
120043,2017,1.0,198,5.050505050505051
120043,2018,0.0,207,0.0
120043,2019,0.0,186,0.0
120043,2020,1.0,149,6.7114093959731544
120045,2012,1.0,396,2.5252525252525255
120045,2013,3.0,425,7.058823529411765
120045,2014,6.0,453,13.245033112582782
120045,2015,2.0,443,4.514672686230248
120045,2016,1.0,410,2.4390243902439024
120045,2017,1.0,395,2.5316455696202533
120045,2018,1.0,476,2.100840336134454
120045,2019,1.0,417,2.398081534772182
120045,2020,2.0,401,4.987531172069826
120050,2012,6.0,929,6.458557588805167
120050,2013,4.0,904,4.424778761061947
120050,2014,4.0,827,4.836759371221281
120050,2015,0.0,847,0.0
120050,2016,4.0,762,5.2493438320209975
120050,2017,3.0,780,3.8461538461538463
120050,2018,3.0,788,3.8071065989847717
120050,2019,0.0,768,0.0
120050,2020,3.0,668,4.491017964071856
120060,2012,12.0,1158,10.362694300518134
120060,2013,6.0,1138,5.272407732864675
120060,2014,8.0,1230,6.504065040650406
