CODMUNRES,ano_nasc,Qtd_mais_de_3parto,Qtd_Total,Ratio
110029,2015,1.0,109,0.009174311926605505
110029,2016,2.0,114,0.017543859649122806
110029,2017,1.0,112,0.008928571428571428
110029,2018,1.0,103,0.009708737864077669
110029,2019,3.0,99,0.030303030303030304
110029,2020,1.0,99,0.010101010101010102
110030,2012,29.0,1269,0.022852639873916468
110030,2013,32.0,1388,0.023054755043227664
110030,2014,43.0,1418,0.030324400564174896
110030,2015,36.0,1535,0.023452768729641693
110030,2016,35.0,1427,0.02452697967764541
110030,2017,26.0,1465,0.017747440273037544
110030,2018,35.0,1557,0.0224791265253693
110030,2019,24.0,1590,0.01509433962264151
110030,2020,31.0,1553,0.019961365099806824
110032,2012,11.0,313,0.03514376996805112
110032,2013,10.0,355,0.028169014084507043
110032,2014,10.0,364,0.027472527472527472
110032,2015,4.0,311,0.012861736334405145
110032,2016,5.0,337,0.01483679525222552
110032,2017,5.0,372,0.013440860215053764
110032,2018,7.0,391,0.017902813299232736
110032,2019,10.0,353,0.028328611898016998
110032,2020,12.0,363,0.03305785123966942
110033,2012,30.0,383,0.0783289817232376
110033,2013,30.0,416,0.07211538461538461
110033,2014,31.0,425,0.07294117647058823
110033,2015,47.0,404,0.11633663366336634
110033,2016,31.0,411,0.07542579075425791
110033,2017,34.0,487,0.06981519507186858
110033,2018,40.0,482,0.08298755186721991
110033,2019,25.0,432,0.05787037037037037
110033,2020,30.0,423,0.07092198581560284
110034,2012,1.0,189,0.005291005291005291
110034,2013,8.0,220,0.03636363636363636
110034,2014,4.0,184,0.021739130434782608
110034,2015,2.0,200,0.01
110034,2016,5.0,166,0.030120481927710843
110034,2017,6.0,178,0.033707865168539325
110034,2018,8.0,162,0.04938271604938271
110034,2019,5.0,205,0.024390243902439025
110034,2020,9.0,210,0.04285714285714286
110037,2012,9.0,189,0.047619047619047616
110037,2013,6.0,163,0.03680981595092025
110037,2014,10.0,172,0.05813953488372093
110037,2015,4.0,149,0.026845637583892617
110037,2016,2.0,168,0.011904761904761904
110037,2017,3.0,172,0.01744186046511628
110037,2018,2.0,160,0.0125
110037,2019,2.0,154,0.012987012987012988
110037,2020,2.0,146,0.0136986301369863
110040,2012,2.0,194,0.010309278350515464
110040,2013,11.0,211,0.052132701421800945
110040,2014,14.0,254,0.05511811023622047
110040,2015,9.0,247,0.03643724696356275
110040,2016,1.0,220,0.004545454545454545
