CODMUNRES,ano_nasc,Qtd_Nascimentos_Prematuros,Qtd_Total,Ratio
110045,2016,59.0,624,0.09455128205128205
110045,2017,61.0,632,0.09651898734177215
110045,2018,53.0,617,0.08589951377633712
110045,2019,69.0,583,0.1183533447684391
110045,2020,72.0,508,0.14173228346456693
110050,2012,8.0,125,0.064
110050,2013,9.0,122,0.07377049180327869
110050,2014,4.0,93,0.043010752688172046
110050,2015,10.0,109,0.09174311926605505
110050,2016,9.0,95,0.09473684210526316
110050,2017,7.0,91,0.07692307692307693
110050,2018,14.0,111,0.12612612612612611
110050,2019,5.0,98,0.05102040816326531
110050,2020,8.0,78,0.10256410256410256
110060,2012,5.0,61,0.08196721311475409
110060,2013,2.0,63,0.031746031746031744
110060,2014,8.0,58,0.13793103448275862
110060,2015,5.0,72,0.06944444444444445
110060,2016,1.0,67,0.014925373134328358
110060,2017,3.0,71,0.04225352112676056
110060,2018,6.0,80,0.075
110060,2019,8.0,75,0.10666666666666667
110060,2020,4.0,70,0.05714285714285714
110070,2012,18.0,164,0.10975609756097561
110070,2013,15.0,183,0.08196721311475409
110070,2014,21.0,181,0.11602209944751381
110070,2015,10.0,156,0.0641025641025641
110070,2016,18.0,162,0.1111111111111111
110070,2017,17.0,174,0.09770114942528736
110070,2018,19.0,195,0.09743589743589744
110070,2019,17.0,166,0.10240963855421686
110070,2020,14.0,173,0.08092485549132948
110080,2012,58.0,430,0.13488372093023257
110080,2013,56.0,405,0.1382716049382716
110080,2014,20.0,296,0.06756756756756757
110080,2015,39.0,323,0.12074303405572756
110080,2016,35.0,372,0.09408602150537634
110080,2017,36.0,397,0.0906801007556675
110080,2018,41.0,421,0.09738717339667459
110080,2019,23.0,337,0.06824925816023739
110080,2020,32.0,344,0.09302325581395349
110090,2012,7.0,53,0.1320754716981132
110090,2013,5.0,36,0.1388888888888889
110090,2014,5.0,46,0.10869565217391304
110090,2015,4.0,52,0.07692307692307693
110090,2016,4.0,55,0.07272727272727272
110090,2017,1.0,39,0.02564102564102564
110090,2018,7.0,56,0.125
110090,2019,3.0,32,0.09375
110090,2020,2.0,37,0.05405405405405406
110092,2012,14.0,118,0.11864406779661017
110092,2013,11.0,158,0.06962025316455696
110092,2014,13.0,158,0.08227848101265822
110092,2015,7.0,154,0.045454545454545456
110092,2016,7.0,153,0.0457516339869281
110092,2017,15.0,169,0.08875739644970414
110092,2018,8.0,181,0.04419889502762431
110092,2019,5.0,162,0.030864197530864196
110092,2020,15.0,162,0.09259259259259259
110094,2012,22.0,161,0.13664596273291926
110094,2013,20.0,203,0.09852216748768473
110094,2014,22.0,240,0.09166666666666666
110094,2015,22.0,274,0.08029197080291971
110094,2016,16.0,241,0.06639004149377593
110094,2017,11.0,209,0.05263157894736842
110094,2018,16.0,229,0.06986899563318777
110094,2019,22.0,205,0.1073170731707317
110094,2020,29.0,246,0.11788617886178862
110100,2012,16.0,133,0.12030075187969924
110100,2013,16.0,116,0.13793103448275862
110100,2014,9.0,124,0.07258064516129033
110100,2015,6.0,132,0.045454545454545456
110100,2016,3.0,112,0.026785714285714284
110100,2017,5.0,109,0.045871559633027525
110100,2018,6.0,133,0.045112781954887216
110100,2019,8.0,112,0.07142857142857142
110100,2020,6.0,86,0.06976744186046512
110110,2012,9.0,114,0.07894736842105263
110110,2013,12.0,123,0.0975609756097561
110110,2014,13.0,97,0.13402061855670103
110110,2015,8.0,112,0.07142857142857142
110110,2016,14.0,129,0.10852713178294573
110110,2017,9.0,95,0.09473684210526316
110110,2018,10.0,92,0.10869565217391304
110110,2019,8.0,109,0.07339449541284404
110110,2020,14.0,119,0.11764705882352941
110120,2012,17.0,100,0.17
110120,2013,11.0,104,0.10576923076923077
110120,2014,7.0,107,0.06542056074766354
110120,2015,10.0,93,0.10752688172043011
110120,2016,8.0,93,0.08602150537634409
110120,2017,11.0,100,0.11
110120,2018,8.0,92,0.08695652173913043
110120,2019,11.0,84,0.13095238095238096
110120,2020,9.0,74,0.12162162162162163
110130,2012,17.0,148,0.11486486486486487
110130,2013,12.0,122,0.09836065573770492
110130,2014,14.0,137,0.10218978102189781
110130,2015,22.0,179,0.12290502793296089
110130,2016,16.0,148,0.10810810810810811
110130,2017,12.0,156,0.07692307692307693
110130,2018,20.0,160,0.125
110130,2019,23.0,164,0.1402439024390244
110130,2020,27.0,168,0.16071428571428573
110140,2012,15.0,170,0.08823529411764706
110140,2013,16.0,223,0.07174887892376682
110140,2014,20.0,204,0.09803921568627451
110140,2015,20.0,240,0.08333333333333333
110140,2016,6.0,173,0.03468208092485549
110140,2017,16.0,200,0.08
110140,2018,18.0,220,0.08181818181818182
110140,2019,15.0,199,0.07537688442211055
110140,2020,13.0,167,0.07784431137724551
110143,2012,12.0,99,0.12121212121212122
110143,2013,6.0,82,0.07317073170731707
110143,2014,2.0,110,0.01818181818181818
110143,2015,12.0,73,0.1643835616438356
110143,2016,8.0,90,0.08888888888888889
110143,2017,10.0,94,0.10638297872340426
110143,2018,3.0,87,0.034482758620689655
110143,2019,7.0,104,0.0673076923076923
110143,2020,7.0,87,0.08045977011494253
110145,2012,9.0,63,0.14285714285714285
110145,2013,4.0,55,0.07272727272727272
110145,2014,2.0,49,0.04081632653061224
110145,2015,4.0,54,0.07407407407407407
110145,2016,2.0,50,0.04
110145,2017,4.0,51,0.0784313725490196
110145,2018,3.0,53,0.05660377358490566
110145,2019,8.0,44,0.18181818181818182
110145,2020,7.0,59,0.11864406779661017
110146,2012,2.0,51,0.0392156862745098
110146,2013,4.0,42,0.09523809523809523
110146,2014,2.0,37,0.05405405405405406
110146,2015,1.0,52,0.019230769230769232
110146,2016,2.0,34,0.058823529411764705
110146,2017,4.0,52,0.07692307692307693
110146,2018,5.0,52,0.09615384615384616
110146,2019,2.0,40,0.05
110146,2020,2.0,39,0.05128205128205128
110147,2012,3.0,43,0.06976744186046512
110147,2013,6.0,39,0.15384615384615385
110147,2014,7.0,47,0.14893617021276595
110147,2015,5.0,40,0.125
110147,2016,6.0,56,0.10714285714285714
110147,2017,11.0,63,0.1746031746031746
110147,2018,3.0,38,0.07894736842105263
110147,2019,5.0,43,0.11627906976744186
