CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
110160,2017,0.0,146,0.0
110160,2018,0.0,131,0.0
110160,2019,0.0,97,0.0
110170,2012,1.0,146,684.931506849315
110170,2013,0.0,150,0.0
110170,2014,0.0,122,0.0
110170,2015,1.0,138,724.6376811594203
110170,2016,0.0,151,0.0
110170,2017,0.0,150,0.0
110170,2018,0.0,139,0.0
110170,2019,0.0,170,0.0
110175,2012,0.0,86,0.0
110175,2013,0.0,89,0.0
110175,2014,0.0,128,0.0
110175,2015,0.0,106,0.0
110175,2016,0.0,110,0.0
110175,2017,0.0,86,0.0
110175,2018,0.0,91,0.0
110175,2019,0.0,93,0.0
110180,2012,0.0,83,0.0
110180,2013,0.0,107,0.0
110180,2014,0.0,90,0.0
110180,2015,0.0,63,0.0
110180,2016,0.0,98,0.0
110180,2017,0.0,79,0.0
110180,2018,0.0,95,0.0
110180,2019,0.0,81,0.0
120000,2012,0.0,1,0.0
120001,2012,0.0,253,0.0
120001,2013,0.0,258,0.0
120001,2014,0.0,269,0.0
120001,2015,0.0,217,0.0
120001,2016,0.0,222,0.0
120001,2017,0.0,256,0.0
120001,2018,0.0,216,0.0
120001,2019,0.0,257,0.0
120005,2012,0.0,219,0.0
120005,2013,0.0,213,0.0
120005,2014,0.0,196,0.0
120005,2015,0.0,238,0.0
120005,2016,0.0,190,0.0
120005,2017,0.0,248,0.0
120005,2018,0.0,264,0.0
120005,2019,0.0,266,0.0
120010,2012,0.0,505,0.0
120010,2013,0.0,530,0.0
120010,2014,0.0,547,0.0
120010,2015,1.0,531,188.32391713747646
120010,2016,0.0,490,0.0
120010,2017,1.0,570,175.43859649122808
120010,2018,0.0,540,0.0
120010,2019,0.0,540,0.0
120013,2012,0.0,198,0.0
120013,2013,0.0,202,0.0
120013,2014,1.0,242,413.22314049586777
120013,2015,0.0,248,0.0
120013,2016,1.0,248,403.22580645161287
120013,2017,0.0,307,0.0
120013,2018,0.0,306,0.0
120013,2019,0.0,329,0.0
120017,2012,0.0,201,0.0
120017,2013,0.0,193,0.0
120017,2014,0.0,234,0.0
120017,2015,0.0,219,0.0
120017,2016,0.0,194,0.0
120017,2017,0.0,243,0.0
120017,2018,0.0,222,0.0
120017,2019,0.0,217,0.0
120020,2012,0.0,1741,0.0
120020,2013,2.0,1783,112.17049915872126
120020,2014,0.0,1818,0.0
120020,2015,2.0,1839,108.75475802066339
120020,2016,0.0,1632,0.0
120020,2017,0.0,1684,0.0
120020,2018,0.0,1756,0.0
120020,2019,0.0,1809,0.0
120025,2012,0.0,282,0.0
120025,2013,0.0,275,0.0
120025,2014,0.0,262,0.0
120025,2015,0.0,279,0.0
120025,2016,0.0,270,0.0
120025,2017,0.0,291,0.0
120025,2018,0.0,273,0.0
120025,2019,0.0,314,0.0
120030,2012,0.0,904,0.0
120030,2013,1.0,791,126.42225031605564
120030,2014,0.0,829,0.0
120030,2015,0.0,772,0.0
120030,2016,0.0,834,0.0
120030,2017,1.0,833,120.04801920768307
120030,2018,1.0,833,120.04801920768307
120030,2019,0.0,871,0.0
120032,2012,0.0,269,0.0
120032,2013,0.0,271,0.0
120032,2014,0.0,282,0.0
120032,2015,1.0,273,366.3003663003663
120032,2016,0.0,263,0.0
120032,2017,0.0,266,0.0
120032,2018,0.0,274,0.0
120032,2019,1.0,218,458.7155963302753
120033,2012,0.0,386,0.0
120033,2013,0.0,399,0.0
120033,2014,0.0,413,0.0
120033,2015,1.0,395,253.16455696202533
120033,2016,0.0,325,0.0
120033,2017,0.0,358,0.0
120033,2018,0.0,367,0.0
120033,2019,0.0,345,0.0
120034,2012,0.0,256,0.0
120034,2013,0.0,229,0.0
120034,2014,1.0,243,411.522633744856
120034,2015,0.0,266,0.0
120034,2016,1.0,236,423.728813559322
120034,2017,0.0,261,0.0
120034,2018,0.0,252,0.0
120034,2019,1.0,230,434.7826086956522
120035,2012,0.0,474,0.0
120035,2013,0.0,485,0.0
120035,2014,0.0,458,0.0
120035,2015,0.0,445,0.0
120035,2016,0.0,352,0.0
120035,2017,1.0,388,257.7319587628866
120035,2018,0.0,407,0.0
120035,2019,0.0,448,0.0
120038,2012,0.0,353,0.0
120038,2013,1.0,334,299.4011976047904
120038,2014,0.0,322,0.0
120038,2015,0.0,350,0.0
120038,2016,0.0,339,0.0
120038,2017,0.0,305,0.0
120038,2018,0.0,309,0.0
120038,2019,0.0,318,0.0
120039,2012,0.0,338,0.0
120039,2013,0.0,287,0.0
120039,2014,0.0,250,0.0
120039,2015,0.0,262,0.0
120039,2016,1.0,230,434.7826086956522
120039,2017,0.0,282,0.0
120039,2018,0.0,254,0.0
120039,2019,0.0,270,0.0
120040,2012,3.0,6531,45.93477262287551
