CODMUNRES,ano_nasc,Qtd_1parto,Qtd_Total,Ratio
110037,2016,77.0,168,0.4583333333333333
110037,2017,77.0,172,0.4476744186046512
110037,2018,65.0,160,0.40625
110037,2019,64.0,154,0.4155844155844156
110037,2020,44.0,146,0.3013698630136986
110040,2012,29.0,194,0.14948453608247422
110040,2013,48.0,211,0.22748815165876776
110040,2014,97.0,254,0.38188976377952755
110040,2015,72.0,247,0.291497975708502
110040,2016,18.0,220,0.08181818181818182
110040,2017,14.0,242,0.05785123966942149
110040,2018,65.0,219,0.2968036529680365
110040,2019,73.0,226,0.3230088495575221
110040,2020,78.0,218,0.3577981651376147
110045,2012,235.0,555,0.42342342342342343
110045,2013,251.0,598,0.4197324414715719
110045,2014,192.0,620,0.3096774193548387
110045,2015,257.0,608,0.42269736842105265
110045,2016,276.0,624,0.4423076923076923
110045,2017,274.0,632,0.43354430379746833
110045,2018,266.0,617,0.43111831442463533
110045,2019,46.0,583,0.07890222984562607
110045,2020,188.0,508,0.3700787401574803
110050,2012,54.0,125,0.432
110050,2013,43.0,122,0.3524590163934426
110050,2014,40.0,93,0.43010752688172044
110050,2015,50.0,109,0.45871559633027525
110050,2016,49.0,95,0.5157894736842106
110050,2017,52.0,91,0.5714285714285714
110050,2018,51.0,111,0.4594594594594595
110050,2019,38.0,98,0.3877551020408163
110050,2020,35.0,78,0.44871794871794873
110060,2012,11.0,61,0.18032786885245902
110060,2013,16.0,63,0.25396825396825395
110060,2014,24.0,58,0.41379310344827586
110060,2015,22.0,72,0.3055555555555556
110060,2016,8.0,67,0.11940298507462686
110060,2017,8.0,71,0.11267605633802817
110060,2018,25.0,80,0.3125
110060,2019,28.0,75,0.37333333333333335
110060,2020,23.0,70,0.32857142857142857
110070,2012,42.0,164,0.25609756097560976
110070,2013,66.0,183,0.36065573770491804
110070,2014,46.0,181,0.2541436464088398
110070,2015,57.0,156,0.36538461538461536
110070,2016,56.0,162,0.345679012345679
110070,2017,61.0,174,0.3505747126436782
110070,2018,70.0,195,0.358974358974359
110070,2019,29.0,166,0.1746987951807229
110070,2020,56.0,173,0.3236994219653179
110080,2012,172.0,430,0.4
110080,2013,142.0,405,0.3506172839506173
110080,2014,113.0,296,0.38175675675675674
110080,2015,71.0,323,0.21981424148606812
110080,2016,80.0,372,0.21505376344086022
110080,2017,155.0,397,0.3904282115869018
110080,2018,139.0,421,0.33016627078384797
110080,2019,87.0,337,0.258160237388724
110080,2020,53.0,344,0.15406976744186046
110090,2012,23.0,53,0.4339622641509434
110090,2013,20.0,36,0.5555555555555556
110090,2014,24.0,46,0.5217391304347826
110090,2015,23.0,52,0.4423076923076923
110090,2016,30.0,55,0.5454545454545454
110090,2017,12.0,39,0.3076923076923077
110090,2018,19.0,56,0.3392857142857143
110090,2019,13.0,32,0.40625
110090,2020,12.0,37,0.32432432432432434
110092,2012,35.0,118,0.2966101694915254
110092,2013,50.0,158,0.31645569620253167
110092,2014,60.0,158,0.379746835443038
110092,2015,51.0,154,0.33116883116883117
110092,2016,59.0,153,0.38562091503267976
110092,2017,71.0,169,0.42011834319526625
110092,2018,62.0,181,0.3425414364640884
110092,2019,61.0,162,0.3765432098765432
110092,2020,64.0,162,0.3950617283950617
110094,2012,27.0,161,0.16770186335403728
110094,2013,50.0,203,0.24630541871921183
110094,2014,84.0,240,0.35
110094,2015,81.0,274,0.2956204379562044
110094,2016,55.0,241,0.22821576763485477
110094,2017,33.0,209,0.15789473684210525
110094,2018,67.0,229,0.2925764192139738
110094,2019,60.0,205,0.2926829268292683
110094,2020,89.0,246,0.3617886178861789
110100,2012,45.0,133,0.3383458646616541
110100,2013,34.0,116,0.29310344827586204
110100,2014,48.0,124,0.3870967741935484
110100,2015,67.0,132,0.5075757575757576
110100,2016,55.0,112,0.49107142857142855
110100,2017,45.0,109,0.41284403669724773
110100,2018,28.0,133,0.21052631578947367
110100,2019,45.0,112,0.4017857142857143
110100,2020,32.0,86,0.37209302325581395
110110,2012,37.0,114,0.32456140350877194
110110,2013,38.0,123,0.3089430894308943
110110,2014,38.0,97,0.3917525773195876
110110,2015,31.0,112,0.2767857142857143
110110,2016,24.0,129,0.18604651162790697
110110,2017,35.0,95,0.3684210526315789
110110,2018,35.0,92,0.3804347826086957
110110,2019,30.0,109,0.27522935779816515
110110,2020,31.0,119,0.2605042016806723
110120,2012,40.0,100,0.4
110120,2013,36.0,104,0.34615384615384615
110120,2014,35.0,107,0.32710280373831774
110120,2015,39.0,93,0.41935483870967744
110120,2016,29.0,93,0.3118279569892473
110120,2017,40.0,100,0.4
110120,2018,41.0,92,0.44565217391304346
110120,2019,27.0,84,0.32142857142857145
110120,2020,40.0,74,0.5405405405405406
110130,2012,50.0,148,0.33783783783783783
110130,2013,50.0,122,0.4098360655737705
110130,2014,50.0,137,0.36496350364963503
110130,2015,80.0,179,0.44692737430167595
110130,2016,74.0,148,0.5
110130,2017,64.0,156,0.41025641025641024
110130,2018,51.0,160,0.31875
110130,2019,58.0,164,0.35365853658536583
110130,2020,58.0,168,0.34523809523809523
110140,2012,33.0,170,0.19411764705882353
110140,2013,56.0,223,0.25112107623318386
110140,2014,58.0,204,0.28431372549019607
110140,2015,85.0,240,0.3541666666666667
110140,2016,37.0,173,0.2138728323699422
110140,2017,37.0,200,0.185
110140,2018,77.0,220,0.35
110140,2019,77.0,199,0.3869346733668342
110140,2020,56.0,167,0.33532934131736525
110143,2012,28.0,99,0.2828282828282828
110143,2013,26.0,82,0.3170731707317073
110143,2014,37.0,110,0.33636363636363636
110143,2015,36.0,73,0.4931506849315068
110143,2016,38.0,90,0.4222222222222222
110143,2017,45.0,94,0.4787234042553192
110143,2018,29.0,87,0.3333333333333333
110143,2019,45.0,104,0.4326923076923077
110143,2020,34.0,87,0.39080459770114945
110145,2012,27.0,63,0.42857142857142855
110145,2013,13.0,55,0.23636363636363636
110145,2014,14.0,49,0.2857142857142857
110145,2015,20.0,54,0.37037037037037035
110145,2016,14.0,50,0.28
110145,2017,22.0,51,0.43137254901960786
110145,2018,15.0,53,0.2830188679245283
110145,2019,8.0,44,0.18181818181818182
110145,2020,18.0,59,0.3050847457627119
110146,2012,6.0,51,0.11764705882352941
110146,2013,11.0,42,0.2619047619047619
110146,2014,8.0,37,0.21621621621621623
110146,2015,18.0,52,0.34615384615384615
110146,2016,15.0,34,0.4411764705882353
110146,2017,17.0,52,0.3269230769230769
110146,2018,13.0,52,0.25
110146,2019,17.0,40,0.425
110146,2020,10.0,39,0.2564102564102564
110147,2012,19.0,43,0.4418604651162791
110147,2013,6.0,39,0.15384615384615385
110147,2014,19.0,47,0.40425531914893614
110147,2015,1.0,40,0.025
110147,2016,30.0,56,0.5357142857142857
110147,2017,30.0,63,0.47619047619047616
110147,2018,19.0,38,0.5
110147,2019,10.0,43,0.23255813953488372
110147,2020,10.0,38,0.2631578947368421
110148,2012,34.0,64,0.53125
110148,2013,18.0,61,0.29508196721311475
110148,2014,20.0,59,0.3389830508474576
110148,2015,17.0,73,0.2328767123287671
110148,2016,19.0,54,0.35185185185185186
110148,2017,37.0,75,0.49333333333333335
110148,2018,19.0,54,0.35185185185185186
110148,2019,25.0,54,0.46296296296296297
110148,2020,19.0,65,0.2923076923076923
110149,2012,26.0,246,0.10569105691056911
110149,2013,84.0,266,0.3157894736842105
110149,2014,111.0,308,0.36038961038961037
110149,2015,114.0,319,0.3573667711598746
110149,2016,100.0,305,0.32786885245901637
110149,2017,137.0,333,0.4114114114114114
110149,2018,124.0,327,0.37920489296636084
110149,2019,115.0,303,0.3795379537953795
110149,2020,120.0,266,0.45112781954887216
110150,2012,76.0,190,0.4
110150,2013,76.0,184,0.41304347826086957
110150,2014,70.0,170,0.4117647058823529
110150,2015,73.0,188,0.3882978723404255
110150,2016,78.0,171,0.45614035087719296
110150,2017,80.0,188,0.425531914893617
110150,2018,61.0,154,0.3961038961038961
110150,2019,65.0,168,0.3869047619047619
110150,2020,55.0,162,0.3395061728395062
110155,2012,23.0,57,0.40350877192982454
110155,2013,35.0,80,0.4375
110155,2014,36.0,69,0.5217391304347826
110155,2015,33.0,71,0.4647887323943662
110155,2016,33.0,59,0.559322033898305
110155,2017,25.0,58,0.43103448275862066
110155,2018,25.0,60,0.4166666666666667
110155,2019,26.0,64,0.40625
110155,2020,16.0,42,0.38095238095238093
110160,2012,51.0,133,0.38345864661654133
110160,2013,28.0,106,0.2641509433962264
110160,2014,49.0,125,0.392
110160,2015,57.0,107,0.5327102803738317
110160,2016,66.0,131,0.5038167938931297
110160,2017,49.0,146,0.3356164383561644
110160,2018,29.0,131,0.22137404580152673
110160,2019,39.0,97,0.4020618556701031
110160,2020,36.0,115,0.3130434782608696
110170,2012,38.0,146,0.2602739726027397
110170,2013,50.0,150,0.3333333333333333
110170,2014,54.0,122,0.4426229508196721
110170,2015,44.0,138,0.3188405797101449
110170,2016,71.0,151,0.47019867549668876
110170,2017,80.0,150,0.5333333333333333
110170,2018,60.0,139,0.4316546762589928
110170,2019,58.0,170,0.3411764705882353
110170,2020,54.0,143,0.3776223776223776
110175,2012,38.0,86,0.4418604651162791
110175,2013,22.0,89,0.24719101123595505
110175,2014,48.0,128,0.375
110175,2015,34.0,106,0.32075471698113206
110175,2016,42.0,110,0.38181818181818183
110175,2017,35.0,86,0.4069767441860465
110175,2018,20.0,91,0.21978021978021978
110175,2019,32.0,93,0.34408602150537637
110175,2020,26.0,72,0.3611111111111111
110180,2012,25.0,83,0.30120481927710846
110180,2013,43.0,107,0.40186915887850466
110180,2014,48.0,90,0.5333333333333333
110180,2015,26.0,63,0.4126984126984127
110180,2016,54.0,98,0.5510204081632653
110180,2017,33.0,79,0.4177215189873418
110180,2018,47.0,95,0.49473684210526314
110180,2019,38.0,81,0.4691358024691358
110180,2020,32.0,62,0.5161290322580645
120000,2012,0.0,1,0.0
120001,2012,41.0,253,0.16205533596837945
120001,2013,5.0,258,0.01937984496124031
120001,2014,5.0,269,0.01858736059479554
120001,2015,15.0,217,0.06912442396313365
120001,2016,24.0,222,0.10810810810810811
120001,2017,26.0,256,0.1015625
