CODMUNRES,Ano,Qtd_Total,Pop,Ratio
110140,2019,23.0,1713,13.42673671920607
110014,2012,12.0,2029,5.914243469689502
110014,2013,16.0,2088,7.662835249042145
110014,2014,16.0,2147,7.452258965999069
110014,2015,16.0,2207,7.249660172179429
110014,2016,20.0,2256,8.865248226950355
110014,2017,14.0,2305,6.073752711496746
110014,2018,27.0,2354,11.469838572642312
110014,2019,24.0,2401,9.995835068721368
110033,2012,16.0,2207,7.249660172179429
110033,2013,25.0,2344,10.66552901023891
110033,2014,22.0,2483,8.860249697946033
110033,2015,39.0,2621,14.879816863792446
110033,2016,22.0,2777,7.922218221101909
110033,2017,35.0,2934,11.92910702113156
110033,2018,44.0,3091,14.234875444839856
110033,2019,44.0,3244,13.563501849568434
110143,2012,5.0,714,7.002801120448179
110143,2013,5.0,728,6.868131868131868
110143,2014,10.0,741,13.495276653171391
110143,2015,3.0,754,3.9787798408488064
110143,2016,9.0,763,11.795543905635649
110143,2017,10.0,774,12.919896640826872
110143,2018,10.0,782,12.78772378516624
110143,2019,11.0,792,13.888888888888888
110050,2012,12.0,1034,11.60541586073501
110050,2013,7.0,1038,6.74373795761079
110050,2014,5.0,1042,4.798464491362764
110050,2015,9.0,1041,8.645533141210375
110050,2016,13.0,1032,12.5968992248062
110050,2017,9.0,1023,8.797653958944283
110050,2018,13.0,1012,12.845849802371541
110050,2019,12.0,997,12.036108324974924
110015,2012,48.0,4095,11.72161172161172
110015,2013,51.0,4123,12.369633761823914
110015,2014,56.0,4151,13.490725126475548
110015,2015,61.0,4176,14.607279693486591
110015,2016,47.0,4194,11.206485455412494
110015,2017,56.0,4214,13.289036544850498
110015,2018,70.0,4231,16.54455211533916
110015,2019,86.0,4243,20.268677822295547
110145,2012,7.0,463,15.11879049676026
110145,2013,1.0,477,2.0964360587002098
110145,2014,3.0,491,6.109979633401222
110145,2015,4.0,505,7.920792079207921
110145,2016,2.0,528,3.787878787878788
110145,2017,3.0,552,5.434782608695652
110145,2018,6.0,575,10.434782608695652
110145,2019,7.0,597,11.725293132328307
110018,2012,28.0,3716,7.534983853606028
110018,2013,48.0,3767,12.74223520042474
110018,2014,43.0,3819,11.25949201361613
110018,2015,52.0,3872,13.429752066115704
110018,2016,39.0,3943,9.890945980218108
110018,2017,39.0,4013,9.71841515076003
110018,2018,71.0,4083,17.38917462650012
110018,2019,47.0,4149,11.328030850807425
110146,2012,2.0,233,8.583690987124463
110146,2013,6.0,237,25.31645569620253
110146,2014,2.0,242,8.264462809917356
110146,2015,3.0,246,12.195121951219512
110146,2016,3.0,245,12.244897959183673
110146,2017,5.0,243,20.5761316872428
110146,2018,6.0,240,25.0
110146,2019,2.0,239,8.368200836820083
