CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total,Ratio
110147,2017,10.0,63,0.15873015873015872
110147,2018,9.0,38,0.23684210526315788
110147,2019,9.0,43,0.20930232558139536
110148,2012,16.0,64,0.25
110148,2013,14.0,61,0.22950819672131148
110148,2014,20.0,59,0.3389830508474576
110148,2015,14.0,73,0.1917808219178082
110148,2016,12.0,54,0.2222222222222222
110148,2017,11.0,75,0.14666666666666667
110148,2018,5.0,54,0.09259259259259259
110148,2019,7.0,54,0.12962962962962962
110149,2012,105.0,246,0.4268292682926829
110149,2013,58.0,266,0.21804511278195488
110149,2014,69.0,308,0.22402597402597402
110149,2015,62.0,319,0.19435736677115986
110149,2016,70.0,305,0.22950819672131148
110149,2017,72.0,333,0.21621621621621623
110149,2018,75.0,327,0.22935779816513763
110149,2019,57.0,303,0.18811881188118812
110150,2012,85.0,190,0.4473684210526316
110150,2013,84.0,184,0.45652173913043476
110150,2014,59.0,170,0.34705882352941175
110150,2015,51.0,188,0.2712765957446808
110150,2016,41.0,171,0.23976608187134502
110150,2017,40.0,188,0.2127659574468085
110150,2018,41.0,154,0.2662337662337662
110150,2019,34.0,168,0.20238095238095238
110155,2012,25.0,57,0.43859649122807015
110155,2013,32.0,80,0.4
110155,2014,25.0,69,0.36231884057971014
110155,2015,10.0,71,0.14084507042253522
110155,2016,15.0,59,0.2542372881355932
110155,2017,13.0,58,0.22413793103448276
110155,2018,12.0,60,0.2
110155,2019,16.0,64,0.25
110160,2012,47.0,133,0.3533834586466165
110160,2013,43.0,106,0.4056603773584906
110160,2014,30.0,125,0.24
110160,2015,25.0,107,0.2336448598130841
110160,2016,32.0,131,0.24427480916030533
110160,2017,33.0,146,0.22602739726027396
110160,2018,26.0,131,0.1984732824427481
110160,2019,19.0,97,0.1958762886597938
110170,2012,65.0,146,0.4452054794520548
110170,2013,68.0,150,0.4533333333333333
110170,2014,50.0,122,0.4098360655737705
110170,2015,35.0,138,0.2536231884057971
