res_MUNNOME,CODMUNRES,REGIAO,ESTADO
Maracanã,150430,NORTE,PARA
Marapanim,150440,NORTE,PARA
Marituba,150442,NORTE,PARA
Medicilândia,150445,NORTE,PARA
Melgaço,150450,NORTE,PARA
Mocajuba,150460,NORTE,PARA
Moju,150470,NORTE,PARA
Monte Alegre,150480,NORTE,PARA
Muaná,150490,NORTE,PARA
Nova Esperança do Piriá,150495,NORTE,PARA
Nova Ipixuna,150497,NORTE,PARA
Nova Timboteua,150500,NORTE,PARA
Novo Progresso,150503,NORTE,PARA
Novo Repartimento,150506,NORTE,PARA
Óbidos,150510,NORTE,PARA
Oeiras do Pará,150520,NORTE,PARA
Oriximiná,150530,NORTE,PARA
Ourém,150540,NORTE,PARA
Ourilândia do Norte,150543,NORTE,PARA
Pacajá,150548,NORTE,PARA
Palestina do Pará,150549,NORTE,PARA
Paragominas,150550,NORTE,PARA
Parauapebas,150553,NORTE,PARA
Pau D'Arco,150555,NORTE,PARA
Peixe-Boi,150560,NORTE,PARA
Piçarra,150563,NORTE,PARA
Placas,150565,NORTE,PARA
Ponta de Pedras,150570,NORTE,PARA
Portel,150580,NORTE,PARA
Porto de Moz,150590,NORTE,PARA
Prainha,150600,NORTE,PARA
Primavera,150610,NORTE,PARA
Quatipuru,150611,NORTE,PARA
Redenção,150613,NORTE,PARA
Rio Maria,150616,NORTE,PARA
Rondon do Pará,150618,NORTE,PARA
Rurópolis,150619,NORTE,PARA
Salinópolis,150620,NORTE,PARA
Salvaterra,150630,NORTE,PARA
Santa Bárbara do Pará,150635,NORTE,PARA
Santa Cruz do Arari,150640,NORTE,PARA
Santa Isabel do Pará,150650,NORTE,PARA
Santa Luzia do Pará,150655,NORTE,PARA
Santa Maria das Barreiras,150658,NORTE,PARA
Santa Maria do Pará,150660,NORTE,PARA
Santana do Araguaia,150670,NORTE,PARA
Santarém,150680,NORTE,PARA
Santarém Novo,150690,NORTE,PARA
Santo Antônio do Tauá,150700,NORTE,PARA
São Caetano de Odivelas,150710,NORTE,PARA
São Domingos do Araguaia,150715,NORTE,PARA
São Domingos do Capim,150720,NORTE,PARA
São Félix do Xingu,150730,NORTE,PARA
São Francisco do Pará,150740,NORTE,PARA
São Geraldo do Araguaia,150745,NORTE,PARA
São João da Ponta,150746,NORTE,PARA
São João de Pirabas,150747,NORTE,PARA
São João do Araguaia,150750,NORTE,PARA
São Miguel do Guamá,150760,NORTE,PARA
São Sebastião da Boa Vista,150770,NORTE,PARA
Sapucaia,150775,NORTE,PARA
Senador José Porfírio,150780,NORTE,PARA
Soure,150790,NORTE,PARA
Tailândia,150795,NORTE,PARA
Terra Alta,150796,NORTE,PARA
Terra Santa,150797,NORTE,PARA
Tomé-Açu,150800,NORTE,PARA
Tracuateua,150803,NORTE,PARA
Trairão,150805,NORTE,PARA
Tucumã,150808,NORTE,PARA
Tucuruí,150810,NORTE,PARA
Ulianópolis,150812,NORTE,PARA
Uruará,150815,NORTE,PARA
Vigia,150820,NORTE,PARA
Viseu,150830,NORTE,PARA
Vitória do Xingu,150835,NORTE,PARA
Xinguara,150840,NORTE,PARA
Município ignorado - AP,160000,NORTE,AMAPA
Serra do Navio,160005,NORTE,AMAPA
Amapá,160010,NORTE,AMAPA
Pedra Branca do Amapari,160015,NORTE,AMAPA
Calçoene,160020,NORTE,AMAPA
Cutias,160021,NORTE,AMAPA
Ferreira Gomes,160023,NORTE,AMAPA
Itaubal,160025,NORTE,AMAPA
Laranjal do Jari,160027,NORTE,AMAPA
Macapá,160030,NORTE,AMAPA
Mazagão,160040,NORTE,AMAPA
Oiapoque,160050,NORTE,AMAPA
Porto Grande,160053,NORTE,AMAPA
Pracuúba,160055,NORTE,AMAPA
Santana,160060,NORTE,AMAPA
Tartarugalzinho,160070,NORTE,AMAPA
Vitória do Jari,160080,NORTE,AMAPA
Município ignorado - TO,170000,NORTE,TOCANTINS
Abreulândia,170025,NORTE,TOCANTINS
Aguiarnópolis,170030,NORTE,TOCANTINS
Aliança do Tocantins,170035,NORTE,TOCANTINS
Almas,170040,NORTE,TOCANTINS
Alvorada,170070,NORTE,TOCANTINS
Ananás,170100,NORTE,TOCANTINS
Angico,170105,NORTE,TOCANTINS
Aparecida do Rio Negro,170110,NORTE,TOCANTINS
Aragominas,170130,NORTE,TOCANTINS
Araguacema,170190,NORTE,TOCANTINS
Araguaçu,170200,NORTE,TOCANTINS
Araguaína,170210,NORTE,TOCANTINS
Araguanã,170215,NORTE,TOCANTINS
Araguatins,170220,NORTE,TOCANTINS
Arapoema,170230,NORTE,TOCANTINS
Arraias,170240,NORTE,TOCANTINS
Augustinópolis,170255,NORTE,TOCANTINS
Aurora do Tocantins,170270,NORTE,TOCANTINS
Axixá do Tocantins,170290,NORTE,TOCANTINS
Babaçulândia,170300,NORTE,TOCANTINS
Bandeirantes do Tocantins,170305,NORTE,TOCANTINS
Barra do Ouro,170307,NORTE,TOCANTINS
Barrolândia,170310,NORTE,TOCANTINS
Bernardo Sayão,170320,NORTE,TOCANTINS
Bom Jesus do Tocantins,170330,NORTE,TOCANTINS
Brasilândia do Tocantins,170360,NORTE,TOCANTINS
Brejinho de Nazaré,170370,NORTE,TOCANTINS
Buriti do Tocantins,170380,NORTE,TOCANTINS
Cachoeirinha,170382,NORTE,TOCANTINS
Campos Lindos,170384,NORTE,TOCANTINS
Cariri do Tocantins,170386,NORTE,TOCANTINS
Carmolândia,170388,NORTE,TOCANTINS
Carrasco Bonito,170389,NORTE,TOCANTINS
Caseara,170390,NORTE,TOCANTINS
Centenário,170410,NORTE,TOCANTINS
