CODMUNRES,ano_nasc,Qtd_2Racacor,Qtd_Total,Ratio
110034,2017,12.0,178,0.06741573033707865
110034,2018,4.0,162,0.024691358024691357
110034,2019,5.0,205,0.024390243902439025
110034,2020,4.0,210,0.01904761904761905
110037,2012,8.0,189,0.042328042328042326
110037,2013,1.0,163,0.006134969325153374
110037,2014,2.0,172,0.011627906976744186
110037,2015,6.0,149,0.040268456375838924
110037,2016,4.0,168,0.023809523809523808
110037,2017,6.0,172,0.03488372093023256
110037,2018,4.0,160,0.025
110037,2019,10.0,154,0.06493506493506493
110037,2020,7.0,146,0.04794520547945205
110040,2012,8.0,194,0.041237113402061855
110040,2013,21.0,211,0.0995260663507109
110040,2014,18.0,254,0.07086614173228346
110040,2015,13.0,247,0.05263157894736842
110040,2016,3.0,220,0.013636363636363636
110040,2017,1.0,242,0.004132231404958678
110040,2018,5.0,219,0.0228310502283105
110040,2019,13.0,226,0.05752212389380531
110040,2020,7.0,218,0.03211009174311927
110045,2012,20.0,555,0.036036036036036036
110045,2013,13.0,598,0.021739130434782608
110045,2014,25.0,620,0.04032258064516129
110045,2015,27.0,608,0.044407894736842105
110045,2016,30.0,624,0.04807692307692308
110045,2017,24.0,632,0.0379746835443038
110045,2018,23.0,617,0.03727714748784441
110045,2019,21.0,583,0.036020583190394515
110045,2020,21.0,508,0.04133858267716536
110050,2012,5.0,125,0.04
110050,2013,4.0,122,0.03278688524590164
110050,2014,1.0,93,0.010752688172043012
110050,2015,1.0,109,0.009174311926605505
110050,2016,2.0,95,0.021052631578947368
110050,2017,1.0,91,0.01098901098901099
110050,2018,1.0,111,0.009009009009009009
110050,2019,4.0,98,0.04081632653061224
110050,2020,2.0,78,0.02564102564102564
110060,2012,5.0,61,0.08196721311475409
110060,2013,7.0,63,0.1111111111111111
110060,2014,3.0,58,0.05172413793103448
110060,2015,3.0,72,0.041666666666666664
110060,2016,3.0,67,0.04477611940298507
110060,2017,0.0,71,0.0
110060,2018,3.0,80,0.0375
110060,2019,4.0,75,0.05333333333333334
110060,2020,3.0,70,0.04285714285714286
110070,2012,11.0,164,0.06707317073170732
110070,2013,4.0,183,0.02185792349726776
110070,2014,8.0,181,0.04419889502762431
110070,2015,4.0,156,0.02564102564102564
110070,2016,10.0,162,0.06172839506172839
110070,2017,4.0,174,0.022988505747126436
110070,2018,7.0,195,0.035897435897435895
110070,2019,3.0,166,0.018072289156626505
110070,2020,10.0,173,0.057803468208092484
110080,2012,16.0,430,0.037209302325581395
110080,2013,15.0,405,0.037037037037037035
110080,2014,15.0,296,0.05067567567567568
110080,2015,9.0,323,0.02786377708978328
110080,2016,9.0,372,0.024193548387096774
110080,2017,13.0,397,0.0327455919395466
110080,2018,7.0,421,0.0166270783847981
110080,2019,11.0,337,0.032640949554896145
110080,2020,8.0,344,0.023255813953488372
110090,2012,3.0,53,0.05660377358490566
110090,2013,0.0,36,0.0
110090,2014,3.0,46,0.06521739130434782
110090,2015,4.0,52,0.07692307692307693
110090,2016,2.0,55,0.03636363636363636
110090,2017,1.0,39,0.02564102564102564
110090,2018,2.0,56,0.03571428571428571
110090,2019,3.0,32,0.09375
110090,2020,3.0,37,0.08108108108108109
110092,2012,4.0,118,0.03389830508474576
110092,2013,2.0,158,0.012658227848101266
110092,2014,1.0,158,0.006329113924050633
110092,2015,8.0,154,0.05194805194805195
110092,2016,7.0,153,0.0457516339869281
110092,2017,7.0,169,0.04142011834319527
110092,2018,9.0,181,0.049723756906077346
110092,2019,10.0,162,0.06172839506172839
110092,2020,13.0,162,0.08024691358024691
110094,2012,9.0,161,0.055900621118012424
110094,2013,13.0,203,0.06403940886699508
110094,2014,17.0,240,0.07083333333333333
110094,2015,11.0,274,0.040145985401459854
110094,2016,5.0,241,0.02074688796680498
110094,2017,9.0,209,0.0430622009569378
110094,2018,14.0,229,0.0611353711790393
110094,2019,11.0,205,0.05365853658536585
110094,2020,16.0,246,0.06504065040650407
110100,2012,6.0,133,0.045112781954887216
110100,2013,6.0,116,0.05172413793103448
110100,2014,7.0,124,0.056451612903225805
110100,2015,2.0,132,0.015151515151515152
110100,2016,2.0,112,0.017857142857142856
110100,2017,4.0,109,0.03669724770642202
110100,2018,6.0,133,0.045112781954887216
110100,2019,3.0,112,0.026785714285714284
110100,2020,3.0,86,0.03488372093023256
110110,2012,2.0,114,0.017543859649122806
110110,2013,2.0,123,0.016260162601626018
110110,2014,3.0,97,0.030927835051546393
110110,2015,6.0,112,0.05357142857142857
110110,2016,4.0,129,0.031007751937984496
110110,2017,1.0,95,0.010526315789473684
110110,2018,3.0,92,0.03260869565217391
110110,2019,5.0,109,0.045871559633027525
110110,2020,4.0,119,0.03361344537815126
110120,2012,3.0,100,0.03
110120,2013,3.0,104,0.028846153846153848
110120,2014,8.0,107,0.07476635514018691
110120,2015,1.0,93,0.010752688172043012
110120,2016,3.0,93,0.03225806451612903
110120,2017,4.0,100,0.04
110120,2018,3.0,92,0.03260869565217391
110120,2019,4.0,84,0.047619047619047616
110120,2020,4.0,74,0.05405405405405406
110130,2012,6.0,148,0.04054054054054054
110130,2013,6.0,122,0.04918032786885246
110130,2014,13.0,137,0.0948905109489051
110130,2015,8.0,179,0.0446927374301676
110130,2016,3.0,148,0.02027027027027027
110130,2017,5.0,156,0.03205128205128205
110130,2018,5.0,160,0.03125
110130,2019,6.0,164,0.036585365853658534
110130,2020,3.0,168,0.017857142857142856
110140,2012,12.0,170,0.07058823529411765
110140,2013,6.0,223,0.026905829596412557
110140,2014,5.0,204,0.024509803921568627
110140,2015,9.0,240,0.0375
110140,2016,4.0,173,0.023121387283236993
110140,2017,1.0,200,0.005
110140,2018,7.0,220,0.031818181818181815
110140,2019,7.0,199,0.035175879396984924
110140,2020,5.0,167,0.029940119760479042
110143,2012,2.0,99,0.020202020202020204
110143,2013,3.0,82,0.036585365853658534
110143,2014,6.0,110,0.05454545454545454
110143,2015,3.0,73,0.0410958904109589
110143,2016,7.0,90,0.07777777777777778
110143,2017,4.0,94,0.0425531914893617
110143,2018,4.0,87,0.04597701149425287
110143,2019,3.0,104,0.028846153846153848
110143,2020,3.0,87,0.034482758620689655
110145,2012,5.0,63,0.07936507936507936
110145,2013,4.0,55,0.07272727272727272
110145,2014,1.0,49,0.02040816326530612
110145,2015,2.0,54,0.037037037037037035
110145,2016,1.0,50,0.02
110145,2017,2.0,51,0.0392156862745098
110145,2018,5.0,53,0.09433962264150944
110145,2019,4.0,44,0.09090909090909091
110145,2020,9.0,59,0.15254237288135594
110146,2012,0.0,51,0.0
110146,2013,1.0,42,0.023809523809523808
110146,2014,2.0,37,0.05405405405405406
110146,2015,7.0,52,0.1346153846153846
110146,2016,1.0,34,0.029411764705882353
110146,2017,1.0,52,0.019230769230769232
110146,2018,4.0,52,0.07692307692307693
110146,2019,2.0,40,0.05
110146,2020,2.0,39,0.05128205128205128
110147,2012,3.0,43,0.06976744186046512
110147,2013,1.0,39,0.02564102564102564
110147,2014,0.0,47,0.0
110147,2015,1.0,40,0.025
110147,2016,2.0,56,0.03571428571428571
110147,2017,0.0,63,0.0
110147,2018,2.0,38,0.05263157894736842
110147,2019,1.0,43,0.023255813953488372
110147,2020,1.0,38,0.02631578947368421
110148,2012,3.0,64,0.046875
110148,2013,2.0,61,0.03278688524590164
110148,2014,2.0,59,0.03389830508474576
110148,2015,4.0,73,0.0547945205479452
110148,2016,1.0,54,0.018518518518518517
110148,2017,6.0,75,0.08
110148,2018,5.0,54,0.09259259259259259
110148,2019,3.0,54,0.05555555555555555
110148,2020,0.0,65,0.0
110149,2012,7.0,246,0.028455284552845527
110149,2013,16.0,266,0.06015037593984962
110149,2014,15.0,308,0.048701298701298704
110149,2015,18.0,319,0.05642633228840126
110149,2016,22.0,305,0.07213114754098361
110149,2017,15.0,333,0.04504504504504504
110149,2018,24.0,327,0.07339449541284404
110149,2019,23.0,303,0.07590759075907591
110149,2020,13.0,266,0.04887218045112782
110150,2012,11.0,190,0.05789473684210526
110150,2013,11.0,184,0.059782608695652176
110150,2014,13.0,170,0.07647058823529412
110150,2015,8.0,188,0.0425531914893617
110150,2016,4.0,171,0.023391812865497075
110150,2017,4.0,188,0.02127659574468085
110150,2018,3.0,154,0.01948051948051948
110150,2019,7.0,168,0.041666666666666664
110150,2020,7.0,162,0.043209876543209874
110155,2012,3.0,57,0.05263157894736842
110155,2013,4.0,80,0.05
110155,2014,3.0,69,0.043478260869565216
110155,2015,3.0,71,0.04225352112676056
110155,2016,1.0,59,0.01694915254237288
110155,2017,3.0,58,0.05172413793103448
110155,2018,1.0,60,0.016666666666666666
110155,2019,2.0,64,0.03125
110155,2020,1.0,42,0.023809523809523808
110160,2012,8.0,133,0.06015037593984962
110160,2013,4.0,106,0.03773584905660377
110160,2014,3.0,125,0.024
110160,2015,5.0,107,0.04672897196261682
110160,2016,6.0,131,0.04580152671755725
110160,2017,4.0,146,0.0273972602739726
110160,2018,4.0,131,0.030534351145038167
110160,2019,6.0,97,0.061855670103092786
110160,2020,5.0,115,0.043478260869565216
110170,2012,4.0,146,0.0273972602739726
110170,2013,4.0,150,0.02666666666666667
110170,2014,7.0,122,0.05737704918032787
110170,2015,5.0,138,0.036231884057971016
110170,2016,7.0,151,0.046357615894039736
110170,2017,4.0,150,0.02666666666666667
110170,2018,4.0,139,0.02877697841726619
110170,2019,4.0,170,0.023529411764705882
110170,2020,2.0,143,0.013986013986013986
110175,2012,6.0,86,0.06976744186046512
110175,2013,8.0,89,0.0898876404494382
110175,2014,7.0,128,0.0546875
110175,2015,7.0,106,0.0660377358490566
110175,2016,4.0,110,0.03636363636363636
110175,2017,2.0,86,0.023255813953488372
110175,2018,3.0,91,0.03296703296703297
110175,2019,4.0,93,0.043010752688172046
110175,2020,4.0,72,0.05555555555555555
110180,2012,4.0,83,0.04819277108433735
110180,2013,1.0,107,0.009345794392523364
110180,2014,7.0,90,0.07777777777777778
110180,2015,1.0,63,0.015873015873015872
110180,2016,2.0,98,0.02040816326530612
