CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
110029,2017,0.0,112,0.0
110029,2018,0.0,103,0.0
110029,2019,0.0,99,0.0
110029,2020,0.0,99,0.0
110030,2012,38.0,1269,0.029944838455476755
110030,2013,14.0,1388,0.010086455331412104
110030,2014,16.0,1418,0.011283497884344146
110030,2015,32.0,1535,0.020846905537459284
110030,2016,23.0,1427,0.0161177295024527
110030,2017,37.0,1465,0.025255972696245733
110030,2018,31.0,1557,0.01991008349389852
110030,2019,39.0,1590,0.024528301886792454
110030,2020,39.0,1553,0.025112685125563427
110032,2012,4.0,313,0.012779552715654952
110032,2013,5.0,355,0.014084507042253521
110032,2014,10.0,364,0.027472527472527472
110032,2015,6.0,311,0.01929260450160772
110032,2016,2.0,337,0.005934718100890208
110032,2017,6.0,372,0.016129032258064516
110032,2018,7.0,391,0.017902813299232736
110032,2019,7.0,353,0.019830028328611898
110032,2020,7.0,363,0.01928374655647383
110033,2012,5.0,383,0.013054830287206266
110033,2013,6.0,416,0.014423076923076924
110033,2014,7.0,425,0.01647058823529412
110033,2015,1.0,404,0.0024752475247524753
110033,2016,6.0,411,0.014598540145985401
110033,2017,10.0,487,0.02053388090349076
110033,2018,8.0,482,0.016597510373443983
110033,2019,10.0,432,0.023148148148148147
110033,2020,5.0,423,0.01182033096926714
110034,2012,4.0,189,0.021164021164021163
110034,2013,2.0,220,0.00909090909090909
110034,2014,5.0,184,0.02717391304347826
110034,2015,0.0,200,0.0
110034,2016,0.0,166,0.0
110034,2017,0.0,178,0.0
110034,2018,5.0,162,0.030864197530864196
110034,2019,3.0,205,0.014634146341463415
110034,2020,4.0,210,0.01904761904761905
110037,2012,2.0,189,0.010582010582010581
110037,2013,4.0,163,0.024539877300613498
110037,2014,4.0,172,0.023255813953488372
110037,2015,1.0,149,0.006711409395973154
110037,2016,4.0,168,0.023809523809523808
110037,2017,4.0,172,0.023255813953488372
110037,2018,4.0,160,0.025
110037,2019,2.0,154,0.012987012987012988
110037,2020,0.0,146,0.0
110040,2012,1.0,194,0.005154639175257732
110040,2013,6.0,211,0.02843601895734597
110040,2014,8.0,254,0.031496062992125984
110040,2015,2.0,247,0.008097165991902834
110040,2016,0.0,220,0.0
110040,2017,6.0,242,0.024793388429752067
110040,2018,4.0,219,0.0182648401826484
110040,2019,2.0,226,0.008849557522123894
110040,2020,2.0,218,0.009174311926605505
110045,2012,5.0,555,0.009009009009009009
110045,2013,9.0,598,0.015050167224080268
110045,2014,14.0,620,0.02258064516129032
110045,2015,6.0,608,0.009868421052631578
110045,2016,8.0,624,0.01282051282051282
110045,2017,6.0,632,0.00949367088607595
110045,2018,11.0,617,0.017828200972447326
110045,2019,20.0,583,0.03430531732418525
110045,2020,4.0,508,0.007874015748031496
110050,2012,0.0,125,0.0
110050,2013,4.0,122,0.03278688524590164
110050,2014,2.0,93,0.021505376344086023
110050,2015,1.0,109,0.009174311926605505
110050,2016,2.0,95,0.021052631578947368
110050,2017,6.0,91,0.06593406593406594
110050,2018,0.0,111,0.0
110050,2019,0.0,98,0.0
110050,2020,4.0,78,0.05128205128205128
110060,2012,0.0,61,0.0
110060,2013,4.0,63,0.06349206349206349
110060,2014,2.0,58,0.034482758620689655
110060,2015,1.0,72,0.013888888888888888
110060,2016,2.0,67,0.029850746268656716
110060,2017,2.0,71,0.028169014084507043
110060,2018,0.0,80,0.0
110060,2019,2.0,75,0.02666666666666667
110060,2020,2.0,70,0.02857142857142857
110070,2012,2.0,164,0.012195121951219513
110070,2013,2.0,183,0.01092896174863388
110070,2014,4.0,181,0.022099447513812154
110070,2015,0.0,156,0.0
110070,2016,0.0,162,0.0
110070,2017,7.0,174,0.040229885057471264
110070,2018,6.0,195,0.03076923076923077
110070,2019,6.0,166,0.03614457831325301
110070,2020,5.0,173,0.028901734104046242
110080,2012,7.0,430,0.01627906976744186
110080,2013,10.0,405,0.024691358024691357
110080,2014,3.0,296,0.010135135135135136
110080,2015,4.0,323,0.01238390092879257
110080,2016,2.0,372,0.005376344086021506
110080,2017,7.0,397,0.017632241813602016
110080,2018,8.0,421,0.019002375296912115
110080,2019,8.0,337,0.02373887240356083
110080,2020,12.0,344,0.03488372093023256
110090,2012,2.0,53,0.03773584905660377
110090,2013,0.0,36,0.0
110090,2014,2.0,46,0.043478260869565216
110090,2015,0.0,52,0.0
110090,2016,4.0,55,0.07272727272727272
110090,2017,1.0,39,0.02564102564102564
110090,2018,1.0,56,0.017857142857142856
110090,2019,0.0,32,0.0
110090,2020,0.0,37,0.0
110092,2012,10.0,118,0.0847457627118644
110092,2013,4.0,158,0.02531645569620253
110092,2014,2.0,158,0.012658227848101266
110092,2015,0.0,154,0.0
110092,2016,2.0,153,0.013071895424836602
110092,2017,5.0,169,0.029585798816568046
110092,2018,3.0,181,0.016574585635359115
110092,2019,0.0,162,0.0
110092,2020,1.0,162,0.006172839506172839
110094,2012,7.0,161,0.043478260869565216
110094,2013,7.0,203,0.034482758620689655
110094,2014,9.0,240,0.0375
110094,2015,4.0,274,0.014598540145985401
110094,2016,6.0,241,0.024896265560165973
110094,2017,2.0,209,0.009569377990430622
110094,2018,1.0,229,0.004366812227074236
110094,2019,4.0,205,0.01951219512195122
110094,2020,9.0,246,0.036585365853658534
110100,2012,1.0,133,0.007518796992481203
110100,2013,4.0,116,0.034482758620689655
110100,2014,4.0,124,0.03225806451612903
