CODMUNRES,Ano,Qtd_Menor20,Pop_Fem_menor20,Ratio
110026,2013,9,336.0,26.785714285714285
110026,2014,3,330.0,9.090909090909092
110026,2015,9,327.0,27.522935779816514
110026,2016,6,316.0,18.9873417721519
110026,2017,8,304.0,26.31578947368421
110026,2018,7,294.0,23.80952380952381
110026,2019,7,280.0,25.0
110028,2012,216,4864.0,44.4078947368421
110028,2013,173,4788.0,36.131996658312445
110028,2014,188,4706.0,39.949001274968126
110028,2015,181,4623.0,39.15206575816569
110028,2016,149,4555.0,32.711306256860595
110028,2017,164,4476.0,36.639857015192135
110028,2018,148,4393.0,33.689961302071474
110028,2019,136,4309.0,31.561847296356465
110029,2012,26,744.0,34.946236559139784
110029,2013,21,683.0,30.74670571010249
110029,2014,16,619.0,25.848142164781905
110029,2015,28,554.0,50.541516245487365
110029,2016,19,520.0,36.53846153846154
110029,2017,15,485.0,30.927835051546392
110029,2018,14,449.0,31.180400890868597
110029,2019,14,413.0,33.898305084745765
110030,2012,256,7726.0,33.13486927258607
110030,2013,268,7803.0,34.34576444957068
110030,2014,265,7882.0,33.62090839888353
110030,2015,259,7957.0,32.54995601357295
110030,2016,251,8040.0,31.218905472636816
110030,2017,262,8109.0,32.309779257615
110030,2018,218,8162.0,26.709139916687086
110030,2019,238,8220.0,28.953771289537713
110032,2012,75,2279.0,32.90917068889864
110032,2013,91,2211.0,41.157847127996384
110032,2014,90,2140.0,42.05607476635514
110032,2015,67,2069.0,32.382793620106334
110032,2016,57,2004.0,28.44311377245509
110032,2017,73,1933.0,37.76513191929643
110032,2018,53,1861.0,28.47931219774315
110032,2019,53,1788.0,29.6420581655481
110033,2012,108,2557.0,42.23699648025029
110033,2013,106,2615.0,40.53537284894838
110033,2014,97,2664.0,36.411411411411414
110033,2015,91,2719.0,33.46818683339463
110033,2016,89,2728.0,32.624633431085044
110033,2017,109,2732.0,39.897510980966324
110033,2018,116,2736.0,42.39766081871345
110033,2019,100,2738.0,36.52300949598247
110034,2012,46,1555.0,29.581993569131832
110034,2013,46,1471.0,31.271244051665533
110034,2014,34,1384.0,24.566473988439306
110034,2015,43,1297.0,33.15343099460293
110034,2016,36,1238.0,29.079159935379643
110034,2017,31,1177.0,26.338147833474935
110034,2018,26,1114.0,23.33931777378815
110034,2019,39,1052.0,37.0722433460076
110037,2012,52,1272.0,40.880503144654085
110037,2013,42,1258.0,33.38632750397456
110037,2014,29,1241.0,23.368251410153103
110037,2015,29,1225.0,23.6734693877551
