CODMUNRES,Ano,Qtd_Neonatal_Precoce,Qtd_Total,Ratio
110090,2013,0.0,36,0.0
110090,2014,0.0,46,0.0
110090,2015,1.0,52,0.019230769230769232
110090,2016,1.0,55,0.01818181818181818
110090,2017,0.0,39,0.0
110090,2018,0.0,56,0.0
110090,2019,0.0,32,0.0
110092,2012,1.0,118,0.00847457627118644
110092,2013,0.0,158,0.0
110092,2014,1.0,158,0.006329113924050633
110092,2015,3.0,154,0.01948051948051948
110092,2016,1.0,153,0.006535947712418301
110092,2017,0.0,169,0.0
110092,2018,0.0,181,0.0
110092,2019,1.0,162,0.006172839506172839
110094,2012,1.0,161,0.006211180124223602
110094,2013,2.0,203,0.009852216748768473
110094,2014,1.0,240,0.004166666666666667
110094,2015,0.0,274,0.0
110094,2016,0.0,241,0.0
110094,2017,1.0,209,0.004784688995215311
110094,2018,2.0,229,0.008733624454148471
110094,2019,0.0,205,0.0
110100,2012,2.0,133,0.015037593984962405
110100,2013,1.0,116,0.008620689655172414
110100,2014,0.0,124,0.0
110100,2015,0.0,132,0.0
110100,2016,0.0,112,0.0
110100,2017,1.0,109,0.009174311926605505
110100,2018,1.0,133,0.007518796992481203
110100,2019,0.0,112,0.0
110110,2012,0.0,114,0.0
110110,2013,0.0,123,0.0
110110,2014,1.0,97,0.010309278350515464
110110,2015,0.0,112,0.0
110110,2016,1.0,129,0.007751937984496124
110110,2017,0.0,95,0.0
110110,2018,0.0,92,0.0
110110,2019,0.0,109,0.0
110120,2012,0.0,100,0.0
110120,2013,0.0,104,0.0
110120,2014,0.0,107,0.0
110120,2015,0.0,93,0.0
110120,2016,0.0,93,0.0
110120,2017,0.0,100,0.0
110120,2018,0.0,92,0.0
110120,2019,0.0,84,0.0
110130,2012,1.0,148,0.006756756756756757
110130,2013,0.0,122,0.0
110130,2014,0.0,137,0.0
110130,2015,1.0,179,0.00558659217877095
110130,2016,1.0,148,0.006756756756756757
110130,2017,2.0,156,0.01282051282051282
110130,2018,0.0,160,0.0
110130,2019,0.0,164,0.0
110140,2012,0.0,170,0.0
110140,2013,1.0,223,0.004484304932735426
110140,2014,0.0,204,0.0
110140,2015,1.0,240,0.004166666666666667
110140,2016,2.0,173,0.011560693641618497
110140,2017,0.0,200,0.0
110140,2018,1.0,220,0.004545454545454545
110140,2019,0.0,199,0.0
110143,2012,0.0,99,0.0
110143,2013,0.0,82,0.0
110143,2014,0.0,110,0.0
110143,2015,0.0,73,0.0
110143,2016,0.0,90,0.0
110143,2017,0.0,94,0.0
110143,2018,0.0,87,0.0
110143,2019,0.0,104,0.0
110145,2012,0.0,63,0.0
110145,2013,0.0,55,0.0
110145,2014,1.0,49,0.02040816326530612
110145,2015,0.0,54,0.0
110145,2016,0.0,50,0.0
110145,2017,0.0,51,0.0
110145,2018,1.0,53,0.018867924528301886
110145,2019,0.0,44,0.0
110146,2012,0.0,51,0.0
110146,2013,0.0,42,0.0
110146,2014,1.0,37,0.02702702702702703
110146,2015,0.0,52,0.0
110146,2016,0.0,34,0.0
110146,2017,0.0,52,0.0
110146,2018,1.0,52,0.019230769230769232
110146,2019,0.0,40,0.0
110147,2012,0.0,43,0.0
110147,2013,0.0,39,0.0
110147,2014,0.0,47,0.0
110147,2015,0.0,40,0.0
110147,2016,0.0,56,0.0
110147,2017,0.0,63,0.0
110147,2018,0.0,38,0.0
110147,2019,0.0,43,0.0
110148,2012,0.0,64,0.0
110148,2013,1.0,61,0.01639344262295082
110148,2014,0.0,59,0.0
110148,2015,1.0,73,0.0136986301369863
110148,2016,0.0,54,0.0
110148,2017,1.0,75,0.013333333333333334
110148,2018,0.0,54,0.0
110148,2019,1.0,54,0.018518518518518517
110149,2012,0.0,246,0.0
110149,2013,1.0,266,0.0037593984962406013
110149,2014,4.0,308,0.012987012987012988
110149,2015,0.0,319,0.0
