CODMUNRES,ano_nasc,Qtd_4a_serie,Qtd_Total,Ratio
110143,2019,0.0,104,0.0
110145,2012,3.0,63,0.047619047619047616
110145,2013,2.0,55,0.03636363636363636
110145,2014,3.0,49,0.061224489795918366
110145,2015,0.0,54,0.0
110145,2016,0.0,50,0.0
110145,2017,1.0,51,0.0196078431372549
110145,2018,2.0,53,0.03773584905660377
110145,2019,1.0,44,0.022727272727272728
110146,2012,5.0,51,0.09803921568627451
110146,2013,3.0,42,0.07142857142857142
110146,2014,2.0,37,0.05405405405405406
110146,2015,2.0,52,0.038461538461538464
110146,2016,2.0,34,0.058823529411764705
110146,2017,0.0,52,0.0
110146,2018,0.0,52,0.0
110146,2019,1.0,40,0.025
110147,2012,1.0,43,0.023255813953488372
110147,2013,1.0,39,0.02564102564102564
110147,2014,3.0,47,0.06382978723404255
110147,2015,0.0,40,0.0
110147,2016,0.0,56,0.0
110147,2017,0.0,63,0.0
110147,2018,0.0,38,0.0
110147,2019,1.0,43,0.023255813953488372
110148,2012,4.0,64,0.0625
110148,2013,1.0,61,0.01639344262295082
110148,2014,2.0,59,0.03389830508474576
110148,2015,3.0,73,0.0410958904109589
110148,2016,1.0,54,0.018518518518518517
110148,2017,1.0,75,0.013333333333333334
110148,2018,0.0,54,0.0
110148,2019,0.0,54,0.0
110149,2012,14.0,246,0.056910569105691054
110149,2013,10.0,266,0.03759398496240601
110149,2014,7.0,308,0.022727272727272728
110149,2015,4.0,319,0.012539184952978056
110149,2016,3.0,305,0.009836065573770493
110149,2017,6.0,333,0.018018018018018018
110149,2018,10.0,327,0.03058103975535168
110149,2019,11.0,303,0.036303630363036306
110150,2012,15.0,190,0.07894736842105263
110150,2013,23.0,184,0.125
110150,2014,10.0,170,0.058823529411764705
110150,2015,5.0,188,0.026595744680851064
110150,2016,7.0,171,0.04093567251461988
110150,2017,4.0,188,0.02127659574468085
110150,2018,6.0,154,0.03896103896103896
110150,2019,5.0,168,0.02976190476190476
110155,2012,8.0,57,0.14035087719298245
110155,2013,10.0,80,0.125
110155,2014,3.0,69,0.043478260869565216
110155,2015,0.0,71,0.0
110155,2016,2.0,59,0.03389830508474576
110155,2017,2.0,58,0.034482758620689655
110155,2018,4.0,60,0.06666666666666667
110155,2019,3.0,64,0.046875
110160,2012,8.0,133,0.06015037593984962
110160,2013,7.0,106,0.0660377358490566
110160,2014,2.0,125,0.016
110160,2015,2.0,107,0.018691588785046728
110160,2016,4.0,131,0.030534351145038167
110160,2017,4.0,146,0.0273972602739726
110160,2018,2.0,131,0.015267175572519083
110160,2019,2.0,97,0.020618556701030927
