CODMUNRES,ano_nasc,Qtd_Robson,Qtd_Total,Ratio
110146,2014,13.0,37,0.35135135135135137
110146,2015,14.0,52,0.2692307692307692
110146,2016,13.0,34,0.38235294117647056
110146,2017,16.0,52,0.3076923076923077
110146,2018,23.0,52,0.4423076923076923
110146,2019,12.0,40,0.3
110147,2012,17.0,43,0.3953488372093023
110147,2013,0.0,39,0.0
110147,2014,13.0,47,0.2765957446808511
110147,2015,19.0,40,0.475
110147,2016,14.0,56,0.25
110147,2017,21.0,63,0.3333333333333333
110147,2018,13.0,38,0.34210526315789475
110147,2019,20.0,43,0.46511627906976744
110148,2012,18.0,64,0.28125
110148,2013,0.0,61,0.0
110148,2014,20.0,59,0.3389830508474576
110148,2015,25.0,73,0.3424657534246575
110148,2016,22.0,54,0.4074074074074074
110148,2017,21.0,75,0.28
110148,2018,27.0,54,0.5
110148,2019,20.0,54,0.37037037037037035
110149,2012,64.0,246,0.2601626016260163
110149,2013,0.0,266,0.0
110149,2014,103.0,308,0.3344155844155844
110149,2015,111.0,319,0.34796238244514105
110149,2016,94.0,305,0.3081967213114754
110149,2017,120.0,333,0.36036036036036034
110149,2018,117.0,327,0.3577981651376147
110149,2019,109.0,303,0.35973597359735976
110150,2012,54.0,190,0.28421052631578947
110150,2013,0.0,184,0.0
110150,2014,55.0,170,0.3235294117647059
110150,2015,60.0,188,0.3191489361702128
110150,2016,51.0,171,0.2982456140350877
110150,2017,57.0,188,0.30319148936170215
110150,2018,58.0,154,0.37662337662337664
110150,2019,57.0,168,0.3392857142857143
110155,2012,6.0,57,0.10526315789473684
110155,2013,0.0,80,0.0
110155,2014,15.0,69,0.21739130434782608
110155,2015,15.0,71,0.2112676056338028
110155,2016,21.0,59,0.3559322033898305
110155,2017,16.0,58,0.27586206896551724
110155,2018,22.0,60,0.36666666666666664
110155,2019,19.0,64,0.296875
110160,2012,30.0,133,0.22556390977443608
110160,2013,0.0,106,0.0
110160,2014,53.0,125,0.424
110160,2015,28.0,107,0.2616822429906542
110160,2016,35.0,131,0.26717557251908397
110160,2017,49.0,146,0.3356164383561644
110160,2018,61.0,131,0.46564885496183206
110160,2019,35.0,97,0.36082474226804123
110170,2012,24.0,146,0.1643835616438356
110170,2013,0.0,150,0.0
110170,2014,32.0,122,0.26229508196721313
110170,2015,43.0,138,0.3115942028985507
110170,2016,50.0,151,0.33112582781456956
110170,2017,24.0,150,0.16
110170,2018,39.0,139,0.2805755395683453
110170,2019,61.0,170,0.3588235294117647
110175,2012,16.0,86,0.18604651162790697
110175,2013,0.0,89,0.0
110175,2014,37.0,128,0.2890625
110175,2015,40.0,106,0.37735849056603776
110175,2016,33.0,110,0.3
110175,2017,25.0,86,0.29069767441860467
110175,2018,41.0,91,0.45054945054945056
110175,2019,32.0,93,0.34408602150537637
110180,2012,20.0,83,0.24096385542168675
110180,2013,0.0,107,0.0
110180,2014,13.0,90,0.14444444444444443
110180,2015,16.0,63,0.25396825396825395
110180,2016,27.0,98,0.2755102040816326
110180,2017,23.0,79,0.2911392405063291
110180,2018,29.0,95,0.30526315789473685
110180,2019,21.0,80,0.2625
120000,2012,0.0,1,0.0
120001,2012,18.0,253,0.07114624505928854
120001,2013,0.0,258,0.0
120001,2014,17.0,269,0.06319702602230483
120001,2015,18.0,217,0.08294930875576037
120001,2016,28.0,222,0.12612612612612611
120001,2017,24.0,256,0.09375
120001,2018,30.0,216,0.1388888888888889
120001,2019,45.0,257,0.17509727626459143
120005,2012,3.0,219,0.0136986301369863
120005,2013,0.0,213,0.0
120005,2014,15.0,196,0.07653061224489796
120005,2015,15.0,238,0.06302521008403361
120005,2016,14.0,190,0.07368421052631578
