CODMUNRES,ano_nasc,Qtd_Total
130120,2019,1698
130130,2012,432
130130,2013,424
130130,2014,426
130130,2015,434
130130,2016,404
130130,2017,439
130130,2018,429
130130,2019,468
130140,2012,833
130140,2013,852
130140,2014,852
130140,2015,825
130140,2016,787
130140,2017,854
130140,2018,830
130140,2019,792
130150,2012,314
130150,2013,366
130150,2014,386
130150,2015,412
130150,2016,369
130150,2017,424
130150,2018,369
130150,2019,391
130160,2012,520
130160,2013,556
130160,2014,606
130160,2015,670
130160,2016,573
130160,2017,630
130160,2018,621
130160,2019,579
130165,2012,360
130165,2013,329
130165,2014,356
130165,2015,334
130165,2016,284
130165,2017,326
130165,2018,293
130165,2019,285
130170,2012,847
130170,2013,902
130170,2014,970
130170,2015,941
130170,2016,977
130170,2017,1001
130170,2018,1006
130170,2019,978
130180,2012,439
130180,2013,407
130180,2014,406
130180,2015,441
130180,2016,389
130180,2017,409
130180,2018,413
130180,2019,376
130185,2012,898
130185,2013,849
130185,2014,873
130185,2015,867
130185,2016,928
130185,2017,941
130185,2018,945
130185,2019,1021
130190,2012,2019
130190,2013,2085
130190,2014,2068
130190,2015,2078
130190,2016,2028
130190,2017,1985
130190,2018,2068
130190,2019,2034
130195,2012,197
130195,2013,260
130195,2014,260
130195,2015,293
130195,2016,263
130195,2017,245
130195,2018,303
130195,2019,247
130200,2012,199
130200,2013,184
130200,2014,154
130200,2015,148
130200,2016,187
130200,2017,165
130200,2018,171
130200,2019,173
130210,2012,142
130210,2013,130
130210,2014,148
130210,2015,169
130210,2016,150
130210,2017,161
130210,2018,151
130210,2019,121
130220,2012,171
130220,2013,202
130220,2014,193
130220,2015,217
130220,2016,175
130220,2017,253
130220,2018,251
130220,2019,235
130230,2012,601
130230,2013,629
130230,2014,631
130230,2015,633
130230,2016,604
130230,2017,659
130230,2018,648
130230,2019,646
130240,2012,682
130240,2013,728
130240,2014,715
130240,2015,659
130240,2016,652
130240,2017,741
130240,2018,779
130240,2019,892
130250,2012,1886
130250,2013,2000
130250,2014,2130
130250,2015,2070
130250,2016,1795
130250,2017,1938
130250,2018,2056
130250,2019,2115
130255,2012,250
130255,2013,249
130255,2014,233
130255,2015,234
130255,2016,253
130255,2017,300
130255,2018,303
130255,2019,276
130260,2012,41169
130260,2013,41640
130260,2014,42809
130260,2015,42342
130260,2016,39603
130260,2017,38498
130260,2018,38588
130260,2019,37939
130270,2012,810
130270,2013,850
130270,2014,903
130270,2015,930
130270,2016,911
130270,2017,989
130270,2018,1013
130270,2019,1023
130280,2012,313
130280,2013,338
130280,2014,399
130280,2015,323
130280,2016,358
130280,2017,418
130280,2018,405
130280,2019,381
130290,2012,1311
130290,2013,1317
130290,2014,1362
130290,2015,1335
130290,2016,1273
130290,2017,1553
130290,2018,1581
130290,2019,1539
130300,2012,344
130300,2013,301
130300,2014,357
130300,2015,356
130300,2016,338
130300,2017,358
130300,2018,314
130300,2019,346
130310,2012,591
130310,2013,628
130310,2014,619
130310,2015,593
130310,2016,587
130310,2017,592
130310,2018,612
130310,2019,546
130320,2012,257
130320,2013,246
130320,2014,307
130320,2015,316
130320,2016,289
130320,2017,333
130320,2018,327
130320,2019,310
130330,2012,321
130330,2013,351
130330,2014,344
130330,2015,409
130330,2016,386
130330,2017,406
130330,2018,379
130330,2019,392
130340,2012,2021
130340,2013,2133
130340,2014,2056
130340,2015,1995
130340,2016,1932
130340,2017,2139
130340,2018,2067
130340,2019,1947
130350,2012,308
130350,2013,367
130350,2014,364
130350,2015,374
130350,2016,348
130350,2017,355
130350,2018,362
130350,2019,369
130353,2012,556
130353,2013,580
130353,2014,585
130353,2015,558
130353,2016,548
130353,2017,523
130353,2018,558
130353,2019,513
130356,2012,361
130356,2013,374
130356,2014,412
130356,2015,391
130356,2016,415
130356,2017,422
130356,2018,431
130356,2019,440
130360,2012,344
130360,2013,279
130360,2014,225
130360,2015,301
130360,2016,305
130360,2017,370
130360,2018,372
130360,2019,322
130370,2012,603
130370,2013,576
130370,2014,652
130370,2015,718
130370,2016,693
130370,2017,724
130370,2018,704
130370,2019,773
130380,2012,1119
130380,2013,1143
