CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
120045,2013,1.0,7,0.14285714285714285
120045,2014,0.0,3,0.0
120045,2015,2.0,11,0.18181818181818182
120045,2016,0.0,8,0.0
120045,2017,0.0,3,0.0
120045,2018,5.0,10,0.5
120045,2019,1.0,10,0.1
120050,2012,2.0,14,0.14285714285714285
120050,2013,1.0,11,0.09090909090909091
120050,2014,0.0,9,0.0
120050,2015,1.0,9,0.1111111111111111
120050,2016,3.0,12,0.25
120050,2017,0.0,10,0.0
120050,2018,7.0,15,0.4666666666666667
120050,2019,5.0,15,0.3333333333333333
120060,2012,1.0,15,0.06666666666666667
120060,2013,0.0,12,0.0
120060,2014,0.0,14,0.0
120060,2015,0.0,14,0.0
120060,2016,2.0,15,0.13333333333333333
120060,2017,3.0,13,0.23076923076923078
120060,2018,3.0,18,0.16666666666666666
120060,2019,3.0,17,0.17647058823529413
120070,2012,1.0,4,0.25
120070,2013,0.0,8,0.0
120070,2014,0.0,2,0.0
120070,2015,0.0,4,0.0
120070,2016,0.0,7,0.0
120070,2017,0.0,5,0.0
120070,2018,2.0,5,0.4
120070,2019,0.0,4,0.0
120080,2012,0.0,4,0.0
120080,2013,0.0,7,0.0
120080,2014,0.0,4,0.0
120080,2015,0.0,3,0.0
120080,2016,0.0,7,0.0
120080,2017,0.0,2,0.0
120080,2018,5.0,9,0.5555555555555556
120080,2019,2.0,8,0.25
130000,2012,1.0,1,1.0
130000,2019,0.0,1,0.0
130002,2012,2.0,3,0.6666666666666666
130002,2013,2.0,6,0.3333333333333333
130002,2014,0.0,3,0.0
130002,2015,1.0,4,0.25
130002,2016,1.0,5,0.2
130002,2017,4.0,5,0.8
130002,2018,2.0,2,1.0
130002,2019,2.0,3,0.6666666666666666
130006,2012,3.0,4,0.75
130006,2013,1.0,2,0.5
130006,2014,2.0,2,1.0
130006,2015,0.0,1,0.0
130006,2016,0.0,2,0.0
130006,2017,0.0,2,0.0
130006,2018,0.0,1,0.0
130006,2019,0.0,1,0.0
130008,2012,0.0,2,0.0
130008,2014,1.0,3,0.3333333333333333
130008,2015,0.0,2,0.0
130008,2016,1.0,4,0.25
130008,2017,1.0,5,0.2
130008,2019,0.0,2,0.0
130010,2012,0.0,2,0.0
130010,2014,2.0,2,1.0
130010,2015,1.0,3,0.3333333333333333
130010,2016,0.0,1,0.0
130010,2017,2.0,4,0.5
130010,2018,2.0,3,0.6666666666666666
130014,2012,0.0,2,0.0
130014,2013,1.0,4,0.25
130014,2014,3.0,6,0.5
130014,2015,6.0,7,0.8571428571428571
130014,2016,1.0,1,1.0
130014,2017,0.0,3,0.0
130014,2018,1.0,6,0.16666666666666666
130014,2019,0.0,3,0.0
130020,2012,1.0,8,0.125
130020,2013,1.0,4,0.25
130020,2014,4.0,9,0.4444444444444444
130020,2015,0.0,7,0.0
130020,2016,6.0,8,0.75
130020,2017,1.0,7,0.14285714285714285
130020,2018,1.0,5,0.2
130020,2019,0.0,4,0.0
130030,2012,3.0,3,1.0
130030,2013,3.0,8,0.375
130030,2014,6.0,10,0.6
130030,2015,6.0,10,0.6
130030,2016,1.0,9,0.1111111111111111
130030,2017,0.0,12,0.0
130030,2018,5.0,12,0.4166666666666667
130030,2019,0.0,8,0.0
130040,2012,0.0,7,0.0
130040,2013,0.0,3,0.0
130040,2014,0.0,2,0.0
130040,2015,1.0,3,0.3333333333333333
130040,2016,0.0,11,0.0
130040,2017,0.0,5,0.0
130040,2018,0.0,5,0.0
130040,2019,2.0,4,0.5
130050,2012,1.0,5,0.2
130050,2013,4.0,9,0.4444444444444444
130050,2014,1.0,10,0.1
130050,2015,1.0,5,0.2
130050,2016,1.0,7,0.14285714285714285
130050,2017,2.0,5,0.4
130050,2018,2.0,5,0.4
130050,2019,4.0,10,0.4
130060,2012,3.0,11,0.2727272727272727
130060,2013,0.0,10,0.0
130060,2014,8.0,11,0.7272727272727273
130060,2015,2.0,9,0.2222222222222222
130060,2016,1.0,11,0.09090909090909091
130060,2017,0.0,13,0.0
130060,2018,3.0,15,0.2
130060,2019,7.0,12,0.5833333333333334
130063,2012,2.0,4,0.5
130063,2013,2.0,3,0.6666666666666666
130063,2014,1.0,5,0.2
