CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
310370,2019,0,2,0.0
310375,2012,2,3,0.6666666666666666
310375,2013,1,1,1.0
310375,2014,2,4,0.5
310375,2015,1,2,0.5
310375,2016,3,4,0.75
310375,2017,1,3,0.3333333333333333
310375,2019,1,1,1.0
310380,2013,1,1,1.0
310380,2015,1,1,1.0
310380,2017,0,1,0.0
310390,2012,1,4,0.25
310390,2013,1,4,0.25
310390,2014,0,1,0.0
310390,2016,0,1,0.0
310390,2017,2,3,0.6666666666666666
310390,2018,1,2,0.5
310390,2019,1,3,0.3333333333333333
310400,2012,3,40,0.075
310400,2013,1,42,0.0238095238095238
310400,2014,2,39,0.0512820512820512
310400,2015,5,25,0.2
310400,2016,24,31,0.7741935483870968
310400,2017,24,44,0.5454545454545454
310400,2018,24,30,0.8
310400,2019,14,47,0.2978723404255319
310410,2012,2,4,0.5
310410,2013,1,2,0.5
310410,2014,3,5,0.6
310410,2015,1,1,1.0
310410,2018,0,5,0.0
310410,2019,0,2,0.0
310420,2012,3,11,0.2727272727272727
310420,2013,6,11,0.5454545454545454
310420,2014,0,5,0.0
310420,2015,5,16,0.3125
310420,2016,19,23,0.8260869565217391
310420,2017,7,7,1.0
310420,2018,9,13,0.6923076923076923
310420,2019,8,16,0.5
310430,2012,8,8,1.0
310430,2013,7,8,0.875
310430,2014,1,2,0.5
310430,2015,2,2,1.0
310430,2016,4,6,0.6666666666666666
310430,2017,1,1,1.0
310430,2018,4,4,1.0
310430,2019,4,5,0.8
310440,2013,3,4,0.75
310440,2014,1,2,0.5
310440,2015,1,2,0.5
310440,2016,1,2,0.5
310440,2019,1,3,0.3333333333333333
310445,2013,0,5,0.0
310445,2015,1,1,1.0
310445,2016,0,3,0.0
310445,2017,0,1,0.0
310445,2018,0,3,0.0
310445,2019,0,1,0.0
310450,2012,1,3,0.3333333333333333
310450,2013,1,5,0.2
310450,2014,3,8,0.375
310450,2015,1,8,0.125
310450,2016,0,2,0.0
310450,2017,2,6,0.3333333333333333
310450,2018,1,7,0.1428571428571428
310450,2019,0,6,0.0
310460,2012,3,5,0.6
310460,2013,4,7,0.5714285714285714
310460,2014,5,7,0.7142857142857143
310460,2015,2,2,1.0
310460,2016,1,3,0.3333333333333333
310460,2017,0,3,0.0
310460,2018,1,5,0.2
310460,2019,0,4,0.0
310470,2012,0,6,0.0
310470,2013,0,4,0.0
310470,2014,1,7,0.1428571428571428
310470,2015,1,5,0.2
310470,2016,1,6,0.1666666666666666
310470,2017,0,2,0.0
310470,2018,0,1,0.0
310470,2019,0,2,0.0
310480,2013,1,2,0.5
310480,2014,0,3,0.0
310480,2015,0,2,0.0
310480,2016,1,1,1.0
310480,2017,0,4,0.0
310480,2018,0,2,0.0
310480,2019,0,1,0.0
310490,2012,1,2,0.5
310490,2013,4,6,0.6666666666666666
310490,2014,0,6,0.0
310490,2015,1,3,0.3333333333333333
310490,2016,3,4,0.75
310490,2017,5,9,0.5555555555555556
310490,2018,5,5,1.0
310490,2019,2,12,0.1666666666666666
310500,2012,0,4,0.0
310500,2013,0,5,0.0
310500,2014,0,2,0.0
310500,2015,0,1,0.0
310500,2016,1,5,0.2
310500,2017,0,2,0.0
310500,2018,0,4,0.0
310500,2019,0,4,0.0
310510,2012,10,10,1.0
310510,2013,10,12,0.8333333333333334
310510,2014,11,15,0.7333333333333333
310510,2015,3,3,1.0
310510,2016,5,7,0.7142857142857143
310510,2017,4,7,0.5714285714285714
310510,2018,2,5,0.4
310510,2019,7,7,1.0
310520,2014,2,2,1.0
310520,2015,0,3,0.0
310520,2016,1,1,1.0
310520,2017,2,2,1.0
310520,2018,0,3,0.0
310520,2019,0,1,0.0
310530,2012,2,4,0.5
310530,2013,0,1,0.0
310530,2014,2,3,0.6666666666666666
310530,2015,0,4,0.0
310530,2016,1,3,0.3333333333333333
310530,2017,1,2,0.5
310530,2018,0,1,0.0
310530,2019,0,1,0.0
310540,2012,0,9,0.0
310540,2013,2,6,0.3333333333333333
310540,2014,4,8,0.5
310540,2015,1,10,0.1
310540,2016,1,9,0.1111111111111111
310540,2017,4,8,0.5
310540,2018,2,6,0.3333333333333333
310540,2019,0,13,0.0
310550,2012,1,3,0.3333333333333333
310550,2013,1,1,1.0
310550,2015,2,4,0.5
310550,2017,0,2,0.0
310550,2018,1,3,0.3333333333333333
310560,2012,54,57,0.9473684210526316
310560,2013,40,47,0.851063829787234
310560,2014,43,51,0.8431372549019608
310560,2015,30,38,0.7894736842105263
310560,2016,32,41,0.7804878048780488
310560,2017,34,50,0.68
310560,2018,8,35,0.2285714285714285
310560,2019,28,41,0.6829268292682927
310570,2012,1,1,1.0
310570,2013,0,2,0.0
310570,2014,0,1,0.0
310570,2015,1,1,1.0
310570,2016,0,2,0.0
310570,2017,1,1,1.0
310570,2018,0,2,0.0
310570,2019,0,2,0.0
