CODMUNRES,Ano,Qtd_Obitos_Declarados_Investigados,Qtd_Total,Ratio
110020,2019,0.0,102,0.0
110025,2012,0.0,1,0.0
110025,2013,0.0,2,0.0
110025,2014,0.0,1,0.0
110025,2015,0.0,4,0.0
110025,2016,0.0,4,0.0
110025,2017,0.0,11,0.0
110025,2018,0.0,2,0.0
110025,2019,0.0,3,0.0
110026,2016,0.0,1,0.0
110026,2019,0.0,1,0.0
110028,2012,0.0,9,0.0
110028,2013,0.0,7,0.0
110028,2014,0.0,10,0.0
110028,2015,0.0,23,0.0
110028,2016,0.0,7,0.0
110028,2017,0.0,3,0.0
110028,2018,0.0,11,0.0
110028,2019,0.0,7,0.0
110029,2013,0.0,1,0.0
110029,2014,0.0,2,0.0
110029,2016,0.0,1,0.0
110029,2017,0.0,1,0.0
110029,2018,0.0,1,0.0
110030,2012,0.0,16,0.0
110030,2013,0.0,14,0.0
110030,2014,0.0,15,0.0
110030,2015,0.0,17,0.0
110030,2016,0.0,15,0.0
110030,2017,0.0,17,0.0
110030,2018,0.0,16,0.0
110030,2019,0.0,13,0.0
110032,2012,0.0,4,0.0
110032,2013,0.0,1,0.0
110032,2014,0.0,2,0.0
110032,2015,0.0,4,0.0
110032,2016,0.0,3,0.0
110032,2017,0.0,6,0.0
110032,2018,0.0,3,0.0
110032,2019,0.0,8,0.0
110033,2012,0.0,4,0.0
110033,2013,0.0,7,0.0
110033,2014,0.0,4,0.0
110033,2015,0.0,4,0.0
110033,2016,0.0,5,0.0
110033,2017,0.0,8,0.0
110033,2018,0.0,6,0.0
110033,2019,0.0,2,0.0
110034,2013,0.0,1,0.0
110034,2014,0.0,1,0.0
110034,2015,0.0,3,0.0
110034,2017,0.0,1,0.0
110034,2019,0.0,1,0.0
110037,2012,0.0,2,0.0
110037,2013,0.0,2,0.0
110037,2014,0.0,3,0.0
110037,2017,0.0,2,0.0
110040,2012,0.0,1,0.0
110040,2014,0.0,5,0.0
110040,2015,0.0,4,0.0
110040,2016,0.0,6,0.0
110040,2017,0.0,3,0.0
110040,2018,0.0,6,0.0
110040,2019,0.0,1,0.0
110045,2012,0.0,2,0.0
110045,2013,0.0,5,0.0
110045,2014,0.0,8,0.0
110045,2015,0.0,5,0.0
110045,2016,0.0,5,0.0
110045,2017,1.0,10,0.1
110045,2018,0.0,8,0.0
110045,2019,0.0,2,0.0
110050,2013,0.0,1,0.0
110050,2014,0.0,2,0.0
110060,2012,0.0,1,0.0
110060,2013,0.0,1,0.0
110070,2012,0.0,4,0.0
110070,2014,0.0,2,0.0
110070,2016,0.0,1,0.0
110070,2017,0.0,1,0.0
110070,2019,0.0,1,0.0
110080,2012,0.0,8,0.0
110080,2013,0.0,6,0.0
110080,2014,0.0,7,0.0
110080,2015,0.0,8,0.0
110080,2016,0.0,5,0.0
110080,2017,0.0,2,0.0
110080,2018,0.0,5,0.0
110080,2019,0.0,7,0.0
110090,2012,0.0,1,0.0
110090,2013,0.0,2,0.0
110090,2015,0.0,1,0.0
110090,2016,0.0,3,0.0
110092,2012,0.0,2,0.0
110092,2013,0.0,2,0.0
110092,2014,0.0,1,0.0
110092,2015,0.0,5,0.0
110092,2016,0.0,2,0.0
110092,2017,0.0,2,0.0
110094,2012,0.0,3,0.0
110094,2013,0.0,4,0.0
110094,2014,0.0,3,0.0
110094,2015,0.0,3,0.0
110094,2016,0.0,2,0.0
110094,2017,0.0,2,0.0
110094,2018,0.0,2,0.0
110100,2012,0.0,2,0.0
110100,2013,0.0,1,0.0
110100,2014,0.0,1,0.0
110100,2015,0.0,1,0.0
110100,2016,0.0,1,0.0
110100,2017,0.0,1,0.0
110100,2018,0.0,2,0.0
110100,2019,0.0,2,0.0
110110,2012,0.0,1,0.0
110110,2014,0.0,1,0.0
110110,2017,0.0,1,0.0
110120,2012,0.0,3,0.0
110120,2013,0.0,2,0.0
110120,2014,0.0,4,0.0
110120,2015,0.0,1,0.0
110120,2018,0.0,2,0.0
110130,2012,0.0,2,0.0
110130,2013,0.0,1,0.0
110130,2014,0.0,1,0.0
110130,2015,0.0,1,0.0
110130,2016,0.0,2,0.0
110130,2017,0.0,2,0.0
110130,2019,0.0,1,0.0
110140,2013,0.0,2,0.0
110140,2014,0.0,1,0.0
110140,2015,0.0,4,0.0
110140,2016,0.0,1,0.0
110140,2017,0.0,2,0.0
110140,2018,0.0,2,0.0
110140,2019,0.0,2,0.0
110143,2013,0.0,2,0.0
110143,2014,0.0,1,0.0
110143,2015,0.0,2,0.0
110143,2018,0.0,1,0.0
110145,2013,0.0,2,0.0
110145,2014,0.0,1,0.0
110145,2017,0.0,2,0.0
110145,2018,0.0,2,0.0
110146,2012,0.0,1,0.0
110146,2014,0.0,1,0.0
110146,2016,0.0,1,0.0
110146,2018,0.0,2,0.0
110147,2012,0.0,1,0.0
