CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
110130,2016,46.0,148,0.3108108108108108
110130,2017,34.0,156,0.21794871794871795
110130,2018,42.0,160,0.2625
110130,2019,30.0,164,0.18292682926829268
110140,2012,40.0,170,0.23529411764705882
110140,2013,65.0,223,0.2914798206278027
110140,2014,64.0,204,0.3137254901960784
110140,2015,70.0,240,0.2916666666666667
110140,2016,50.0,173,0.28901734104046245
110140,2017,56.0,200,0.28
110140,2018,74.0,220,0.33636363636363636
110140,2019,50.0,199,0.25125628140703515
110143,2012,17.0,99,0.1717171717171717
110143,2013,19.0,82,0.23170731707317074
110143,2014,27.0,110,0.24545454545454545
110143,2015,19.0,73,0.2602739726027397
110143,2016,19.0,90,0.2111111111111111
110143,2017,21.0,94,0.22340425531914893
110143,2018,19.0,87,0.21839080459770116
110143,2019,18.0,104,0.17307692307692307
110145,2012,17.0,63,0.2698412698412698
110145,2013,22.0,55,0.4
110145,2014,15.0,49,0.30612244897959184
110145,2015,12.0,54,0.2222222222222222
110145,2016,7.0,50,0.14
110145,2017,16.0,51,0.3137254901960784
110145,2018,9.0,53,0.16981132075471697
110145,2019,9.0,44,0.20454545454545456
110146,2012,18.0,51,0.35294117647058826
110146,2013,16.0,42,0.38095238095238093
110146,2014,16.0,37,0.43243243243243246
110146,2015,24.0,52,0.46153846153846156
110146,2016,11.0,34,0.3235294117647059
110146,2017,16.0,52,0.3076923076923077
110146,2018,11.0,52,0.21153846153846154
110146,2019,10.0,40,0.25
110147,2012,11.0,43,0.2558139534883721
110147,2013,14.0,39,0.358974358974359
110147,2014,19.0,47,0.40425531914893614
110147,2015,10.0,40,0.25
110147,2016,21.0,56,0.375
110147,2017,11.0,63,0.1746031746031746
110147,2018,12.0,38,0.3157894736842105
110147,2019,4.0,43,0.09302325581395349
110148,2012,17.0,64,0.265625
110148,2013,11.0,61,0.18032786885245902
110148,2014,10.0,59,0.1694915254237288
110148,2015,15.0,73,0.2054794520547945
110148,2016,13.0,54,0.24074074074074073
110148,2017,20.0,75,0.26666666666666666
110148,2018,11.0,54,0.2037037037037037
110148,2019,11.0,54,0.2037037037037037
110149,2012,93.0,246,0.3780487804878049
110149,2013,80.0,266,0.3007518796992481
110149,2014,95.0,308,0.30844155844155846
110149,2015,84.0,319,0.26332288401253917
110149,2016,91.0,305,0.2983606557377049
110149,2017,85.0,333,0.2552552552552553
110149,2018,77.0,327,0.23547400611620795
110149,2019,66.0,303,0.21782178217821782
110150,2012,58.0,190,0.30526315789473685
110150,2013,53.0,184,0.28804347826086957
110150,2014,42.0,170,0.24705882352941178
110150,2015,58.0,188,0.30851063829787234
110150,2016,54.0,171,0.3157894736842105
110150,2017,45.0,188,0.2393617021276596
110150,2018,43.0,154,0.2792207792207792
110150,2019,45.0,168,0.26785714285714285
110155,2012,16.0,57,0.2807017543859649
110155,2013,16.0,80,0.2
110155,2014,18.0,69,0.2608695652173913
110155,2015,18.0,71,0.2535211267605634
110155,2016,24.0,59,0.4067796610169492
